"","predicted.id","prediction.score.Ext_L25","prediction.score.Inh_6","prediction.score.Micro","prediction.score.Ext_Hpc_DG1","prediction.score.Oligo_2","prediction.score.Ext_Pir","prediction.score.Astro_HYPO","prediction.score.Ext_Hpc_DG2","prediction.score.Inh_Meis2_2","prediction.score.Astro_THAL_med","prediction.score.Inh_2","prediction.score.Inh_Vip","prediction.score.Oligo_1","prediction.score.Ext_Thal_1","prediction.score.Inh_Sst","prediction.score.Ext_L6","prediction.score.Ext_Hpc_CA1","prediction.score.Ext_L5_1","prediction.score.Ext_L56","prediction.score.Inh_4","prediction.score.Inh_5","prediction.score.OPC_1","prediction.score.Ext_L23","prediction.score.LowQ_2","prediction.score.Ext_Hpc_CA3","prediction.score.Inh_1","prediction.score.Unk_1","prediction.score.Astro_AMY","prediction.score.Inh_Meis2_4","prediction.score.Ext_L5_2","prediction.score.Nb_2","prediction.score.Inh_Pvalb","prediction.score.OPC_2","prediction.score.Astro_THAL_lat","prediction.score.Astro_HPC","prediction.score.Inh_Meis2_1","prediction.score.Inh_Lamp5","prediction.score.Ext_ClauPyr","prediction.score.Inh_Meis2_3","prediction.score.Ext_Amy_2","prediction.score.Ext_Amy_1","prediction.score.Ext_Thal_2","prediction.score.Astro_WM","prediction.score.Inh_3","prediction.score.Astro_CTX","prediction.score.Ext_Unk_3","prediction.score.Astro_AMY_CTX","prediction.score.Nb_1","prediction.score.Ext_L6B","prediction.score.max","spot"
"exper0_location_0","Ext_Hpc_CA3",0,0.0540293434635608,0.00760326445912324,0,0.0293811184382026,0,0,0,0,0,0.0680494630827511,0,0,0,0,0.0381477389548765,0,0.0187762825035738,0.196227414742844,0.14842907469828,0.0445334868358487,0,0,0,0.204819199723772,0.0148399430946946,0,0,0,0,0,0,0,0,0.00844348203332138,0,0,0,0,0,0,0,0,0.0113194281616144,0,0.155400759807536,0,0,0,0.204819199723772,"exper0_location_0"
"exper0_location_1","Inh_6",0.0283300154670531,0.321400370842668,0,0.00950351083792893,0.0115825716961763,0,0,0.0212212892949044,0.00702444921211873,0,0.0122562132351435,0,0,0,0,0.0038715241508423,0,0,0,0.00140550897580262,0,0,0.0746881077889721,0,0,0,0,0,0,0,0.00235133426769595,0.0880476027110132,0,0,0,0.0170123390291032,0,0,0,0,0,0.273322937788501,0,0,0.0124122820809668,0.115569942621111,0,0,0,0.321400370842668,"exper0_location_1"
"exper0_location_2","Inh_Pvalb",0,0,0,0,0.00559375082711577,0.0239092923419089,0,0,0,0,0,0,0,0,0,0.0408196456185859,0,0.073516153493653,0,0.0263141626755102,0,0,0.0100626396091366,0,0,0.00631636647354439,0.0104459015114945,0,0,0,0,0.766752241649539,0,0,0,0,0,0,0,0,0,0,0,0.00230898193613675,0,0,0,0.0339608638633742,0,0.766752241649539,"exper0_location_2"
"exper0_location_3","Inh_Vip",0,0,0,0,0.0932316625955634,0.00407624719124306,0,0,0,0,0,0.622993494210918,0,0,0,0,0,0,0,0.00145325566955991,0,0.00445140945520506,0.083124987878211,0,0,0.0103862746201683,0.0291372804672254,0,0,0,0.0110130474499242,0,0,0,0,0.00848935210015633,0.108145941851896,0,0,0,0,0,0,0.0172832155291462,0,0,0,0.00621383098078295,0,0.622993494210918,"exper0_location_3"
"exper0_location_4","Inh_Vip",0,0,0,0,0,0,0,0,0,0,0,0.54814038916649,0,0,0.0358540357684625,0,0,0,0,0,0,0,0.00437216220756794,0,0,0,0,0,0,0,0.00502429104805391,0.106818494928042,0,0,0,0,0.295263829045877,0,0,0,0,0,0,0.00452679783550724,0,0,0,0,0,0.54814038916649,"exper0_location_4"
"exper0_location_5","Nb_1",0,0.00684357460014829,0,0,0,0,0,0.129325669987832,0,0,0.00635893368305414,0,0,0.00806898025619909,0,0,0,0,0,0.0371494874686231,0,0,0.26801422582084,0,0,0.00893269221162994,0.0363645222332972,0,0,0.128693563300752,0,0.0399512412722846,0,0,0.00534242881490105,0,0,0,0,0,0,0,0.0005247081114196,0.00327329696477532,0,0,0,0.321156675274244,0,0.321156675274244,"exper0_location_5"
"exper0_location_6","Inh_Pvalb",0,0,0,0,0,0,0,0,0,0,0,0.00658457814641003,0,0,0.00789409550926056,0,0,0,0,0,0.00337611435623429,0,0,0,0,0.00364172197423716,0.00199870062055532,0,0,0,0,0.822914474857995,0,0,0,0.121019226411681,0.0118286226821834,0,0,0,0,0,0,0.0107579178308566,0,0,0,0.00998454761058763,0,0.822914474857995,"exper0_location_6"
"exper0_location_7","Inh_Pvalb",0,0,0.0225784243613473,0,0.00368743465218029,0,0,0.0026943675530145,0,0,0,0.0213591691601744,0,0.00138328480818714,0.0459675205010578,0,0,0,0.00175775889712365,0.0490897860734105,0,0,0,0,0.0164100694512005,0.0204922130526594,0.0331974936390888,0,0,0,0.0109979470456873,0.692644183676436,0,0,0.00764547360914037,0,0.0439442391702855,0,0,0,0,0,0.0218260945764329,0.00432453977257347,0,0,0,0,0,0.692644183676436,"exper0_location_7"
"exper0_location_8","Ext_ClauPyr",0,0,0,0,0.00924260020380569,0,0,0,0,0,0.00842284336329884,0,0,0,0.0241141971968712,0,0,0,0,0.0149706887207259,0.0338115133375384,0,0,0,0,0.00701628468059908,0,0,0,0.0816283528188268,0,0.279963821170377,0,0,0,0,0.00395274057721443,0.51497117987656,0,0,0,0,0,0.015661390304489,0,0,0,0.00624438774969396,0,0.51497117987656,"exper0_location_8"
"exper0_location_9","Astro_AMY",0,0,0,0,0.0175586421338804,0,0.00557724271760038,0.0741689386758927,0,0.00557724271760038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00153674094451246,0.483765201503326,0,0,0,0.119361384227057,0,0,0.0798435070485291,0,0,0,0,0,0,0,0.081844511078746,0,0.0273266740812312,0,0.103439914871625,0,0,0.483765201503326,"exper0_location_9"
"exper0_location_10","Astro_AMY_CTX",0.0628145636623827,0,0,0,0,0,0,0,0,0.00786109022939529,0,0,0,0,0,0.0427997930580139,0,0,0.0119243065352535,0,0,0,0.00954140373389408,0,0,0,0.0217475837128912,0.150224212476858,0,0,0,0,0,0,0.0861944131927718,0,0.00545002693171683,0.0146553164514568,0,0,0,0,0.0968818674196148,0,0.117706219350684,0,0.372199203245068,0,0,0.372199203245068,"exper0_location_10"
"exper0_location_11","Inh_Pvalb",0,0,0,0,0,0,0.028600211390619,0,0,0,0,0.00539524866741905,0,0,0.0279838710931376,0,0,0,0,0,0,0,0,0,0,0.00319822394319948,0.0137460665890894,0,0,0,0,0.900259050196577,0,0,0,0,0.00459915899417235,0,0,0,0,0,0.016218169125786,0,0,0,0,0,0,0.900259050196577,"exper0_location_11"
"exper0_location_12","Ext_Amy_2",0.00213113890893808,0,0,0.0458373945735976,0.00217022184687348,0.113439401588755,0,0.031612584889428,0,0,0,0,0,0,0,0,0,0,0,0.0140269847607759,0,0,0,0.0754727222592808,0,0.0110127263973944,0.0829639702126419,0,0,0,0,0,0,0,0,0,0,0,0,0.621332854562315,0,0,0,0,0,0,0,0,0,0.621332854562315,"exper0_location_12"
