"","predicted.id","prediction.score.Ext_L25","prediction.score.Inh_6","prediction.score.Micro","prediction.score.Ext_Hpc_DG1","prediction.score.Oligo_2","prediction.score.Ext_Pir","prediction.score.Astro_HYPO","prediction.score.Ext_Hpc_DG2","prediction.score.Inh_Meis2_2","prediction.score.Astro_THAL_med","prediction.score.Inh_2","prediction.score.Inh_Vip","prediction.score.Oligo_1","prediction.score.Ext_Thal_1","prediction.score.Inh_Sst","prediction.score.Ext_L6","prediction.score.Ext_Hpc_CA1","prediction.score.Ext_L5_1","prediction.score.Ext_L56","prediction.score.Inh_4","prediction.score.Inh_5","prediction.score.OPC_1","prediction.score.Ext_L23","prediction.score.LowQ_2","prediction.score.Ext_Hpc_CA3","prediction.score.Inh_1","prediction.score.Unk_1","prediction.score.Astro_AMY","prediction.score.Inh_Meis2_4","prediction.score.Ext_L5_2","prediction.score.Nb_2","prediction.score.Inh_Pvalb","prediction.score.OPC_2","prediction.score.Astro_THAL_lat","prediction.score.Astro_HPC","prediction.score.Inh_Meis2_1","prediction.score.Inh_Lamp5","prediction.score.Ext_ClauPyr","prediction.score.Inh_Meis2_3","prediction.score.Ext_Amy_2","prediction.score.Ext_Amy_1","prediction.score.Ext_Thal_2","prediction.score.Astro_WM","prediction.score.Inh_3","prediction.score.Astro_CTX","prediction.score.Ext_Unk_3","prediction.score.Astro_AMY_CTX","prediction.score.Nb_1","prediction.score.Ext_L6B","prediction.score.max","spot"
"exper0_location_0","Ext_L6",0.0747982695388332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378495995560293,0,0.032049475810343,0.158077062927838,0.0120788275120525,0.110322666094599,0,0,0,0,0.0584649461182533,0.13511759594791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113060222651047,0,0.0292891382247731,0,0,0,0.378495995560293,"exper0_location_0"
"exper0_location_1","Inh_6",0,0.453645308054444,0,0,0,0,0,0.156012754951249,0,0,0.00958197743947986,0.00952440387357844,0,0,0,0.0102689872664058,0,0,0,0,0,0,0.0080866737242377,0,0,0.0205123029811661,0.0457385075671478,0,0,0,0,0.109286462634017,0,0,0,0,0,0.0608175418232756,0,0,0,0,0,0,0,0.0333469527270203,0,0.0831781269579783,0,0.453645308054444,"exper0_location_1"
"exper0_location_2","Inh_Pvalb",0,0,0,0,0,0,0,0,0,0,0.00848440130348027,0.0220594688690589,0,0,0.154554380818694,0,0,0,0,0,0.00458249882948413,0.0482441569102287,0,0,0,0.00395061893974739,0.0117482739088866,0,0,0,0.012912032623927,0.636593368379652,0,0,0,0,0,0,0,0,0,0,0,0.00382199744980651,0,0,0,0.0930488019670347,0,0.636593368379652,"exper0_location_2"
"exper0_location_3","Inh_Vip",0,0.0727725309728971,0,0,0,0,0,0.00992148562013156,0,0,0.00186539678076283,0.700743090331584,0,0,0.00910609831942531,0,0,0,0,0.00734160655992213,0,0.0259323468180948,0,0,0,0.0479537087234433,0.0450279989293705,0,0,0,0,0.0474436765157583,0,0,0,0.00758673984206327,0,0,0,0,0,0,0,0.0243053205865471,0,0,0,0,0,0.700743090331584,"exper0_location_3"
"exper0_location_4","Inh_Pvalb",0,0,0,0,0,0,0,0,0,0,0,0.438873832072219,0,0,0.0406412522214483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0745139849993619,0.445970930706972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445970930706972,"exper0_location_4"
"exper0_location_5","Nb_1",0.0712558565437216,0.0066483195196042,0,0.0131339071022901,0,0,0,0.137804471207381,0,0,0.00305878686232141,0.00159299900938839,0,0,0,0,0,0,0,0,0.00609627410775014,0.0400675195493113,0,0,0,0,0.0354088193457038,0,0,0.00708769245981269,0.0417642228262478,0.0530105955380998,0,0,0,0,0.0103588839133944,0,0,0,0,0,0,0.01284425364286,0,0,0,0.559867398372113,0,0.559867398372113,"exper0_location_5"
"exper0_location_6","Inh_Pvalb",0,0.00788031992662576,0,0,0,0,0,0.0080207050585532,0,0,0,0,0,0,0.0085023626461528,0,0,0,0,0,0,0,0,0,0,0,0.00303627098787089,0,0,0,0.0642119564022129,0.846136069186682,0,0,0,0,0.00404072119470751,0,0,0,0,0,0,0.013801618759869,0,0,0,0.0443699758373258,0,0.846136069186682,"exper0_location_6"
"exper0_location_7","Inh_Pvalb",0,0.00950642116605913,0,0,0,0,0,0,0,0,0.00302303515949591,0,0,0,0.0420665842190368,0,0,0,0,0,0.00602420054452878,0,0,0,0,0.0208783454253796,0.0286501220558896,0,0,0,0,0.779967594012532,0,0,0,0,0,0,0,0,0,0,0,0.0137646610152209,0,0,0,0.0961190364018569,0,0.779967594012532,"exper0_location_7"
"exper0_location_8","Inh_Pvalb",0,0.075404215189448,0,0,0,0,0,0,0,0,0.0727355859002704,0.0182643860486219,0,0,0.110962409337411,0,0.00645890102306384,0,0,0,0.0284990011380738,0.0342438072155139,0,0,0,0.0217777370174629,0,0,0,0,0,0.56896014814402,0,0,0,0,0,0.0482984752130949,0,0,0,0,0,0,0,0.0143953337730195,0,0,0,0.56896014814402,"exper0_location_8"
"exper0_location_9","Astro_AMY_CTX",0,0,0,0,0,0,0.037568366483184,0,0,0.038687962128606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206717967986115,0,0,0,0,0,0.0207128107653641,0.133980355815341,0,0,0,0,0,0,0,0.147275572200577,0,0.109582971780564,0,0.305473992840249,0,0,0.305473992840249,"exper0_location_9"
