,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12
B_Cycling,0.04794726374618945,0.01933228232184693,0.0,0.0,0.0,0.009827060648118538,0.7722756056735202,0.13042281055735014,0.011141873680721753,0.0013892876982798037,0.0,0.007663815673973154,0.0
B_GC_DZ,0.0,0.0,0.12348846040085482,0.04674932690425517,0.0,0.0,0.5483572693388622,0.0,0.0,0.0,0.031913556839979706,0.10713249863756179,0.14235888787848633
B_GC_LZ,0.0,0.03953426365030345,0.017910801217161203,0.065144037386243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06901165878732711,0.8083992389589651
B_GC_prePB,0.04916025552691807,0.0,0.10634625128246884,0.0,0.0051809715335436315,0.0,0.2485118172541476,0.0,0.041301428903293295,0.0,0.0858452206254185,0.02080713919487969,0.4428469156793305
B_IFN,0.0,0.032779518066551654,0.05687134572255639,0.013596768999513075,0.0,0.0,0.021154809488542717,0.0057961347840154625,0.0603489460805962,0.7704858907514816,0.0,0.0017169789744110593,0.037249607132331865
B_activated,0.0,0.0,0.0,0.1486720814972517,0.12725224177649005,0.2249697447821916,0.022673287799508654,0.0,0.0,0.0,0.039339018092588586,0.4214547928603785,0.015638833191590932
B_mem,0.002454352601353483,0.001612227566055347,0.0,0.11041006452566877,0.8124733130203232,0.0,0.0,0.0022702271997098148,0.007114644909857418,0.0,0.018430217761188944,0.045234952415843084,0.0
B_naive,0.0,0.0,0.012589739637916845,0.6454640016305949,0.12719349828041981,0.05770722663563885,0.0,0.0,0.0,0.0,0.0,0.11310415221374852,0.043941381601680936
B_plasma,0.046995628038815185,0.03537152363938331,0.0,0.012410693250869272,0.0007465740714499421,0.7529302729426269,0.0,0.04184783744365877,0.020591316684414614,0.00584465341994185,0.039073281743804034,0.044188218765036195,0.0
B_preGC,0.028605750140573497,0.03495510985169876,0.0,0.012263713040976386,0.15333166816514748,0.020275002954039178,0.0,0.6236248967961091,0.03852011384422631,0.002130857378231192,0.03972266053037152,0.0465702272986264,0.0
