,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17,mean_cell_type_factorsfact_18,mean_cell_type_factorsfact_19,mean_cell_type_factorsfact_20
B_Cycling,0.0,0.7708660401482256,0.0,0.0,0.009361123944860562,0.0,0.0638611930581367,0.0,0.0,0.0,0.0,0.004850230067915323,0.0,0.0,0.0,0.13160631219114577,0.0,0.006563988192078114,0.0,0.01289111239763778,0.0
B_GC_DZ,0.0,0.4595627035120355,0.0,0.0,0.0,0.03503447447058613,0.0,0.0,0.2598923971661845,0.038419683780708584,0.0,0.0,0.13730077301612645,0.020168143105052272,0.04962182494930661,0.0,0.0,0.0,0.0,0.0,0.0
B_GC_LZ,0.0,0.04084025742855949,0.011190626736901545,0.0,0.0,0.002593765793515465,0.0,0.0026400438204237,0.017074582163279783,0.090122972116125,0.0,0.0,0.7118020432756588,0.0,0.0,0.0,0.0,0.0035682801237528964,0.12016742854178347,0.0,0.0
B_GC_prePB,0.0,0.19122537945127588,0.008253502126264651,0.192649546432136,0.02118756293454444,0.07029367689958602,0.02093421296016552,0.036368041582777066,0.03441697756452191,0.0,0.0,0.0,0.2795491431961747,0.00048055499493059197,0.0056274415329556965,0.0,0.04608215058346371,0.0,0.09293180974120387,0.0,0.0
B_IFN,0.0,0.02383715556117459,0.00890374290038685,0.01159191521264505,0.0480141033252556,0.06782088747743427,0.0,0.012331377027634342,0.00023286761127690064,0.01835444344244257,0.0,0.0,0.0315597770085536,0.0,0.0,0.0074708274564669426,0.0017840713815682125,0.7373873611830603,0.016361255024668283,0.01435021538743257,0.0
B_activated,0.4192019464476477,0.014317269429172386,0.0,0.04564317236686693,0.0,0.0,0.0,0.0,0.0,0.10147369549128588,0.0939048692717284,0.15591110699250812,0.008262460539562085,0.018941987497237113,0.046895552952664614,0.0,0.0,0.0,0.0,0.0,0.09544793901132684
B_mem,0.0,0.0,0.0036196415221004096,0.0,0.0064645848958590725,0.0,0.009209973637502398,0.0,0.0,0.12752908178742162,0.8302843567801026,0.0,0.0,0.011307096042056392,0.0022195341110715743,0.004942982368943679,0.004422748854942206,0.0,0.0,0.0,0.0
B_naive,0.13407828589887189,0.0022486691204457983,0.0,0.02003018866161281,0.0,0.0,0.0,0.015230801638530982,0.013261111559947471,0.5668524661074524,0.10790472143855363,0.046572650342404646,0.024154679957018633,0.0,0.006106258263852599,0.0,0.0,0.0,0.03785319538706832,0.0,0.025706971624240668
B_plasma,0.04538953269167288,0.0,0.014582905438525313,0.0,0.013094473802322842,0.004335573807413876,0.023668521098731705,0.027477080308724235,0.015090662291581385,0.008505271912290438,0.0027212565998579507,0.67474001412738,0.0,0.01950915694846033,0.01674416503785418,0.033722285655013146,0.02932857972268555,0.0037837666674808727,0.0,0.033704065611940726,0.033602688278064355
B_preGC,0.029466449885869765,0.0,0.060726920966903956,0.0022549348889786087,0.03183045134439209,0.018342656797819556,0.0203742111645707,0.0,0.0,0.013044025679957244,0.1499137259839588,0.017489264353510094,0.0,0.0,0.005475188067721669,0.5951263139924797,0.016263533579653457,0.0017788707874426895,0.0,0.021287273628754384,0.016626178877987462
DC_CCR7+,0.0,0.0,0.43820491841255427,0.02246285040161962,0.04899397566778347,0.3544361652492309,0.0,0.0,0.05801010217879137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02068392592526864,0.027368739344675534,0.0,0.029839322820076328,0.0
DC_cDC1,0.0,0.0839593502730123,0.03927420657101741,0.02618725135489262,0.04090107818157843,0.0,0.5732948452317026,0.0,0.0,0.0,0.11928470596312916,0.00880009881617938,0.0,0.0,7.444301606169067e-05,0.036858776939524204,0.042489492732722886,0.012538369560376544,0.0,0.0,0.01633738135980264
DC_cDC2,0.15411134491876607,0.0,0.6725043941932791,0.0,0.0,0.0,0.0222632189607608,0.03940474073458368,0.0,0.003932543937621299,0.02263836848168848,0.007552142981455502,0.0,0.0,0.04351056794780261,0.00844821356475284,0.0,0.0013171757570803765,0.0,0.0,0.024317288522209136
DC_pDC,0.48905143874708534,0.0,0.002741519980015141,0.0,0.003316332913603844,0.02872141094655997,0.05194292134238773,0.3013810288970043,0.0,0.00999431916412114,0.0,0.0,0.0,0.0,0.0,0.03691718973498263,0.0,0.003952714265828243,0.0,0.07198112400841183,0.0
Endo,0.07290055266808339,0.00017891410411818083,0.046219530585757444,0.0,0.007486050815757133,0.014119343336754596,0.034096997603256206,0.009316525958263358,0.034833549222684494,0.013820272036473848,0.0221269946148406,0.03912883017040666,0.0015577013148711585,0.0481946390256033,0.518304160258944,0.007347890109834048,0.040870898584666214,0.009617473252723946,0.0008232011360658423,0.023456847640714915,0.05559962756018079
FDC,0.0,0.09021306963242234,0.0,0.6435901522915455,0.0,0.0,0.0,0.0,0.0,0.0006430729534882369,0.04549650232338417,0.0,0.13019960674803677,0.0,0.0,0.0,0.0,0.021458336727496655,0.06839925932362635,0.0,0.0
ILC,0.2911869553769637,0.004928217717464958,0.11799699042722549,0.0,0.0,0.1009114614808451,0.0,0.0,0.14810501268512713,0.06985344502876366,0.0,0.05518470005210079,0.03133909163638781,0.04964423620483929,0.05317197619092513,0.0,0.007213068980664347,0.0,0.0,0.07046484421869256,0.0
Macrophages_M1,0.020631115597630943,0.0638740646609576,0.037852900861910455,0.03173129961336163,0.012424245034732127,0.032976944199488135,0.045121134907970734,0.004982305886743555,0.001852719941626888,0.021526213456932414,0.042612180100104806,0.004146268308781117,0.03131766494632688,0.0,0.023434375817897125,0.013505979430794198,0.5502639602364224,0.009229879799350667,0.03412219498956604,0.010307471515733637,0.008087080693668492
Macrophages_M2,0.09739962130280412,0.00862879082018204,0.0,0.0,0.0339400006483548,0.03823624568238142,0.001044912582730914,0.043640225733806694,0.0,0.0,0.0,0.06293541013328871,0.0,0.0,0.0,0.0,0.0,0.008235911153233223,0.0,0.012025764027140142,0.693913117916078
Mast,0.09761651815213784,0.057829238155070066,0.25014074905883105,0.0,0.01583035867954807,0.0,0.0004567935601772585,0.0,0.0,0.024618180497954143,0.05411113613311522,0.09255209197404421,0.014476064886763344,0.05916467458629882,0.07690627285642015,0.052097241150185394,0.0972865871365887,0.004080209971672207,0.00856287389314932,0.02320476591687573,0.07106624339116847
Monocytes,0.16528112703767867,0.0,0.2401537180204765,0.0,0.0,0.0,0.0,0.003516437953004995,0.009437919512427456,0.0016655520497549981,0.04023695886915288,0.07883876138730064,0.0,0.09372831543634005,0.1453349305154586,0.0,0.05737189894743017,0.024581615050928558,0.0,0.0,0.1398527652200465
