,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15
B_Cycling,0.06428041821437837,0.0,0.0,0.0,0.009415808544055071,0.013334326753734534,0.0,0.0,0.0,0.7709443062081148,0.13842389371843838,0.0015294644366860492,0.00207178212459283,0.0,0.0,0.0
B_GC_DZ,0.0,0.0,0.054815991767027436,0.03091167526262617,0.0,0.0,0.18261282534839565,0.06682240351721415,0.09387874867129181,0.5222312876734292,0.0,0.0,0.0,0.048727067760015556,0.0,0.0
B_GC_LZ,0.0,0.0,0.08964163937805998,0.00647624682895276,0.0,0.0036423487874827952,0.7424689194755064,0.0,0.02209726917869802,0.012586572393245668,0.0,0.0,0.001895926908177506,0.0,0.0,0.12119107704987678
B_GC_prePB,0.025110540082342394,0.0,0.0,0.029480126454675036,0.02795568665406452,0.0,0.29883136750352707,0.010987726874105024,0.09242782878033597,0.1983426066750824,0.0,0.0,0.0,0.005067907958394765,0.07421764080441876,0.23757856821305415
B_IFN,0.0,0.0,0.01673571694783807,0.0025001222110729074,0.048588925241667066,0.01698850539963774,0.02961663046484063,0.0,0.07041481402586022,0.023918718647810335,0.011448559368830474,0.0,0.7547913304555789,0.0,0.00571434752671061,0.019282329710153073
B_activated,0.0,0.10188854788821525,0.1288140699282988,0.13979174493241675,0.0,0.0,0.00527303784028567,0.08325324065724182,0.0,0.019311236509620598,0.0,0.17433845624331212,0.0,0.32416895377222343,0.0,0.023160712228385578
B_mem,0.0030282241294150754,0.8185467809908882,0.12058228506665648,0.0,0.005659665502864946,0.0,0.0,0.03309377045029907,0.006391343018021218,0.0,0.0057236952385747285,0.0,0.0,0.0,0.0069742356032804044,0.0
B_naive,0.0017158380981212966,0.12521098268853814,0.6541638290403984,0.01218041974682395,0.0,0.0,0.026588381865558255,0.0041509456826408515,0.015209814301701142,0.0,0.0,0.04716444047048045,0.0,0.07076304698264406,0.0,0.042852301123093524
B_plasma,0.04204580307576826,0.0,0.008960728127990734,0.0,0.012955922247437206,0.041547513735076716,0.0,0.0,0.014299713696869547,0.0,0.038371009803809225,0.7137064341064139,0.005732388594280138,0.07379378627951347,0.0485867003328407,0.0
B_preGC,0.00675287076337241,0.15433229669423068,0.014461913113894357,0.04635305469090717,0.03954866728810266,0.012774387020774094,0.0,0.02515186627763517,0.0004557328442846667,0.0,0.6202545498507881,0.014583901376955432,0.0031720168453969323,0.02054096986066541,0.04161777337299301,0.0
DC_CCR7+,0.003025308757033682,0.0,0.0,0.1671508531775528,0.07456771085782622,0.04850796179919746,0.0,0.02216757997309639,0.39628611117353907,0.0,0.0,0.0,0.044026728041310026,0.0,0.24426774622044425,0.0
DC_cDC1,0.5798834931286231,0.1189777836672695,0.0,0.0,0.04169127747153685,0.0,0.0,0.022297255277456948,0.0,0.09567592057048974,0.04877192832620406,0.00515294340838744,0.011731103524037242,0.0,0.07161660961075401,0.004201685015241103
DC_cDC2,0.044290723046298275,0.03063268281246625,0.0,0.51096935726144,0.0,0.0,0.0,0.20102676777717662,0.0,0.0,0.013454025575540032,0.0,0.002871639800165707,0.0,0.1967548037269132,0.0
DC_pDC,0.05068825307210199,0.0,0.03839623431407583,0.4768295764602744,0.014524067580567901,0.05686567500398433,0.0,0.0,0.06002363841274476,0.0,0.026947039799634503,0.004201743639012046,0.0,0.2715237717176042,0.0,0.0
Endo,0.027496814834114498,0.01773750754817667,0.02455585671006737,0.0,0.012242519172931784,0.06069171994056098,0.01564631777802465,0.5519651060582074,0.037145090678354226,0.010629407291138435,0.009284762308868242,0.01163185199367392,0.011258100811623732,0.18855982312236072,0.021155121751897286,0.0
FDC,0.0,0.07713060971723633,0.0,0.0,0.0,0.0,0.13168344563523396,0.0,0.0,0.10342809426328245,0.0,0.0,0.03798935911378987,0.0,0.10384249413627893,0.5459259971341787
ILC,0.0,0.0,0.0937869601529709,0.292734065906595,0.0,0.0766148958200212,0.040170022407138094,0.12795753640325563,0.12044390462204255,0.012826171837395118,0.0,0.08681877393114634,0.0,0.13359151573193417,0.015056153187500868,0.0
Macrophages_M1,0.0,0.0505093501863226,0.019415975345204922,0.0,0.013283683281733419,0.001703045282882542,0.028804948526923533,0.0,0.06284764486203132,0.07877203628877463,0.009564566194224912,0.0023423621805905323,0.00215032647062855,0.0760400102155233,0.560645208798784,0.09392084236637584
Macrophages_M2,0.036641058724694406,0.0,0.0,0.0,0.06862161002145577,0.0,0.0,0.0,0.0675956187830347,0.0,0.0008486990654727116,0.0,0.018890579994527406,0.8074024334108151,0.0,0.0
Mast,0.009686089547642905,0.06252547078421478,0.030809514821947936,0.1517427572547984,0.019713641498964738,0.03210550186662046,0.016949984490773645,0.15285832486860296,0.0,0.06403381032338554,0.06476304539399004,0.10328980826459182,0.004551064170504667,0.10151135887679759,0.18545962783716444,0.0
Monocytes,0.0,0.04948779120543943,0.004221400049432138,0.21028270926531836,0.0047101015081072554,0.0,0.0,0.2620797565673587,0.0,0.0,0.0,0.08903632846339098,0.031117065944453792,0.21719968453377586,0.1318651624627235,0.0
NK,0.0,0.0,0.06553632467426558,0.42315134109467434,0.0,0.030536148830361234,0.049517156113562596,0.0007067643475551986,0.17893654640083603,0.018617598094704278,0.0,0.09199501269374971,0.03400159143229506,0.09756185968125872,0.0,0.009439656636737286
NKT,0.047705462355930664,0.13354392136438112,0.0,0.16809758872743175,0.02270526795428266,0.0,0.014669085088324057,0.12267865604798454,0.11257808065722977,0.04482367745013138,0.026873853631476503,0.09573941845786783,0.004005829370831312,0.12894017698953186,0.07632241341875244,0.0013165684858440947
T_CD4+,0.12649218864825304,0.31402998050963893,0.0,0.013091290702941986,0.07024450522495254,0.0,0.0,0.13342828493609013,0.04113253694947265,0.07215108835659245,0.019151261522726636,0.03183755856383543,0.0,0.03618617389154069,0.12595114751834613,0.016303983175609355
T_CD4+_TfH,0.0,0.0,0.11235076012571392,0.14937026013887425,0.013557663673164192,0.0,0.04715989317468337,0.0,0.3076876725403304,0.024791725534164272,0.0,0.14998035008449584,0.01567034508712342,0.16563533445416884,0.0,0.013795995187281494
T_CD4+_TfH_GC,0.0,0.009920212865302336,0.09825090517759925,0.01289548237882937,0.0,0.04940863075731801,0.10332920368990102,0.0,0.0947060990129264,0.0,0.0,0.0,0.0,0.0,0.0,0.6314894661181235
T_CD4+_naive,0.06668361464712734,0.13613846300929489,0.0,0.0,0.7236524201044997,0.0,0.0,0.0,0.057727743303983996,0.0,0.0,0.0016684237192837901,0.0,0.012399389635827868,0.00172994557998239,0.0
T_CD8+_CD161+,0.006856413011423776,0.025928282150470387,0.05435582026086951,0.191101900782303,0.04251371732215191,0.02376622873869719,0.030316692262726406,0.04933579686103776,0.21928553386964714,0.04098512582176981,0.00414112493824484,0.10969793431290033,0.012933333161724412,0.16962010888018744,0.006806050799698235,0.01235593682614787
T_CD8+_cytotoxic,0.034842425763142115,0.003825225955227648,0.06996292672031168,0.1877759560802597,0.004990269675862848,0.0,0.023507397853411566,0.0,0.3773064223095416,0.012498777174013142,0.0,0.09781011511567123,0.03608609798606241,0.12785280960350487,0.0,0.023541575762991252
T_CD8+_naive,0.0,0.0,0.017928562664407635,0.11995312883397707,0.37356155773525596,0.023543759772452048,0.0052211098232441055,0.0,0.18846740907742857,0.0009698752177597822,0.021966826339952027,0.0880774434484503,0.0,0.16031032708707246,0.0,0.0
T_TIM3+,0.005108809887663387,0.0,0.05882432676897068,0.08934354156431712,0.015702378716385346,0.4342675561807132,0.03304238476445664,0.008439213497954488,0.08904691368117383,0.017852345469156036,0.08416717649591893,0.051904354645137235,0.030828986330781107,0.04506745898335197,0.033076501880903886,0.0033280511331160653
T_TfR,0.010365366768650587,0.05806760364144919,0.008513579176386905,0.0,0.048957531081916174,0.048280448708525395,0.0,0.009652276859848201,0.574246303163164,0.0,0.06156876105563324,0.0,0.03474707486136765,0.0,0.06900218261366053,0.07659887206939797
T_Treg,0.0,0.0,0.06454301648400709,0.019227009074271283,0.08146100436957225,0.0,0.012925594858504462,0.0,0.6596842180594512,0.01072371450534261,0.015905440218710647,0.03311731003045687,0.02307032975882286,0.07712834199047969,0.0022140206503809454,0.0
VSMC,0.0,0.04287120192457787,0.015191111091691802,0.13148939931271897,0.04097465205791655,0.0027096977668731826,0.0,0.43480103691212235,0.08430216959086306,0.027463459549557655,0.035954642195950695,0.13852786469570752,0.010549954704230835,0.0,0.0,0.03516481019778951
