,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17,mean_cell_type_factorsfact_18,mean_cell_type_factorsfact_19
B_Cycling,0.06595476819656158,0.0,0.009204335399136057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039007803284514444,0.7718521433089186,0.0,0.0,0.012206750258965627,0.1310123645874572,0.0,0.0,0.00586885792050955
B_GC_DZ,0.0,0.0,0.0,0.1866875402039405,0.0,0.07375995298165872,0.026922098096248865,0.0,0.15119629651768698,0.0,0.0,0.0,0.4875333988147726,0.0,0.04271298513183063,0.0,0.0,0.0,0.0311877282538617,0.0
B_GC_LZ,0.0,0.12163232344060583,0.0,0.01702582694393993,0.0,0.0,0.0,0.0,0.7148782177385199,0.0,0.0,0.0,0.039021092638255685,0.01096999925599825,0.09035801399906782,0.0,0.0,0.0,0.002723437382392508,0.0033910886012201583
B_GC_prePB,0.023789725552405067,0.09431392680027598,0.020974770523591153,0.04944791235011582,0.046983561342667964,0.007005113281834587,0.0008872913616283033,0.19620578998646712,0.28467053255333186,0.0,0.0,0.0,0.19333183710799076,0.005667265419686188,0.0,0.0,0.0,0.0018810240685976113,0.07484124965140745,0.0
B_IFN,0.0,0.016669343310262635,0.047980450143334276,0.008520565337671425,0.0014736994041078546,0.0,0.0,0.011331225615093738,0.031756269612836424,0.0,0.0,0.0,0.023136965611128803,0.009166406692102998,0.01791616990789462,0.013787336375226661,0.008701234077453915,0.0,0.06868266428546833,0.7408776696274183
B_activated,0.0,0.0004530437247351296,0.0,0.0,0.0,0.05351550861003324,0.020561064015508734,0.04439649758292197,0.010220237079128005,0.4283968655554288,0.09567484184135311,0.1578316115770722,0.016135870032020463,0.0,0.10187841810866935,0.0,0.0,0.07093604187312912,0.0,0.0
B_mem,0.011145708237633877,0.0,0.006481575494172542,0.0,0.002748017799153403,0.0016733690070934635,0.012655719500751415,0.0,0.0,0.0,0.8319389316708791,0.0,0.0,0.000561486616456264,0.12755652123528619,0.0,0.005238670438573653,0.0,0.0,0.0
B_naive,0.0,0.039010977582962694,0.0,0.022287497238723395,0.0,0.007864099787311578,0.0,0.01834428864655496,0.024997672655616237,0.1346851568724185,0.10899390699788926,0.0466677636604127,0.0026830309103715836,0.0,0.5698524357611553,0.0,0.0,0.024062928035547826,0.0005502418510359867,0.0
B_plasma,0.023740180170855947,0.0,0.013868052411325946,0.035141158949352484,0.028681529058293093,0.018030001410338475,0.016484723800731967,0.0,0.0,0.04314988121584361,0.0023029926168706733,0.6831117112298323,0.0,0.016128884932526313,0.008031805898313189,0.03314855622564198,0.03561503823519926,0.03472768498465228,0.004140443106669608,0.0036973557535530063
B_preGC,0.017875631913213022,0.0,0.034258528424666757,0.0,0.01720955095169332,0.003054917314001513,0.0,0.003602762692345939,0.0,0.037369429069539634,0.15116515020001406,0.016415935303678863,0.0,0.06434453042238766,0.01301027920255397,0.02272242626241485,0.5984946574614929,0.007463816055482937,0.011791136738885556,0.001221247987629006
DC_CCR7+,0.0,0.0,0.05129429556082922,0.02008042188231996,0.01639195660821946,0.0,0.0,0.027729269041573586,0.0,0.0,0.0,0.0,0.0,0.47296411641616026,0.0,0.0321844207227502,0.0,0.0,0.3519059072232989,0.02744961254484843
DC_cDC1,0.5730903782373855,0.0,0.040118709265842434,0.0,0.042382657064767675,0.003567072466334975,0.0,0.026815298925949343,0.0,0.0,0.11746222745442077,0.007402714537994203,0.08430904315499127,0.035897419777511624,0.0,0.0,0.041948074093469054,0.01457116369173579,0.0,0.012435241329597344
DC_cDC2,0.035060839854534634,0.0,0.0,0.0,0.0,0.03984707208565884,0.0028247951147430186,0.0,0.0,0.16978189433967625,0.024041407616451026,0.006277359868339978,0.0,0.6869764655472621,0.004938295072284379,0.0,0.0026071096863167346,0.026164150111593374,0.0,0.0014806107031395837
DC_pDC,0.07252410906170152,0.0,0.004864230916817471,0.1753814042740459,0.0,0.0,0.0,0.0,0.0,0.5463290814265406,0.0,0.0,0.0,0.0,0.010488334690001079,0.08306867286001415,0.030966660547224866,0.0,0.0734041271172878,0.002973379106366769
Endo,0.0365008306487644,0.0008199147653343848,0.00813322021575104,0.02678044819715965,0.038201833266597277,0.5291207800675319,0.04794011654674462,0.0,0.0023407721679460265,0.07410241062038696,0.022317770217826032,0.0407450957975396,0.0,0.04809592148517405,0.014231203249709912,0.02522560866984364,0.008381081964822776,0.05390554023494859,0.013072432486449468,0.010085019397469678
FDC,0.0,0.069087472887876,0.0,0.0,0.0,0.0,0.0,0.6428970360999198,0.13054482880826057,0.0,0.04577497970443884,0.0,0.08972267162229335,0.0,0.0005396122147900305,0.0,0.0,0.0,0.0,0.021433398662421454
ILC,0.0,0.0,0.0,0.11397434741668783,0.0020811739264942654,0.06385918581398026,0.05629928439694956,0.0,0.03657337075556772,0.28973480194737417,0.0,0.0551727953504203,0.008071440989632321,0.13546203768814702,0.07228585498643779,0.07268625953922375,0.0,0.0,0.09379944718908494,0.0
Macrophages_M1,0.04306544151769884,0.033936537231842194,0.011529586480303647,0.007614411773685909,0.5508280804718043,0.02514032852339374,0.0,0.03261917917925621,0.030846150648553936,0.017094167364213365,0.04338090369817216,0.0040476652795399075,0.06370212469717856,0.0377960147484159,0.02091301045977253,0.010004413395710574,0.014268816412966429,0.009736026831870612,0.0344651558843804,0.009011985401240973
Macrophages_M2,0.0,0.0,0.03619171414649392,0.0,0.0,0.0,0.0,0.0,0.0,0.1180808693220453,0.0,0.06273812963874387,0.008865527723412939,0.0008230026591476618,0.0,0.012308257344651893,0.0010397667364774772,0.7143787915154226,0.03646990822425627,0.009104032689348177
Mast,0.0034641517767126334,0.007824482157041119,0.01470275407870951,0.0,0.09853693831281858,0.07768045554188119,0.060492732149750095,0.0,0.014416106131652442,0.10149135063214144,0.055617903151596794,0.09240739020920474,0.058292932128420676,0.2479167336180182,0.024193010748178114,0.021796707583618447,0.05137647001311807,0.06571484654947368,0.0,0.004075035217664398
Monocytes,0.0,0.0,0.0,0.0005004441714082165,0.05893023980037472,0.14953935336580487,0.0954915918595513,0.0,0.0,0.1743412629440754,0.04180396843531068,0.07916169809619604,0.0,0.2407429338245504,0.001245883148057603,0.0,0.0,0.13330667858178016,0.0,0.02493594577289071
NK,0.0,0.01930489090316513,0.0,0.45974859980820854,0.0,0.02315291272765568,0.0049124705753915655,0.0,0.02050667886123896,0.1225454144301604,0.0,0.05591349512768961,0.006909695357617781,0.04880036280853693,0.042801973079533345,0.03173017103396591,0.021441068941381695,0.0514167063768803,0.06729841719358899,0.023517142774985143
NKT,0.06112618757888165,0.0,0.019987898641928393,0.11675841222996038,0.07611106178809987,0.0578331168301334,0.09413949819612315,0.0,0.0038330430695194223,0.14646526227706508,0.1175336836922683,0.07119401510182644,0.03187156164585933,0.057833557306282965,0.0,0.0,0.026739978874118584,0.044635605489357966,0.07117394648896468,0.0027631707896103013
T_CD4+,0.13283308816687284,0.0,0.06228921978721757,0.0,0.11120634258267073,0.06485394049888894,0.07874644954770424,0.0204099158548883,0.0,0.049538647462220024,0.29425843126169365,0.01982397886415524,0.060262592025698725,0.05380575198649414,0.0,0.0,0.013421777714548135,0.0,0.03854986424694742,0.0
T_CD4+_TfH,0.0,0.052619917031641275,0.00987762210359381,0.1723674704409539,0.0,0.0,0.0,0.0,0.02807203025148995,0.18917742094607348,0.0,0.12620657931717452,0.016754135584606283,0.0,0.08930314400742216,0.0,0.0,0.057954266658498156,0.24673589952208017,0.010931514136466442
T_CD4+_TfH_GC,0.0,0.5670737612185439,0.0,0.0007036316627747433,0.016135587559289295,0.0,0.000985942282653524,0.055194325530295886,0.1542631975885159,0.0,0.02516747373070882,0.0,0.06121100235006134,0.0,0.07127058519467719,0.0,0.0,0.0,0.0456659902541278,0.002328502628351591
T_CD4+_naive,0.06585518922368667,0.0,0.6872645735978438,0.0,0.0,0.0,0.004368061403888666,0.0,0.0,0.0,0.12606795641520827,0.0019061413484695675,0.0,0.0,0.0,0.0,0.002886371322398442,0.009085047749811857,0.09995560110499804,0.0026110578336949273
T_CD8+_CD161+,0.011168963417473908,0.008834665583015069,0.03382522669803723,0.18229969287154407,0.007319123127819934,0.03571393712646255,0.019173453985915027,0.013889772648921321,0.019289960111788247,0.16505370970186026,0.023641462915993068,0.0903273632312375,0.030568722792535568,0.028647436091967723,0.0402870149145609,0.02332448761000507,0.007863622782469116,0.08334716794856561,0.16722830668946548,0.008195909750362369
