,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7
B_Cycling,0.014311781480602796,0.047722336165670454,0.0,0.0,0.2302250737241621,0.00960361136318473,0.0,0.6981371972663798
B_GC_DZ,0.04800501074264028,0.1291359804792907,0.0,0.09666822261109183,0.0,0.003939795544505914,0.05760689298620572,0.6646440976362655
B_GC_LZ,0.0,0.0,0.04217528459504152,0.32761345741672226,0.0,0.0,0.003358635624103174,0.6268526223641331
B_GC_prePB,0.08452207080924058,0.0,0.02713697357707739,0.10960489036776451,0.0,0.018869801159655947,0.13166382178762825,0.6282024422986334
B_IFN,0.05030517270724189,0.013653253833327503,0.8782468751032645,0.017072311623786456,0.0036520420345302253,0.013984559252137667,0.0,0.023085785445711885
B_activated,0.0,0.47417213443626366,0.0,0.17968463960861314,0.0,0.15170887624268695,0.17950506960129065,0.01492928011114552
B_mem,0.0,0.002193748159273863,0.0,0.16381080356674563,0.00902708255999216,0.8249683657139883,0.0,0.0
B_naive,0.0,0.19914799299469033,0.0,0.6543936415675208,0.0,0.1464583654377889,0.0,0.0
B_plasma,0.02089354931619286,0.8035293649683518,0.024965603660969286,0.0,0.09819229323352988,0.05241918882095625,0.0,0.0
B_preGC,0.005400093989968173,0.0,0.0004171178863751552,0.051716230823020855,0.66538782487542,0.208840124546963,0.06823860787825302,0.0
DC_CCR7+,0.32442311204970864,0.0,0.10138668078198008,0.04857172682609837,0.030516662205472615,0.0,0.4951018181367402,0.0
DC_cDC1,0.07459370446371805,0.0,0.028058477986279116,0.0,0.16276549675966664,0.28381487473066125,0.23131010212827607,0.21945734393139893
DC_cDC2,0.0,0.13770099125739993,0.01732298753132113,0.01786122793782677,0.036655831975713704,0.0950884733729876,0.6953704879247508,0.0
DC_pDC,0.05465835074961544,0.35664330141153744,0.0,0.10791887169166672,0.09594653250369498,0.0,0.38483294364348536,0.0
Endo,0.015170112328614873,0.2016327293995698,0.01164764273038554,0.028639526627050077,0.0,0.1123096167890155,0.6127322572174275,0.017868114907936706
FDC,0.0,0.0,0.10370030774823523,0.1411349548035048,0.0,0.18097333455589926,0.0,0.5741914028923606
ILC,0.055910092328923085,0.3226073798082286,0.00567707108102775,0.1868765332693842,0.036203481506074976,0.0,0.3723609747800411,0.02036446722632032
Macrophages_M1,0.0346072201956958,0.0,0.03761569743445575,0.04501165357565121,0.027902708958021778,0.15270078566784856,0.4769276037281917,0.2252343304401353
Macrophages_M2,0.12608013730287398,0.5527149608017292,0.0,0.005950748040130527,0.0,0.0,0.31525415385526634,0.0
Mast,0.013381433858994114,0.2227029513121268,0.01745047807654872,0.050554350222440016,0.10948394555704082,0.1369611484517138,0.36040787594516177,0.08905781657597388
Monocytes,0.0,0.31971181966295475,0.04180868031077615,0.00954581366837334,0.0,0.11728009704374669,0.5116535893141492,0.0
NK,0.09305838297382912,0.3288928436283311,0.07559397320094141,0.16789567999967903,0.012285894744437226,0.0,0.2877721656587845,0.034501059793997646
NKT,0.08004585705538657,0.24113071980798415,0.010199114860025562,0.01937798993637098,0.04440537822580867,0.21254664162695874,0.324818400056073,0.06747589843139229
T_CD4+,0.10148829633453069,0.054447205986363864,0.0,0.0,0.040812618732496475,0.45639760186508554,0.22990480755118262,0.11694946953034077
T_CD4+_TfH,0.18041795084923198,0.37880035158004505,0.0319179306401423,0.22602011751368797,0.0,0.0,0.13966888852245068,0.04317476089444191
T_CD4+_TfH_GC,0.030263067420755758,0.0,0.05039343714595731,0.3443458851717639,0.025872455675740733,0.06672642700091037,0.0,0.48239872758487184
T_CD4+_naive,0.7598945545021936,0.006985862356309359,0.0,0.0,0.0,0.22152573831127698,0.0,0.011593844830220088
T_CD8+_CD161+,0.16818203605309975,0.31538232323876797,0.022597365371974442,0.1296157891835544,0.023177245138405547,0.02276456823289826,0.26027766267055163,0.05800301011074794
T_CD8+_cytotoxic,0.2113968399597132,0.2847536429214309,0.06913049113210144,0.1795884343138228,0.0,0.0,0.22789567336319086,0.02723491830974075
T_CD8+_naive,0.543117121205976,0.21976056779867106,0.0,0.050366458614455316,0.04462819178174105,0.015785713782801403,0.12634194681635524,0.0
T_TIM3+,0.05854316844903017,0.14066721909966307,0.09185443332381218,0.15402646715328955,0.3168170899809595,0.0,0.1969882336659635,0.04110338832728215
T_TfR,0.3830522728508962,0.0,0.07788312517078433,0.12590619226477096,0.09052197082711602,0.05190484805378358,0.23224707110780896,0.038484519724839975
T_Treg,0.4949335102157138,0.10521805021488173,0.04319207282676889,0.19462153241265578,0.0,0.0,0.16203483432997984,0.0
VSMC,0.08451411736265126,0.23120052255877147,0.021623557368509048,0.034827742405823495,0.018858627012911734,0.13799443971075534,0.4355210058383319,0.0354599877422459
