,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13
B_Cycling,0.011845024544416004,0.0,0.0012198631437164956,0.0,0.0,0.004838412981830962,0.7683520572052521,0.0,0.011144280578335527,0.0,0.00942326919662691,0.0,0.13368041624616536,0.059496676103656505
B_GC_DZ,0.0,0.0,0.0,0.14167959571187483,0.04544883004489642,0.08516776453313821,0.5419634267447663,0.1262881798693401,0.0,0.0,0.0,0.05945220309598444,0.0,0.0
B_GC_LZ,0.0,0.0,0.0,0.8027935014296158,0.06275688620388782,0.06265137265687229,0.0,0.026348404407343432,0.0,0.0,0.04544983530228072,0.0,0.0,0.0
B_GC_prePB,0.042537195257770694,0.0998086578159338,0.0,0.4311689136695313,0.0,0.01788704719961915,0.24272767007968402,0.0996447753949007,0.0,0.006066842617303604,0.0,0.0221075803024448,0.0,0.038051317662811814
B_IFN,0.05991595983331286,0.00043239226737104076,0.7682748646789087,0.03722674274928885,0.013106940123197977,0.0015725054507985464,0.021503492692279032,0.05981529259601604,0.0,0.0,0.030007463563502822,0.0,0.00814434604532416,0.0
B_activated,0.0,0.0,0.0,0.018038542108154206,0.14297596939665252,0.39857231684544026,0.026358103296076806,0.0,0.18692314310513447,0.11653453392168793,0.0,0.11059739132685388,0.0,0.0
B_mem,0.006797062847170182,0.0,0.0,0.0,0.10741833264075466,0.026512920719485984,0.0,0.0,0.0,0.7830364336864002,0.0,0.07603575919873369,0.00016232304603623954,3.716786141908098e-05
B_naive,0.0,0.0,0.0,0.043552545291357894,0.635813626289827,0.12916038656388026,0.0,0.011139200138156776,0.05033543990485846,0.12632417535650736,0.0,0.0036746264554123583,0.0,0.0
B_plasma,0.018521439647108236,0.05080119595680279,0.006038455586598522,0.0,0.010179293149982185,0.08487783440542823,0.0,0.0026675515359500025,0.7288322449092682,0.0,0.011689388777587415,0.0,0.04355399359023742,0.04283860244103698
B_preGC,0.038356709969144406,0.028649993076711747,0.002410969633479248,0.0,0.012699275809374999,0.04544123157210147,0.0,0.0,0.016451268505857625,0.15160723461411083,0.02436066791620302,0.03574258008489178,0.6153209132727813,0.028959155545343528
DC_CCR7+,0.11758652473486401,0.2003096512523932,0.039565616042381936,0.0,0.0,0.0,0.0,0.4099802386247507,0.0,0.0,0.1376729010581034,0.09296482629680865,0.0,0.0019202419906983036
DC_cDC1,0.0411624854036594,0.0760982973225173,0.010698600538583328,0.0,0.0,0.0,0.10539210880444005,0.0,0.008360845153448575,0.1131131828090492,0.0,0.02083389441928409,0.050644832031774834,0.5736957535172432
DC_cDC2,0.0,0.16752144244249842,0.0,0.0,0.00033942526372689197,0.1812447504627174,0.0,0.002373404285729648,0.0,0.017857266262474098,0.22138975230386693,0.32768649708919,0.0,0.08158746188979657
DC_pDC,0.0017787873002126924,0.0,0.0,0.0,0.04167063759614236,0.48027597922271553,0.0,0.15209608457974622,0.0,0.0,0.20988423212296084,0.0,0.019905058298270613,0.09438922087995168
Endo,0.032187714883626456,0.008287371381515302,0.014222018960184593,0.020580393474425352,0.02408304959923494,0.17301148971339367,0.021475398882733435,0.0,0.031104760276841482,0.023543156844752795,0.022010412255846074,0.6025096323995459,0.02698460132790009,0.0
FDC,0.0,0.14526051171201024,0.05266420279933139,0.496597316478162,0.0,0.0,0.16827927130172532,0.0,0.0,0.1371986977087711,0.0,0.0,0.0,0.0
ILC,0.0,0.0005919302701320823,0.0,0.03212423126422639,0.09849202567777349,0.24775248643403994,0.015348522404198225,0.18071168733044649,0.0928414309870156,0.0,0.15983786210901071,0.1722998235231571,0.0,0.0
Macrophages_M1,0.028160222374232366,0.594145266222867,0.0,0.07635506878250022,0.0153618203942652,0.07485166141820301,0.07904547560283598,0.018827634705730522,0.0,0.057519533339179696,0.03959835205685758,0.011662942293779292,0.0044720228095493555,0.0
Macrophages_M2,0.11398773600457952,0.0,0.019613837082487547,0.0,0.0,0.838500731277978,0.010646175181007422,0.0,0.0,0.0,0.0,0.0,0.003342519556237489,0.013909000897710161
