,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17,mean_cell_type_factorsfact_18,mean_cell_type_factorsfact_19,mean_cell_type_factorsfact_20,mean_cell_type_factorsfact_21,mean_cell_type_factorsfact_22,mean_cell_type_factorsfact_23,mean_cell_type_factorsfact_24,mean_cell_type_factorsfact_25,mean_cell_type_factorsfact_26
B_Cycling,0.005214397453719966,0.0,0.0,0.02384533718091175,0.0,0.0,0.01120749794130451,0.0,0.0,0.0,0.0,0.7867253107237722,0.0,0.007369300418129686,0.03454492038195129,0.005685001166427941,0.010620100967630471,0.00024254548705898065,0.0,0.030839893190431424,0.0,0.0825678412632133,0.0,0.0,0.0,0.0011378538254483205,0.0
B_GC_DZ,0.029605952276977696,0.021471704204297584,0.023421677892417073,0.0,0.00014939971741328046,0.0006762536123773199,0.0026126423424785005,0.0,0.0,0.015499259211972198,0.019872640779671286,0.08649485810118164,0.0038971900869790533,0.0022712500589667697,0.6966082432607376,0.007352405476193163,0.002730910372592586,0.0009041990843473301,0.0,0.0,0.0011859013391197078,0.0,0.008033884150655455,0.002331045543959326,0.011277179018265998,0.06130778464121673,0.0022956188281797445
B_GC_LZ,0.0,0.09093447890430967,0.013555382702644647,0.0,0.0,0.009869044722869395,0.0,0.006164360766362574,0.0,0.0739604928295276,0.0,0.030516268637016373,0.018404672254829054,0.0,0.06222817376780868,0.0,0.0014514365843415053,0.0,0.0,0.0,0.0,0.0,0.002555808115638757,0.0,0.0011705465583747997,0.6891893341562768,0.0
B_GC_prePB,0.0,0.0,0.061871846826600095,0.0,0.0,0.0,0.02261140763137759,0.008317570363039579,0.0071173172091606035,0.0780076529047956,0.17306857376551765,0.13472550413959353,0.009851619005345246,0.0,0.14243209617352556,0.0,0.0,0.0,0.014654824779923853,0.021200749145125104,0.0,0.0,0.04019443833488963,0.00444500492157414,0.03331319225752822,0.24818820254200377,0.0
B_IFN,0.0,0.01769704370974276,0.05193204954630201,0.016058102162197094,0.0,0.0,0.050374721463782586,0.0008424352060203315,0.0,0.01150634160081247,0.01063742175060726,0.02183103546170653,0.0038892629945327857,0.0,0.0007800465721782403,0.0,0.7186895990730673,0.0,0.0176484902945412,0.0,0.0,0.003374749580397122,0.0005553617168119498,0.029537360455392677,0.012680873333910965,0.03196510507799685,0.0
B_activated,0.5661917958865293,0.11203190488706738,0.0,0.0,0.0008416925149354683,0.0,0.0,0.00868736903963181,0.0,0.015855755937104317,0.006739069972865303,0.011821319552664128,0.00735095698576861,0.016438720826368033,0.012659126508605493,0.10636419305318129,0.0,0.022503558327863687,0.0,0.001680880421524374,0.033060129741425845,0.0,0.02820391328385797,0.0,0.0,0.01574161910407199,0.033827993956535
B_mem,0.0,0.12302072704387403,0.0,0.0,0.0,0.0,0.004709121196349452,0.011020333258696021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8150725848139901,0.0,0.0008483412369950854,0.0,0.006195314217356567,0.011062831998025725,0.0039685909380795135,0.005210731687453894,0.0,0.0,0.0,0.018891423609179527
B_naive,0.1592699962152909,0.5488765845242946,0.0,0.0,0.0,0.011505581406266768,0.0,0.0019197808563012307,0.006634686059619915,0.03352774601699027,0.017541498925407715,0.0007685466513471288,0.015735927948390117,0.023687393485291464,0.01651157767557773,0.10502459848061914,0.0,0.016902714655687694,0.0,0.0,0.009229562929713057,0.0,0.0,0.0,0.008044237461894196,0.024819566707308068,0.0
B_plasma,0.13871228971522248,0.005911086849233357,0.01204684918204643,0.017339708034549355,0.0009731315481081021,0.0,0.009332230120055407,0.004783615289438366,0.0,0.0,0.0,0.0,0.02364888608479717,0.6330822697992304,0.0,0.007135514597895906,0.0043107659764323025,0.036398776944595125,0.0,0.010490015222167404,0.016392897085290146,0.017593812589766424,0.009758794354916542,0.0,0.02133030291208558,0.0,0.0307590536941695
B_preGC,0.03966817484459418,0.011719599517824858,0.0,0.03354834086117534,0.0,0.0,0.03546860531028601,0.040026566831042866,0.003906629985775767,0.0,0.0,0.0,0.006679862179015929,0.010168348903807644,0.0,0.14388562229715723,0.0009121282879135592,0.005986629971316711,0.008764915550814637,0.0266849126443605,0.005200742646089038,0.5901868741263394,0.011391450653581813,0.02580059538890433,0.0,0.0,0.0
DC_CCR7+,0.0,0.007265013331913262,0.06174323601919337,0.016204063716326197,0.006943634602892409,0.007325399502003524,0.04255011788762178,0.03772273241399879,0.0,0.0,0.0,0.0,0.008670312003253645,0.0,0.0,0.0,0.011742537455283133,0.0,0.7138445255781595,0.0,0.011907602304057272,0.0,0.017384504216487427,0.04636821475209396,0.01032810621671559,0.0,0.0
DC_cDC1,0.0,0.0,0.0,0.0,0.0,0.0,0.03969857661896319,0.03826534902964152,0.0,0.0,0.016896231115335766,0.09403149890404322,0.0,0.008850204805263405,0.0,0.11405753964520235,0.01360671561001613,0.021572374565699243,0.0,0.5703112880510975,0.0023142262621274902,0.037936038119248124,0.042459957273361985,0.0,0.0,0.0,0.0
