,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16
B_Cycling,0.011652547352575041,0.0,0.004976679147678053,0.0,0.0,0.0,0.0,0.0,0.7777655281331313,0.0,0.0,0.0,0.0,0.0,0.13606082784632867,0.0662943790340095,0.0032500384862774725
B_GC_DZ,0.0,0.0,0.0,0.0,0.0,0.033253723444943116,0.06536462719878566,0.09248132367280901,0.5296701785968947,0.056920954539182854,0.045292363548868626,0.0,0.17701682899851606,0.0,0.0,0.0,0.0
B_GC_LZ,0.0,0.1172400047736926,0.004279331957451497,0.0,0.0009349182123811722,0.0,0.0,0.009361882522928078,0.033713926871468146,0.08938425184737213,0.0,0.01335631424301781,0.7317293695716885,0.0,0.0,0.0,0.0
B_GC_prePB,0.020614042200601184,0.0864042838803984,0.0,0.0,0.038583333059117986,0.02157565520246224,0.007307349462890252,0.09095176130851251,0.1975001374136363,0.0,0.006831128943236545,0.21181625094907305,0.29498456282193103,0.0,0.0,0.023431494758140412,0.0
B_IFN,0.04920436320221216,0.018342356929120507,0.7510507825875355,0.0,0.006882918026017577,0.0,0.0,0.06706512784068816,0.02400581630678505,0.018314514710056965,0.0,0.011997706308097496,0.03175392223400068,0.0,0.010025748588576069,0.0,0.01135674326690989
B_activated,0.0,0.0,0.0,0.10190060199099775,0.0,0.13872161567648847,0.0805486687915529,0.0,0.02056452604886319,0.1289551690308037,0.32476483690169905,0.020664619799517326,0.009901113740175447,0.17397884801990218,0.0,0.0,0.0
B_mem,0.00832353600098668,0.0,0.0,0.8270417723560897,0.011286553983021362,0.0,0.02239280176524824,0.0,0.0,0.12315358154385098,0.0,0.0,0.0,0.0,0.0020684508364521136,0.005733303514350812,0.0
B_naive,0.0,0.04406928155252834,0.0,0.11987146801799545,0.0,0.01725447385789118,0.001856117967485739,0.011637881831112107,0.0,0.6310953469040759,0.07609616154131121,0.022825278251249248,0.028089906336998934,0.047204083739351796,0.0,0.0,0.0
B_plasma,0.013461719927325557,0.0,0.0054551923214241505,0.0,0.05040647596938455,0.0,0.0,0.0126502368960705,0.0,0.009230384207839577,0.07356429737115779,0.0,0.0,0.7138566407703767,0.03770476713209436,0.04146690632495742,0.04220337907936944
B_preGC,0.03851456142313851,0.0,0.003163743488773547,0.153085619217793,0.0434372515752523,0.044217943066365124,0.02454805371743782,0.002688223523428115,0.0,0.012941635923138775,0.021854131202280785,0.0,0.0,0.013838305320031871,0.6168488849447951,0.010459080222118654,0.014402566375446218
DC_CCR7+,0.058713546010019255,0.0,0.03945957321571186,0.0010293207940292653,0.2403220510473158,0.15055132543643643,0.030225990421398743,0.4134377581740717,0.0,0.0,0.0,0.0,0.0,0.0,0.0001326105274512145,0.01321947678067012,0.05290834759289568
DC_cDC1,0.04239963260607371,0.0,0.010572655008476334,0.11451492046618689,0.06410636487906796,0.0,0.020331039506402564,0.0,0.09175734742488191,0.0,0.000806411602981989,0.030803144281677085,0.0,0.005685728317247552,0.04439132596043762,0.5746314299465662,0.0
DC_cDC2,0.0,0.0,0.0027923043313635423,0.02968250520896759,0.20589870703900867,0.4962725666172894,0.20360781133257844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009266913284628095,0.05247919218616426,0.0
DC_pDC,0.015384833350219815,0.0,0.0,0.0,0.0,0.48118060462894635,0.0,0.05530325157509127,0.0,0.03745287742017074,0.2716417520945017,0.0,0.0,0.0026090883793515756,0.02731608932068056,0.05219602594007325,0.056915477290964765
Endo,0.00976850498750251,0.0,0.01009318149538034,0.018985639286289966,0.01810068547967545,0.0,0.5519289303799397,0.042638478579738556,0.010720455726515482,0.02462626334131707,0.18972296328692154,0.0,0.015496398871346176,0.011023367811592952,0.0067727470874080695,0.02952042727492001,0.0606019563914523
FDC,0.0,0.05941432363346186,0.02205338136029621,0.04855455271356019,0.0,0.0,0.0,0.0,0.08685899235743773,0.0008429057455847858,0.0,0.6514368040665405,0.13083904012311873,0.0,0.0,0.0,0.0
ILC,0.0,0.0,0.0,0.0,0.014944572804561332,0.2959607431160924,0.1296731727971839,0.1158054819868471,0.012536189137977667,0.09471756558078254,0.133513233348833,0.0,0.03859018372767109,0.08606055087577738,0.0,0.0,0.07819830662427371
Macrophages_M1,0.021079681272721574,0.06649107645507371,0.0,0.046422806239270434,0.5530696306785575,0.0,0.0,0.03419024561731903,0.07897039089767283,0.01781509279519614,0.06523524023170815,0.07261274786371996,0.043015117407996885,0.0010979705407637638,0.0,0.0,0.0
Macrophages_M2,0.06772402652561764,0.0,0.01889114707274772,0.0,0.0,0.0,0.0,0.06995122615825895,0.0,0.0,0.8076800987063644,0.0,0.0,0.0,0.0016075559447702983,0.034145945592240885,0.0
Mast,0.019902566751964692,0.008635827999530768,0.004465774384872839,0.06214681540519766,0.1903026653454091,0.14590018592617549,0.15266883268939724,0.0,0.06342533060166719,0.029570417985785406,0.10170331197118274,0.0,0.01596049656066496,0.10183363613270999,0.06022470925656507,0.012325942588787945,0.030933486400088868
Monocytes,0.004809841710319245,0.0,0.030841887169647603,0.04930073671074403,0.1373647098475276,0.20576724172611038,0.26351861339202654,0.0,0.0,0.0039988389008520624,0.21626173518523592,0.0,0.0,0.08813639535753653,0.0,0.0,0.0
NK,0.0,0.023888577071346326,0.032485630735297054,0.0,0.0,0.4288284140843558,0.0020936293589347253,0.16920564198095875,0.018288187865424296,0.0640904300365484,0.09441713237582325,0.0,0.045375238406782085,0.09084932776374947,0.0,0.0,0.03047779032078
NKT,0.021548442002880353,0.0,0.0030900375154905273,0.13462755614171523,0.0789928924222737,0.16908930292732569,0.12103513629855389,0.11191911645160837,0.044358357758489696,0.0,0.12766713810298744,0.0025158100520717465,0.015865697947559942,0.09564701322637267,0.024809367777964688,0.048834131374706005,0.0
T_CD4+,0.0698233143364408,0.0,0.0,0.31244816608272896,0.12447648855207706,0.011278751737527654,0.12886706833340458,0.041686587358252994,0.0714447574855128,0.0,0.03558138693989529,0.02785225226470922,0.002933910933252435,0.031540213790852256,0.01489052418981295,0.12717657799553306,0.0
T_CD4+_TfH,0.008716036475539575,0.05252563902146743,0.012700843984884715,0.0,0.0,0.15209234216289705,0.0,0.296849189005915,0.02284139717267118,0.10729206393038176,0.16343036380751746,0.0,0.03651690845205902,0.1470352159866668,0.0,0.0,0.0
T_CD4+_TfH_GC,0.002572726111709604,0.568181176329978,0.002407557110434679,0.024853214162353598,0.0028698544751114058,0.0,0.0,0.03902823850190511,0.05253387550328315,0.06280259010839517,0.0,0.07286434724761018,0.17188642044921915,0.0,0.0,0.0,0.0
T_CD4+_naive,0.7096531744486678,0.0,0.0013094503550238553,0.13094311203391767,0.004913307634768768,0.0,0.0,0.0770668133311926,0.0,0.0,0.010665059726731025,0.0,0.0,0.0005327866924106804,0.0,0.0649162957772874,0.0
T_CD8+_CD161+,0.03767297484673533,0.009405821953937927,0.010951914497839008,0.026188910735003176,0.005948654072005077,0.19153033248340873,0.048841382765932195,0.2206365530083559,0.040511325844186624,0.054752149292123756,0.16800951136237965,0.011311691655082882,0.028916095734588875,0.10878711555652353,0.004967392503765281,0.007725088384861881,0.023843085303270162
T_CD8+_cytotoxic,0.0,0.026420647051077623,0.03221078818813511,0.0044650457078060715,0.0,0.19095607108404014,0.0,0.36971654594705144,0.011894294361459421,0.07071373459848126,0.12443153608808073,0.01476454008673514,0.022875936538625713,0.09730991502095387,0.0,0.0342409453275533,0.0
T_CD8+_naive,0.3622728712938791,0.0,0.0,0.0,0.0,0.11814032800422929,0.0,0.20435907402991008,0.0005007937350492825,0.017984806164192967,0.1578802903642373,0.0,0.004519316655698973,0.08662574322333678,0.023813168618478004,0.0,0.023903607910988157
T_TIM3+,0.01020269822945492,0.021074891803850783,0.026894875574375355,0.0,0.027405753839592213,0.08726550553054793,0.01100656443022885,0.09542346265139252,0.01742727270188408,0.05629018481069028,0.04651357854220778,0.0,0.02871652420808263,0.04834648998014035,0.08399062426322149,0.010604672780590555,0.4288369006537403
