,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8
B_Cycling,0.0,0.12302012682230544,0.010537262406549631,0.8414343133654911,0.02500829740565383,0.0,0.0,0.0,0.0
B_GC_DZ,0.0,0.0,0.0694654096768302,0.5897793205569423,0.0821402372544796,0.019270755011290427,0.20015995092253286,0.0391843265779245,0.0
B_GC_LZ,0.0,0.0,0.06300531529213609,0.0,0.048934343436930566,0.0,0.8880603412709334,0.0,0.0
B_GC_prePB,0.014718672027113997,0.0,0.0,0.2831427397801917,0.0007395439659997512,0.07012632109130866,0.5349157493220578,0.09635697381332801,0.0
B_IFN,0.009522784717720523,0.0,0.026006440565501367,0.04238179566632233,0.0,0.04731755795100778,0.02348615672967467,0.0,0.8512852643697734
B_activated,0.1398803060117274,0.0,0.19052121665092367,0.02875073964966011,0.4463917550641134,0.0,0.0,0.19445598262357527,0.0
B_mem,0.8259867998786493,0.006079522396582985,0.16793367772476767,0.0,0.0,0.0,0.0,0.0,0.0
B_naive,0.14791095141304772,0.0,0.6978144050983264,0.01596156377385918,0.09649625963960522,0.0,0.04181682007516152,0.0,0.0
B_plasma,0.05857701670287907,0.06164736292068727,0.0,0.0,0.8408029719713543,0.01719718741525738,0.0,0.0,0.021775460989821988
B_preGC,0.21740706264315274,0.6728265237933438,0.033918962893474104,0.0004751983223371697,0.04096894167875343,0.024610170083449106,0.0,0.0044113092936846,0.005381831291805105
DC_CCR7+,0.0,0.0592836670793315,0.042663968418000686,0.0,0.0,0.3263164536528867,0.028031385236284644,0.44282100218230824,0.10088352343118828
DC_cDC1,0.2615414211879158,0.12260074314716607,0.0,0.26669968166068225,0.0,0.06995278914904489,0.0,0.24767626218799357,0.031529102667197474
DC_cDC2,0.07491111657616864,0.06636268863601597,0.026728748119105875,0.0,0.1250285807929949,0.0,0.0,0.6833707018366968,0.02359816403901779
DC_pDC,0.0,0.09762388764579924,0.11650870259293579,0.0,0.35506077181971907,0.059799939708607225,0.0,0.36764717265594193,0.0033595255769968716
Endo,0.09589408551193028,0.0,0.037543133294082896,0.028668173686198044,0.18763219297423375,0.01982156212614769,0.0,0.6165308813028537,0.01390997110455387
FDC,0.16511777790461438,0.0,0.0,0.19565280316749034,0.0,0.0,0.5808333158908635,0.0,0.05839610303703162
ILC,0.0,0.041539903387891985,0.17923003062230772,0.0,0.3111450457874139,0.058940909305286615,0.05918295790600946,0.344614669923091,0.005346483067999359
Macrophages_M1,0.13553358709504415,0.02825345451685885,0.005869997165836129,0.12482541784000893,0.0,0.03592929524342624,0.19147277280451408,0.44920593260751057,0.028909542726801015
Macrophages_M2,0.0,0.0,0.013229020650169518,0.0,0.5474464486862819,0.12002999269635752,0.0,0.31929453796719115,0.0
Mast,0.12455346083293711,0.09918370599503634,0.04808734847043967,0.09152766879548242,0.22059234100149122,0.01578025999714075,0.031861838194894875,0.351246971081664,0.01716640563091368
Monocytes,0.10382504674363062,0.0,0.018052313729378114,0.0,0.31639642993406497,0.0,0.0,0.5167958767418208,0.044930332851105564
NK,0.0,0.019081106701419416,0.15205598210234295,0.0,0.3265128421401943,0.0931902774062444,0.08626943211323079,0.2530179148523281,0.06987244468424003
NKT,0.2004388933868422,0.03948393107963774,0.012990336528719159,0.052741328947268684,0.2489052348883469,0.0789504724524409,0.04355904100995358,0.3140601597926428,0.008870601914148148
T_CD4+,0.43494653508421943,0.03030094751187505,0.0,0.11216256097155396,0.0580300364907918,0.0978868929579322,0.03455894212432636,0.2321140848593011,0.0
T_CD4+_TfH,0.0,0.0,0.2068482687024209,0.0,0.36974446879511513,0.1772677294677764,0.1044425238487873,0.11566367103707713,0.026033338148823325
T_CD4+_TfH_GC,0.06979819740180244,0.03328739785669704,0.14902947125130758,0.055190257479679525,0.0,0.028771163664336664,0.6538020766748538,0.0,0.010121435671322931
T_CD4+_naive,0.2187613380089288,0.0,0.0,0.02559497119128427,0.0023882358143820456,0.7532554549854049,0.0,0.0,0.0
T_CD8+_CD161+,0.019549583112620932,0.022532938117989634,0.12090672846862706,0.038498970302014254,0.30807793529668204,0.16484000650871497,0.06233833365250876,0.24307459170328802,0.020180912837554226
T_CD8+_cytotoxic,0.0,0.0,0.16505789373368554,0.0,0.2790317101219711,0.20948680014370596,0.08295463232479919,0.19929377494094608,0.06417518873489224
T_CD8+_naive,0.015011127476696008,0.04820866983257714,0.05309151962417463,0.002599197839353249,0.2209015763057135,0.5426690648674991,0.0019941454914748874,0.11552469856251145,0.0
T_TIM3+,0.0,0.32354982147834477,0.13134404830296217,0.009385004607385752,0.15430750817612413,0.06806973155350537,0.08124179890223135,0.14384275405319832,0.08825933292624812
T_TfR,0.05242806219405183,0.11448969615911501,0.0923761717763963,0.0,0.0,0.377461807383401,0.11788471475846403,0.177064447087199,0.06829510064137279
T_Treg,0.0,0.0,0.1891484607173538,0.0,0.09503846417252729,0.49923425432114715,0.055004351675702515,0.11979562339162175,0.041778845721647556
VSMC,0.12800688528960885,0.017153138866467483,0.03091132583834302,0.027394580274347782,0.23567664110308717,0.08521963625387075,0.03224091548937958,0.42209973143605,0.021297145448845273
