,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17,mean_cell_type_factorsfact_18,mean_cell_type_factorsfact_19,mean_cell_type_factorsfact_20,mean_cell_type_factorsfact_21,mean_cell_type_factorsfact_22,mean_cell_type_factorsfact_23
B_Cycling,0.0,0.0,0.0,0.0057999450367197565,0.0,0.7875040465645828,0.0,0.004281357711462777,0.011469816163398787,0.007760200608769382,0.010504995771388996,0.0,0.0,0.030439651389019304,0.08343759456703159,0.0,0.0,0.0,0.0005759787117071682,0.0,0.0,0.024313946518098047,0.03391246695782118,0.0
B_GC_DZ,0.0,0.021543044082514354,0.00037276022001667407,0.007967600947400642,0.010680393325352719,0.08783326526410166,0.024280398725569308,0.0297226301679804,0.0009571279740990094,0.0032719514794385322,0.002679993499440285,0.0,0.0,0.0,0.0,0.0611807823595019,0.015433109798151679,0.0035970554101445273,0.0023229321717956855,0.020444122323785268,0.006799140049948949,0.0,0.6992326186591897,0.0016810735415686295
B_GC_LZ,0.0,0.09208531898410623,0.0,0.0,0.0013070099037874846,0.03290675257707593,0.008706569286901113,0.0,0.0,0.0,0.0013250901274372495,0.0,0.009163877625296624,0.0,0.0,0.6939170264088568,0.07163991569510474,0.02130033830044017,0.0,0.0,0.0016539503594790593,0.0,0.06599415073151456,0.0
B_GC_prePB,0.0,0.0,0.0,0.0,0.031944250997896564,0.13771345381217934,0.06508908443674166,0.0,0.01864070579906203,0.0,0.0,0.013587474073293157,0.00781452073135988,0.023369484085500006,0.0,0.25052447467807304,0.07828857520096909,0.011107405397840303,0.0009812388023738225,0.17548991387563478,0.040640924641257015,0.0,0.14480849346781943,0.0
B_IFN,0.0,0.018689156261976612,0.0,0.0,0.010957347696892416,0.023371893677866223,0.0677226360713463,0.0,0.047919397348520174,0.0,0.7352786727788223,0.0036235589910395883,0.009034096973160858,0.0,0.006301684845147298,0.03160517159358114,0.013356816379515472,0.0020722355155763004,0.0,0.011689186143004493,0.0020864604012927877,0.01558050951766801,0.0007111758045899185,0.0
B_activated,0.0,0.1107348124010618,0.021973719310164647,0.1084066933752961,0.0,0.006901063679651803,0.0,0.5596073371744249,0.0,0.029155800964533345,0.0,0.0,0.0,0.02082571670284571,0.0,0.014895322877869972,0.012833034809746104,0.0,0.04154872530203652,0.017055777961241886,0.01417461925078308,0.0,0.013809272448185942,0.028078103742158196
B_mem,0.0,0.12479538150393871,0.008722692293930035,0.8183364977450263,0.0,0.0,0.0,0.0,0.005389923244118757,0.0,0.0,0.0,0.005793080238488465,0.004870691906012806,0.003895620811329088,0.0,0.0,0.0,0.0,0.0,0.005723381205113336,0.0,0.0,0.022472731052042533
B_naive,0.0,0.5532750561026492,0.007514937280769312,0.10655719607854351,0.009358569998895684,0.0,0.0,0.16015718205238805,0.0,0.02531342970543586,0.0,0.007366172979931545,0.0,0.0,0.0,0.02501812802797528,0.03444668696501795,0.01445467346725018,0.02060294385367832,0.019629651430013956,0.0,0.0,0.016305372057451268,0.0
B_plasma,0.0,0.00601179087116715,0.014144925661539387,0.007841158263553739,0.022526424564592494,0.0,0.007111499087614084,0.13438726272283846,0.010710224251121987,0.6429106821803628,0.0047872934062203575,0.0009837675988613316,0.00675425256422994,0.011707852255064797,0.01851681428872853,0.0,0.0,0.02218131693332522,0.04096133023471863,0.0,0.006516722029106491,0.015997997678702566,0.0,0.025948685408251772
B_preGC,0.0,0.011674321126794092,0.004675493841559706,0.14680267923939513,0.0,0.0,0.008756747405607477,0.03933518338511507,0.03581098379071542,0.012171517792785774,0.0010364359239441704,0.003221209673808598,0.04844926847182203,0.026968330251756323,0.6019423633363783,0.0,0.0,0.006711167813996983,0.006825680041224335,0.0,0.011914988664305052,0.03370362924079154,0.0,0.0
DC_CCR7+,0.0,0.0,0.0,0.0,0.0,0.0,0.342873009353571,0.0,0.04787894039637079,0.0,0.02616426700700813,0.0,0.450268093341105,0.0,0.0,0.0,0.0,0.050835559819795643,0.0,0.012854204790268855,0.031593387047904264,0.03753253824397637,0.0,0.0
