,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17
B_Cycling,0.0,0.011761523341406371,0.0,0.0647051363731071,0.0,0.0,0.005072318350299053,0.0,0.0,0.7775580036023585,0.00564935841007486,0.0,0.13525365992275418,0.0,0.0,0.0,0.0,0.0
B_GC_DZ,0.0,0.0,0.08061604612967233,0.0,0.061406345951638804,0.05385414788660576,0.0,0.0,0.0,0.5167994705900595,0.0,0.0,0.0,0.02197580920221081,0.0,0.09266512948150345,0.0007254292222978257,0.17195762153601146
B_GC_LZ,0.0,0.0,0.008741560677282689,0.0,0.002288516415324324,0.08877697647914601,0.004365283703648,0.009109799724211777,0.0,0.03471654183336015,0.0,0.12729370979459315,0.0,0.0,0.0004542587007824438,0.0,0.0,0.7242533526716515
B_GC_prePB,0.0,0.01943152434954852,0.0891400593691206,0.022763698856936538,0.025976961058770842,0.0,0.0,0.2070968361634783,0.0,0.19666139021503892,0.0,0.09422502361114454,0.0,0.002839657327353726,0.03827886271666908,0.008560377638007911,0.004742506754879386,0.29028310193905155
B_IFN,0.0,0.04731932669340273,0.06934454649769214,0.0,5.994383977501145e-05,0.018452062988637035,0.7491172083103382,0.011460459353531537,0.0,0.024231559491697467,0.013183881652218662,0.01821251234807679,0.010062663527766521,0.0,0.006169456729418301,0.0,0.0011105321100439893,0.031275846457401536
B_activated,0.09642228710630052,0.0,0.0,0.0,0.11059405364020834,0.12400160736462441,0.0,0.018785625313542855,0.16306565115373153,0.020267273627182596,0.0,0.0,0.0,0.32228514565657446,0.0,0.04634479832286984,0.08797630506651749,0.010257252748447899
B_mem,0.824334149079443,0.008710707829549776,0.0,0.006774275519079329,0.0,0.12339654351393484,0.0,0.0,0.0,0.0,0.0,0.0,0.0011131260111536207,0.0,0.00984314125781997,0.0,0.02582805678901957,0.0
B_naive,0.11974240376557824,0.0,0.011059091865182499,0.0,0.02036953807303709,0.6303075147991047,0.0,0.02195742015998288,0.04768814088874708,0.0,0.0,0.04410101511260397,0.0,0.077021245407228,0.0,0.0002009045877246319,0.00019747883829736114,0.027355246502513572
B_plasma,0.0,0.01486868147096634,0.012350330325325651,0.037965816832258636,0.0,0.009615908169549678,0.005052209294733506,0.0,0.7052856073381654,0.0,0.03850395611944011,0.0,0.03733865209288331,0.07305066818440267,0.039780908319160264,0.0,0.026187261853114575,0.0
B_preGC,0.15360965738336027,0.037165005947553016,0.006027948849181585,0.013375918243937478,0.036748254241291606,0.012764960771607018,0.002946319359970102,0.0,0.013906740147031409,0.0,0.014176630229400104,0.0,0.6114767946371795,0.024863930611365534,0.0463876288800607,0.004288174197276095,0.02226203650078533,0.0
