,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17,mean_cell_type_factorsfact_18,mean_cell_type_factorsfact_19,mean_cell_type_factorsfact_20,mean_cell_type_factorsfact_21,mean_cell_type_factorsfact_22,mean_cell_type_factorsfact_23,mean_cell_type_factorsfact_24
B_Cycling,0.0,0.011054841412312668,0.08245742270283718,0.0038005661148580836,0.0,0.00583970125266335,0.0,0.0,0.0,0.0,0.010488940281260798,0.007826307999768705,0.034987792387393545,0.0,0.000863426712871676,0.0,0.0,0.025265022502756574,0.0,0.0,0.030207746929796282,0.0,0.00036322750846228886,0.7868450041950189,0.0
B_GC_DZ,0.003180756837230201,0.0029368257595594536,0.0,0.0293340883176272,0.0,0.007542781827984952,0.021281321588442866,0.0,0.022690829015123246,0.012012684295909215,0.0027638975667773555,0.002699774661603679,0.6969889311457078,0.0,0.0021628737003643096,0.021105286828871125,0.015376722230939456,0.0,0.0,0.004231332374346463,0.0,0.0012833708118861263,0.06145988871717938,0.08623011865830141,0.006718515662145522
B_GC_LZ,0.0,0.0,0.0,0.0,0.0,0.0,0.09182652988315528,0.00032558151473500085,0.014541448868752138,0.0016397082548124861,0.0016670791211489183,0.0,0.06272181321846448,0.0,0.0,0.0,0.07504000338841413,0.0,0.005524863662521963,0.01946461778341548,0.0,0.0,0.6943944598623516,0.03015897614843384,0.002694918293794715
B_GC_prePB,0.006965149474138368,0.022751472100478665,0.0,0.0,0.009503852111606903,0.0,0.0,0.015708984637185622,0.06075848162547788,0.032937894857254936,0.0,0.0,0.14250062173888212,0.0,0.0,0.1740959476734953,0.07755269117376187,0.0,0.003337286889198969,0.009110121562682224,0.02295403532140011,0.0,0.24850099234596162,0.13453125669499075,0.03879121179348466
B_IFN,0.03244884552396507,0.05040271596849488,0.0032249369337316964,0.0,0.0,0.0,0.017734917181823077,0.016231413539587278,0.05096071357697776,0.012568242194120898,0.7197696004150241,0.0,0.00045363468404963395,0.0,0.0,0.011031650142825316,0.012195114526320576,0.01411231262492905,0.0,0.003132038478023546,0.0,0.0,0.032191355887777065,0.022306143904288093,0.0012363644180619499
B_activated,0.0,0.0,0.0,0.5402638168651971,0.042383612939769645,0.10290256473404194,0.10728605126758545,0.0,0.0,0.0,0.0,0.027629764752722094,0.012169398256836416,0.024889828298720815,0.03568582582538262,0.016337947717733413,0.01785731136099836,0.0,0.002593580390267892,0.0,0.02131625120421489,0.021150505666202905,0.016094727984725964,0.011438812735600526,0.0
B_mem,0.0,0.005087435746014616,0.0037597411255343555,0.0,0.0,0.8146368422024043,0.12374147510222368,0.0,0.0,0.0,0.0,0.0,0.0,0.011365821333308278,0.0,0.0,0.0,0.0,0.0106723034782288,0.0,0.0051808112727144305,0.01978342437463819,0.0,0.0,0.00577214536493335
B_naive,0.0,0.0,0.0,0.15773923897976358,0.010304119295972546,0.10625313958162867,0.5563480979081892,0.0,0.0013885481081123909,0.008700417011382534,0.0,0.024299379775073394,0.016959860902242593,0.0042964131681009175,0.02003478252608606,0.019125039097089035,0.03259037634492813,0.0,0.0,0.016247700717454596,0.0,0.0,0.025712886583976455,0.0,0.0
B_plasma,0.0,0.00930871882965691,0.018882059164903965,0.12930215089870384,0.008284366700520737,0.006929636549677468,0.00584742847338607,0.0,0.012436820876691103,0.020797335236527034,0.004542240970697217,0.6382809909901505,0.0,0.014101696215950208,0.038817583923782095,0.0,0.0,0.01804716235247004,0.0029405386218827054,0.024660484622512958,0.015692654630272793,0.027513645425405506,0.0,0.0,0.003614485516808798
B_preGC,0.02460153432648605,0.03443079793345175,0.588260540319383,0.035141632054682244,0.00759268066053277,0.1424393731694374,0.011146662651997038,0.012221422751134615,0.0,0.0,0.0007698682547881237,0.010629951060050043,0.0,0.005295880709237475,0.009484471648572971,0.0,0.0,0.03462053038833543,0.03925282239200755,0.00600298897039523,0.027459604907890494,0.0,0.0,0.0,0.01064923780161798
DC_CCR7+,0.06570125702637918,0.0426444476983267,0.0,0.0,0.0,0.0,0.005787090427042887,0.7132510643575461,0.0633572944984643,0.024107026581256966,0.015433167985789134,0.0,0.0,0.003480532234284145,0.0,0.0,0.0,0.012602364211197347,0.026132788855931167,0.006010118477823709,0.008159567730852507,0.0,0.0,0.0,0.01333327991510596
DC_cDC1,0.0,0.039920397254555186,0.0392805079528197,0.0,0.0,0.11528698709643888,0.0,0.0,0.0,0.0,0.013686786288537938,0.00872321488095293,0.0,0.0,0.021016967784976325,0.01711762416546255,0.0,0.0,0.035970610901905266,0.0,0.5738386017158993,0.0,0.0,0.09559105987962416,0.039567242078827704
DC_cDC2,0.019865677622472,0.0,0.00871029569503527,0.05205164155420655,0.09808721345644489,0.02006533677582367,0.0063881309244777406,0.04381687424384372,0.0006838358214904123,0.006156932982991534,0.001087675211684323,0.013083848683980027,0.0,0.02058597300069648,0.018397119357649993,0.0,0.0,0.0035122877016235546,0.6536859654358662,0.006141615563512549,0.015742891995944128,0.01193668397225688,0.0,0.0,0.0
DC_pDC,0.0010510737670887892,0.0022045707091442237,0.006576864287365645,0.059949100124674956,0.6902069435583865,0.0,0.019302992442246,0.0,0.03828834975196719,0.02871719800732394,0.005139992340008485,0.030774592310078328,0.0,0.0,0.055824840911460186,0.0,0.0,0.01560052235433545,0.0,0.02872411537971788,0.017638844056202384,0.0,0.0,0.0,0.0
Endo,0.008655982160864873,0.006840183541679578,0.0,0.07420735278593255,0.03757122183796282,0.02492217279305094,0.012903692834694615,0.027748689429815888,0.005706072716781969,0.00271089000014801,0.008442834927571847,0.02302161890479017,0.008022728472100178,0.4919974755475051,0.06495756873708206,0.0,0.00010265921151303881,0.012263356992080298,0.04826963717119749,0.022911441460363113,0.021470170772546367,0.05201478365732112,0.003988364634941248,0.0025486956032118027,0.03872240580684473
FDC,0.0,0.0,0.0,0.0,0.0,0.046100045309819954,0.0,0.0,0.0,0.0,0.018682431992989718,0.0,0.03361886836863432,0.0,0.0,0.629898823069577,0.06002300277042517,0.0,0.0,0.0,0.0,0.0,0.1351184902636747,0.07655833822487912,0.0
ILC,0.0,0.0,0.0,0.2385004428590504,0.08833564678953913,0.0,0.06415061166477384,0.13523394453981138,0.08639703403507117,0.0,0.0,0.0,0.024184215593406153,0.04216437498258641,0.0,0.0,0.0005831740229290258,0.0631998526218327,0.07488379247302474,0.10257454956921924,0.0,0.04442117523634232,0.029442227761330014,0.0,0.0059289578510835295
Macrophages_M1,0.025778271472843894,0.01328369017792106,0.007822294198742469,0.0,0.04404477662424207,0.04093308600081045,0.01875359621188862,0.009046334846468043,0.021097950278451003,0.0,0.008616558697464648,0.011051552195359847,0.001651311302301043,0.021495864254602513,0.01602389467355927,0.04013949641480289,0.026723367026589995,0.005592753707879057,0.036912484168808476,0.005462473328596512,0.03526436209952712,0.0,0.031027912251984705,0.06182476168881507,0.5174532083783411
Macrophages_M2,0.0,0.03052054188593563,0.0,0.11950777049260318,0.043862912810627916,0.0,0.0,0.0,0.03716686375450099,0.02483500801926042,0.006188861831599225,0.0477648605244068,0.0,0.0,0.6703007163318891,0.0,0.0,0.0,0.0,0.012666711994123175,0.0,0.0,0.0,0.007185752355053587,0.0
Mast,0.0,0.014734769974923,0.04661452466702401,0.09646585336683794,0.022671034455535706,0.05362084730854016,0.0236368184934652,0.02451752231134693,0.0,0.0,0.0038326847304359143,0.07487307688094261,0.008038978170225284,0.06188055617630076,0.05882965134902028,0.0,0.006112764009492221,0.02642545317497003,0.24625589778596765,0.0,0.0,0.06381720850351802,0.014639746050157474,0.05499543859312051,0.09803717399817627
Monocytes,0.0,0.0044471370188317915,0.0,0.23748743564789224,0.0,0.04223295645602507,0.0,0.0,0.0,0.015120655642626307,0.02575516551633982,0.017549450991191526,0.0,0.11816136023953693,0.08727575246503079,0.0,0.0,0.0,0.2836027758050246,0.0015013156429234287,0.0,0.09519879979182534,0.0,0.0,0.0716671947827521
NK,0.0034090115502705717,0.005744105144446005,0.002837497467731541,0.09292025513632586,0.049482491835092575,0.0,0.03862064112633696,0.019567421130072562,0.07218153381538753,0.08045843115058623,0.01677677760723732,0.03265836564333701,0.0035804817486972595,0.00858747480191169,0.0459309334423621,0.0,0.007423216052471927,0.02813156697906167,0.02427709649280724,0.4441595288476923,0.0,0.0,0.018607926292322587,0.00464524373584914,0.0
NKT,0.03478248353305569,0.025771527736669714,0.027421672798247324,0.1972499143449881,0.013504236414698684,0.10448598348069778,0.0,0.0540089370572346,0.021413598403123655,0.13936952446382364,0.0019562341077442582,0.0021839428220087292,0.01410238126811189,0.03809284819429561,0.0,0.0,0.0,0.0,0.03657885112415205,0.039021573374792964,0.0594805295320719,0.08610450333301148,0.005397304308844118,0.025900248258051043,0.07317370544437675
T_CD4+,0.06884824627325818,0.06498417725005945,0.007837023986398284,0.06509687796848196,0.0,0.27574715323950855,0.0,0.0,0.0,0.0,0.0,0.0,0.029147368277864013,0.05076735240595731,0.0,0.01616481239863752,0.0,0.0,0.06268051404297001,0.0,0.12606517863133623,0.0746039661939778,0.0006610628031138113,0.05242887704748839,0.10496738948094854
T_CD4+_TfH,0.015738503581574224,0.018692195657293974,0.0,0.18562426608622234,0.04427511671797013,0.0,0.0757927352781465,0.0,0.2249483564980106,0.14138528118009536,0.01140434612885355,0.06207112428451234,0.016929547920023397,0.0,0.02562750170060949,0.0,0.04702187905883326,0.004305072104395831,0.0,0.09113376132716604,0.0,0.0,0.02817846400185688,0.006871848474436134,0.0
T_CD4+_TfH_GC,0.03401509799365744,0.003375654237788985,0.0,0.0,0.0,0.0216419158166539,0.06845166772136196,0.0,0.03680943563679221,0.0,0.0012633313992249176,0.0,0.024905720234303493,0.0,0.0,0.05879200593582488,0.5326873009925028,0.0,0.0,0.0,0.0,0.0,0.15140001518940532,0.05035637371027851,0.01630148113220559
T_CD4+_naive,0.04051783623351704,0.6830648599614356,0.0007441152624143915,0.0,0.0,0.12603852782221664,0.0,0.0,0.06524705146853908,0.0,0.0001817200731994989,0.0019475575505041324,0.0,0.0,0.009577437265305747,0.0,0.0,0.0,0.0,0.0,0.0689476815998225,0.003733212763045407,0.0,0.0,0.0
