,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11
B_Cycling,0.04151406821660914,0.0,0.0,0.014184352050444571,0.00695669991208564,0.0027733222792777662,0.0,0.7791560051882853,0.13946097068049723,0.0,0.0,0.015954581672800432
B_GC_DZ,0.0,0.049509549178389976,0.0,0.0,0.0,0.0,0.13087284853096542,0.5556669833612725,0.0,0.09008906760804772,0.14347315319503615,0.030388398126288223
B_GC_LZ,0.0,0.06976042331347498,0.0,0.0,0.0586422534355465,0.0,0.012195176685620679,0.0,0.0,0.0,0.8250255005649736,0.03437664600038416
B_GC_prePB,0.07516275770017473,0.0,0.011858291984134713,0.04060074189619311,0.0,0.0,0.11564684462797228,0.25233334617174824,0.0,0.04526534333378411,0.45913267428599286,0.0
B_IFN,0.0,0.013755959750244098,0.0,0.06148889284667413,0.02762090063027025,0.7744817873992288,0.0565765825208243,0.021203937890083395,0.007319164390205469,0.0,0.037373695702990324,0.0001790788694790958
B_activated,0.0,0.1702607254394482,0.11858111047849207,0.0,0.0,0.0,0.0,0.039318290171771034,0.0,0.30663918769297865,0.001159847837297808,0.3640408383800122
B_mem,0.0,0.1172506919992332,0.8096221442955361,0.0070823221173213335,0.0032376198882241494,0.0,0.0,0.0,0.003825296452527505,0.0589819252471577,0.0,0.0
B_naive,0.0,0.6855679946468825,0.1348903966474341,0.0,0.0,0.0,0.01681592898169435,0.0,0.0,0.0392136359669425,0.04856133647201636,0.07495070728503038
B_plasma,0.078445533155072,0.0,0.034387759779985615,0.018460111753864326,0.0,0.015782776171032124,0.00016725285925609274,0.0,0.03897097761985308,0.0,0.008475105722579222,0.8053104829383575
B_preGC,0.03396785888128954,0.01286602097994731,0.1531038133921164,0.03827848839889634,0.012359034723578776,0.0051373219432568566,0.006336726662402524,0.0,0.6326697295661792,0.07359604580806649,0.0,0.03168495964426657
