,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10
B_Cycling,0.0,0.04356475008023854,0.0,0.056337612331789653,0.6535628157649669,0.0,0.10177672921248745,0.0,0.09207498912637982,0.0,0.052683103484137704
B_GC_DZ,0.0,0.0,0.0,0.05364313524783317,0.605398356130939,0.0,0.10951673384074974,0.0,0.2314417747804782,0.0,0.0
B_GC_LZ,0.0,0.0,0.0,0.0,0.7760176777662804,0.0,0.0,0.0,0.2239823222337196,0.0,0.0
B_GC_prePB,0.0,0.0,0.0,0.0,0.7971052181323812,0.0,0.0,0.0,0.20289478186761878,0.0,0.0
B_IFN,0.0,0.9428514993576943,0.0,0.02080431347397665,0.004148006579827434,0.0,0.0004792533215817403,0.0,0.028885112114009202,0.0,0.002831815152910609
B_activated,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
B_mem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02318637011820257,0.0,0.9768136298817973
B_naive,0.0,0.0,0.0,0.018340063419165067,0.014991389525941059,0.0,0.09255790901471093,0.0,0.8616544558802408,0.0,0.012456182159942082
B_plasma,0.0,0.03944582481223004,0.0,0.08419145976638033,0.05111424884311657,0.0,0.6078695807389204,0.0,0.15413696723747866,0.0,0.06324191860187395
B_preGC,0.0,0.04662913305428482,0.0,0.032502992924477385,0.055502040814296216,0.0,0.0,0.0,0.20982312506181386,0.0,0.6555427081451276
DC_CCR7+,0.0,0.1048630130018001,0.0,0.3706545910799437,0.016997461687641966,0.0,0.20121094850926918,0.0,0.10878198970281865,0.0,0.1974919960185263
DC_cDC1,0.0,0.03939837851244622,0.0,0.07727177522815838,0.06678060967554818,0.0,0.2718715196683314,0.0,0.17807733255889155,0.0,0.36660038435662406
DC_cDC2,0.0,0.05812149798196159,0.0,0.0,0.0,0.0,0.4106022917187336,0.0,0.14107875342714662,0.0,0.39019745687215823
DC_pDC,0.0,0.008090219457061176,0.0,0.0868141601000973,0.0,0.0,0.6339053155736422,0.0,0.23208392379736784,0.0,0.03910638107183158
Endo,0.0,0.05462258832953924,0.0,0.08697937686653884,0.033241081172566064,0.0,0.43249102155365476,0.0,0.16310750458563314,0.0,0.22955842749206784
FDC,0.0,0.1062538107992627,0.0,0.00978246005919473,0.3561692267239008,0.0,0.0,0.0,0.3013249449271293,0.0,0.22646955749051254
ILC,0.0,0.0,0.0,0.0,0.0,0.0,0.7432925645547945,0.0,0.24999672027380274,0.0,0.006710715171402662
Macrophages_M1,0.0,0.07349766755087332,0.0,0.1076843317789854,0.1344782255454222,0.0,0.22585778695827824,0.0,0.1694359711672255,0.0,0.28904601699921545
Macrophages_M2,0.0,0.006466968554048852,0.0,0.21309128589671847,0.024189282902986754,0.0,0.6307650119809033,0.0,0.12548745066534256,0.0,0.0
Mast,0.0,0.0,0.0,0.0,0.0,0.0,0.6404086253932025,0.0,0.35959137460679746,0.0,0.0
Monocytes,0.0,0.0,0.0,0.0,0.0,0.0,0.6911029726332949,0.0,0.1414563784724292,0.0,0.16744064889427598
NK,0.0,0.0,0.0,0.06582242200376985,0.0,0.0,0.5292117908456573,0.0,0.4049657871505729,0.0,0.0
NKT,0.0,0.0,0.0,0.0,0.0,0.0,0.700572184469794,0.0,0.2994278155302061,0.0,0.0
T_CD4+,0.0,0.0,0.0,0.0,0.03216054306041705,0.0,0.4035069561209722,0.0,0.3366460877241667,0.0,0.2276864130944441
T_CD4+_TfH,0.0,0.0,0.0,0.0,0.08599078150494469,0.0,0.7723766659838421,0.0,0.14163255251121318,0.0,0.0
T_CD4+_TfH_GC,0.0,0.032793875547883225,0.0,0.04811017926023367,0.38686877170613154,0.0,0.0,0.0,0.5322271734857515,0.0,0.0
T_CD4+_naive,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T_CD8+_CD161+,0.0,0.07528202920174804,0.0,0.1398717472664192,0.0,0.0,0.5402548633595183,0.0,0.20183791553820574,0.0,0.04275344463410862
T_CD8+_cytotoxic,0.0,0.031032222439965614,0.0,0.19663504317526306,0.06261837086926687,0.0,0.4245268954679779,0.0,0.2851874680475265,0.0,0.0
T_CD8+_naive,0.0,0.0,0.0,0.5170440279558363,0.03163900481138605,0.0,0.3418693726115943,0.0,0.10195961383044061,0.0,0.007487980790742895
T_TIM3+,0.0,0.17116302218069027,0.0,0.20798844242739142,0.013481758124149526,0.0,0.21592145311144592,0.0,0.17238502618618887,0.0,0.21906029797013396
T_TfR,0.0,0.09991897591008272,0.0,0.31514621013886734,0.03125335346783145,0.0,0.2099394921624611,0.0,0.18033885504816488,0.0,0.1634031132725925
T_Treg,0.0,0.0,0.0,0.36876402605115,0.14050359905618368,0.0,0.24688651240799744,0.0,0.12996372764189143,0.0,0.11388213484277751
VSMC,0.0,0.03837905050394163,0.0,0.15706103698463023,0.027362214357757784,0.0,0.4395336432837338,0.0,0.1465608534823203,0.0,0.19110320138761616
