,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14
B_Cycling,0.0,0.0,0.0,0.0,0.0,0.0920788013702718,0.0,0.0,0.05634134520709263,0.6535576770213721,0.0,0.0,0.05269338455032801,0.04356595305068897,0.10176283880024653
B_GC_DZ,0.0,0.0,0.0,0.0,0.0,0.23146523371608652,0.0,0.0,0.05364459880181773,0.6054063133712754,0.0,0.0,0.0,0.0,0.10948385411082028
B_GC_LZ,0.0,0.0,0.0,0.0,0.0,0.22397045891291045,0.0,0.0,0.0,0.7760295410870895,0.0,0.0,0.0,0.0,0.0
B_GC_prePB,0.0,0.0,0.0,0.0,0.0,0.20289800183323906,0.0,0.0,0.0,0.797101998166761,0.0,0.0,0.0,0.0,0.0
B_IFN,0.0,0.0,0.0,0.0,0.0,0.028884046409146356,0.0,0.0,0.020803587366033164,0.004147054005614682,0.0,0.0,0.0028348465295672054,0.9428555815710623,0.0004748841185762157
B_activated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B_mem,0.0,0.0,0.0,0.0,0.0,0.023171516802788263,0.0,0.0,0.0,0.0,0.0,0.0,0.9768284831972117,0.0,0.0
B_naive,0.0,0.0,0.0,0.0,0.0,0.861759928913667,0.0,0.0,0.01832699851217805,0.014961389650629207,0.0,0.0,0.012534061887848582,0.0,0.09241762103567698
B_plasma,0.0,0.0,0.0,0.0,0.0,0.15415688555031623,0.0,0.0,0.08419940136924595,0.05110688917095254,0.0,0.0,0.06326710368533314,0.039448626792924095,0.607821093431228
B_preGC,0.0,0.0,0.0,0.0,0.0,0.209802729492979,0.0,0.0,0.03249506322427188,0.05549642079846747,0.0,0.0,0.6555763084696778,0.04662947801460376,0.0
DC_CCR7+,0.0,0.0,0.0,0.0,0.0,0.108786327584726,0.0,0.0,0.37066587378480886,0.016992416763166155,0.0,0.0,0.19751475852119144,0.10486605241179546,0.20117457093431218
DC_cDC1,0.0,0.0,0.0,0.0,0.0,0.1780898117672599,0.0,0.0,0.07727473498581988,0.0667735329816642,0.0,0.0,0.3666424655228767,0.03940004025934908,0.27181941448303015
DC_cDC2,0.0,0.0,0.0,0.0,0.0,0.1410874818481093,0.0,0.0,0.0,0.0,0.0,0.0,0.39023462859226693,0.058123490996401066,0.41055439856322273
DC_pDC,0.0,0.0,0.0,0.0,0.0,0.23210709294137669,0.0,0.0,0.08682217144556532,0.0,0.0,0.0,0.03914682539762029,0.00809106765236513,0.6338328425630726
Endo,0.0,0.0,0.0,0.0,0.0,0.16311905234257026,0.0,0.0,0.08698480325213917,0.03323427894819105,0.0,0.0,0.2295904352861322,0.05462571088460845,0.4324457192863589
FDC,0.0,0.0,0.0,0.0,0.0,0.3013143686123223,0.0,0.0,0.009772892760315793,0.3561632508302461,0.0,0.0,0.2264897336845103,0.10625975411260537,0.0
ILC,0.0,0.0,0.0,0.0,0.0,0.25003962847855005,0.0,0.0,0.0,0.0,0.0,0.0,0.006752123245982691,0.0,0.7432082482754673
Macrophages_M1,0.0,0.0,0.0,0.0,0.0,0.1694414629889485,0.0,0.0,0.10768842907120076,0.13447155328713647,0.0,0.0,0.28907860790281836,0.07350163076253696,0.22581831598735913
Macrophages_M2,0.0,0.0,0.0,0.0,0.0,0.1255167295826369,0.0,0.0,0.21310658669183274,0.024183294340810978,0.0,0.0,0.0,0.006469383520629774,0.6307240058640897
Mast,0.0,0.0,0.0,0.0,0.0,0.35968328589843895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.640316714101561
Monocytes,0.0,0.0,0.0,0.0,0.0,0.14147796453304298,0.0,0.0,0.0,0.0,0.0,0.0,0.16747140684612757,0.0,0.6910506286208294
NK,0.0,0.0,0.0,0.0,0.0,0.40508883569640924,0.0,0.0,0.06582584917623133,0.0,0.0,0.0,0.0,0.0,0.5290853151273593
NKT,0.0,0.0,0.0,0.0,0.0,0.2994934497267423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7005065502732577
T_CD4+,0.0,0.0,0.0,0.0,0.0,0.33667553011253587,0.0,0.0,0.0,0.03214884261750772,0.0,0.0,0.22775160501894662,0.0,0.4034240222510098
T_CD4+_TfH,0.0,0.0,0.0,0.0,0.0,0.14167379931730986,0.0,0.0,0.0,0.08598532199530529,0.0,0.0,0.0,0.0,0.7723408786873849
T_CD4+_TfH_GC,0.0,0.0,0.0,0.0,0.0,0.532231719468923,0.0,0.0,0.048098532596388376,0.38687087070854065,0.0,0.0,0.0,0.03279887722614789,0.0
T_CD4+_naive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
T_CD8+_CD161+,0.0,0.0,0.0,0.0,0.0,0.2018619803238409,0.0,0.0,0.1398799205105123,0.0,0.0,0.0,0.04279334844938317,0.0752850168988009,0.5401797338174628
T_CD8+_cytotoxic,0.0,0.0,0.0,0.0,0.0,0.2852244360297329,0.0,0.0,0.1966512829333942,0.06260901641865793,0.0,0.0,0.0,0.031039044933040785,0.4244762196851741
T_CD8+_naive,0.0,0.0,0.0,0.0,0.0,0.10197560103345585,0.0,0.0,0.517061615878401,0.03163212855243101,0.0,0.0,0.007520248685106078,0.0,0.34181040585060596
T_TIM3+,0.0,0.0,0.0,0.0,0.0,0.17238968120304057,0.0,0.0,0.2079961250938416,0.013474907349391347,0.0,0.0,0.2190909697721886,0.17117114076381754,0.21587717581772042
T_TfR,0.0,0.0,0.0,0.0,0.0,0.18034358045035961,0.0,0.0,0.3151590623906595,0.03124565807948246,0.0,0.0,0.163431946741667,0.0999240487865039,0.20989570355132756
T_Treg,0.0,0.0,0.0,0.0,0.0,0.129973486401494,0.0,0.0,0.36878063639062547,0.14049427258106442,0.0,0.0,0.11391992487309209,0.0,0.24683167975372391
VSMC,0.0,0.0,0.0,0.0,0.0,0.14656923021790355,0.0,0.0,0.15706885701556542,0.02735680870578315,0.0,0.0,0.1911295292835629,0.03838077947305074,0.4394947953041342
