,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11
B_Cycling,0.0,0.0,0.0,0.0,0.6844958730043359,0.0,0.11650719718258155,0.0,0.0,0.05693450947017474,0.04606022528203085,0.09600219506087694
B_GC_DZ,0.0,0.0,0.0,0.0,0.6218260764809496,0.0,0.08257441722122558,0.0,0.0,0.05625557021771868,0.0,0.2393439360801061
B_GC_LZ,0.0,0.0,0.0,0.0,0.7797359138612424,0.0,0.0,0.0,0.0,0.0,0.0,0.22026408613875753
B_GC_prePB,0.0,0.0,0.0,0.0,0.7951136918622724,0.0,0.012183914477533878,0.0,0.0,0.0,0.0,0.1927023936601937
B_IFN,0.0,0.0,0.0,0.0,0.0013307617078187819,0.0,0.0,0.0,0.0,0.01988675790799837,0.9534439261501405,0.02533855423404225
B_activated,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
B_mem,0.0,0.0,0.0,0.0,0.0,0.0,0.7797524767301914,0.0,0.0,0.0,0.0,0.22024752326980865
B_naive,0.0,0.0,0.0,0.0,0.012611362481241931,0.0,0.09588672143065265,0.0,0.0,0.019392064974498937,0.0,0.8721098511136065
B_plasma,0.0,0.0,0.0,0.0,0.04985019513525455,0.0,0.6521534995979733,0.0,0.0,0.09299970700000189,0.031593527055558644,0.17340307121121168
B_preGC,0.0,0.0,0.0,0.0,0.12395721460734581,0.0,0.31318571045731275,0.0,0.0,0.0343303603230455,0.14126045385588676,0.38726626075640924
DC_CCR7+,0.0,0.0,0.0,0.0,0.02360673316076531,0.0,0.3117262505415886,0.0,0.0,0.40812268653961115,0.12647609667627,0.13006823308176485
DC_cDC1,0.0,0.0,0.0,0.0,0.09327568689864574,0.0,0.5263686012997834,0.0,0.0,0.07985533297260924,0.06653141418761298,0.23396896464134864
DC_cDC2,0.0,0.0,0.0,0.0,0.0,0.0,0.7131644291517616,0.0,0.0,0.0,0.08574817506441679,0.20108739578382157
DC_pDC,0.0,0.0,0.0,0.0,0.0,0.0,0.6715258342236873,0.0,0.0,0.08809165899807192,0.0,0.24038250677824077
Endo,0.0,0.0,0.0,0.0,0.04082609552815166,0.0,0.5914752056124722,0.0,0.0,0.09689165938175405,0.0655208143235473,0.20528622515407477
FDC,0.0,0.0,0.0,0.0,0.40615479540914295,0.0,0.10213593102735612,0.0,0.0,0.007215578644623612,0.13371339869702523,0.3507802962218522
ILC,0.0,0.0,0.0,0.0,0.0,0.0,0.7950860061519713,0.0,0.0,0.0,0.0,0.20491399384802872
Macrophages_M1,0.0,0.0,0.0,0.0,0.16791712593662356,0.0,0.39382047385158386,0.0,0.0,0.11964842031642371,0.10034039755668572,0.21827358233868302
Macrophages_M2,0.0,0.0,0.0,0.0,0.014065345311424886,0.0,0.6160146664333427,0.0,0.0,0.2347899982408044,0.0,0.1351299900144281
Mast,0.0,0.0,0.0,0.0,0.0,0.0,0.7429023541712165,0.0,0.0,0.0,0.0,0.25709764582878347
Monocytes,0.0,0.0,0.0,0.0,0.0,0.0,0.8536649776288094,0.0,0.0,0.0,0.0,0.14633502237119056
NK,0.0,0.0,0.0,0.0,0.0,0.0,0.5918243112134036,0.0,0.0,0.04255291149506074,0.0,0.3656227772915357
NKT,0.0,0.0,0.0,0.0,0.0,0.0,0.7313380729189769,0.0,0.0,0.0,0.0,0.26866192708102304
T_CD4+,0.0,0.0,0.0,0.0,0.03820667384238188,0.0,0.5904515130845008,0.0,0.0,0.0,0.0,0.3713418130731173
T_CD4+_TfH,0.0,0.0,0.0,0.0,0.0784545912818421,0.0,0.7717061138368365,0.0,0.0,0.0,0.0,0.1498392948813215
T_CD4+_TfH_GC,0.0,0.0,0.0,0.0,0.3908537175362148,0.0,0.0,0.0,0.0,0.04942723866600272,0.031473633323961366,0.5282454104738211
T_CD4+_naive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
T_CD8+_CD161+,0.0,0.0,0.0,0.0,0.0,0.0,0.5958921668769281,0.0,0.0,0.14257589078798608,0.06501184776609205,0.19652009456899378
T_CD8+_cytotoxic,0.0,0.0,0.0,0.0,0.05829333896147791,0.0,0.427661061814801,0.0,0.0,0.20494072660714047,0.019261902556902067,0.2898429700596786
T_CD8+_naive,0.0,0.0,0.0,0.0,0.02620180120286303,0.0,0.35274249494399,0.0,0.0,0.5287042002002823,0.0,0.0923515036528648
T_TIM3+,0.0,0.0,0.0,0.0,0.0204195227179992,0.0,0.333677510834017,0.0,0.0,0.23019837618012762,0.2072521309282921,0.20845245933956397
T_TfR,0.0,0.0,0.0,0.0,0.03738692825777273,0.0,0.29364032585560323,0.0,0.0,0.34473307767697653,0.11676758741378834,0.20747208079585924
T_Treg,0.0,0.0,0.0,0.0,0.15356359959260657,0.0,0.3144943784481115,0.0,0.0,0.39253940626493716,0.0,0.13940261569434484
VSMC,0.0,0.0,0.0,0.0,0.031659245207426,0.0,0.5716928821154145,0.0,0.0,0.1771204874684977,0.04256554518585786,0.17696184002280407
