,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13
B_Cycling,0.0,0.05270119749418733,0.6535118009116594,0.0,0.09211199178263584,0.10177346321872777,0.0,0.056339125217825574,0.0,0.0,0.0,0.0,0.043562421374964105,0.0
B_GC_DZ,0.0,0.0,0.6053156224635086,0.0,0.23153859985020628,0.10950480293881366,0.0,0.05364097474747153,0.0,0.0,0.0,0.0,0.0,0.0
B_GC_LZ,0.0,0.0,0.7759332102865312,0.0,0.22406678971346886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_GC_prePB,0.0,0.0,0.7970389938490547,0.0,0.20296100615094534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_IFN,0.0,0.002841888053458341,0.004147336331674529,0.0,0.028893900736289883,0.00047818894302647207,0.0,0.02080466643640477,0.0,0.0,0.0,0.0,0.942834019499146,0.0
B_activated,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_mem,0.0,0.9768338188006603,0.0,0.0,0.023166181199339688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_naive,0.0,0.012508755400938635,0.014926571370449221,0.0,0.8617959078325628,0.09244916663567217,0.0,0.018319598760377236,0.0,0.0,0.0,0.0,0.0,0.0
B_plasma,0.0,0.06326382833204758,0.05109589257247112,0.0,0.15420472562062074,0.6078055504001634,0.0,0.08418709846739125,0.0,0.0,0.0,0.0,0.03944290460730608,0.0
B_preGC,0.0,0.6555177481686363,0.05548276642026137,0.0,0.20988756771615946,0.0,0.0,0.032491629633338785,0.0,0.0,0.0,0.0,0.04662028806160407,0.0
DC_CCR7+,0.0,0.19750803276420173,0.016989007484440006,0.0,0.1088224817760086,0.20118588658483005,0.0,0.3706392960295869,0.0,0.0,0.0,0.0,0.10485529536093283,0.0
DC_cDC1,0.0,0.36661910568318234,0.06676488976042598,0.0,0.17812895600226944,0.2718285301528023,0.0,0.07726648953864963,0.0,0.0,0.0,0.0,0.03939202886267024,0.0
DC_cDC2,0.0,0.3902049871240125,0.0,0.0,0.14111812204358945,0.4105621962504777,0.0,0.0,0.0,0.0,0.0,0.0,0.05811469458192029,0.0
DC_pDC,0.0,0.03915561144934291,0.0,0.0,0.23216000467189052,0.6337905669241787,0.0,0.08680485691458804,0.0,0.0,0.0,0.0,0.00808896003999992,0.0
Endo,0.0,0.2295640916947992,0.03322564590485616,0.0,0.16317546432665195,0.43244348946932054,0.0,0.08697358620820439,0.0,0.0,0.0,0.0,0.05461772239616774,0.0
FDC,0.0,0.22645407525112507,0.3560947803722919,0.0,0.30143544621821966,0.0,0.0,0.009774039085918751,0.0,0.0,0.0,0.0,0.10624165907244473,0.0
ILC,0.0,0.006839086335895648,0.0,0.0,0.24999820157650968,0.7431627120875948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macrophages_M1,0.0,0.28904713988305175,0.13445156521244392,0.0,0.16950659945897525,0.22582614614439084,0.0,0.10767695802551056,0.0,0.0,0.0,0.0,0.07349159127562771,0.0
