,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10
B_Cycling,0.0,0.009460950875592228,0.0,0.0,0.0,0.0,0.0,0.0,0.9643441966658737,0.0,0.026194852458534104
B_GC_DZ,0.0,0.0,0.0,0.0,0.0,0.007238541275695148,0.0,0.0,0.34190145069651007,0.017056340711859044,0.6338036673159357
B_GC_LZ,0.0,0.009489630400547166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009982769266375738,0.9805276003330771
B_GC_prePB,,,,,,,,,,,
B_IFN,0.0,0.22318362138535103,0.0,0.0,0.0,0.459961208467228,0.0,0.0,0.0,0.316855170147421,0.0
B_activated,0.0017482610047441763,0.045469699830123,0.0002680052339796142,0.0,0.0,0.8222355212846831,0.0,0.0,0.0,0.13027851264647022,0.0
B_mem,0.007487369516468684,0.8456046700057862,0.0018812503140055246,0.0,0.0,0.08456819570735294,0.002171655528513015,0.0,0.0,0.05531626078080331,0.002970598147070339
B_naive,0.0,0.045304305540375324,0.0,0.0,0.0,0.03241600561215745,0.0,0.0,0.0,0.9203670913766266,0.0019125974708407154
B_plasma,0.0,0.0018836870163604898,0.0,0.0,0.0,0.0,0.9981163129836395,0.0,0.0,0.0,0.0
B_preGC,0.02584991247001147,0.7162349356668213,0.0,0.0,0.0,0.19577283771207074,0.0,0.0,0.004627290295134153,0.05751502385596242,0.0
DC_CCR7+,0.7942279713626769,0.1876829411735483,0.0,0.0,0.0,0.0180890874637749,0.0,0.0,0.0,0.0,0.0
DC_cDC1,0.09615351946350591,0.44710383829938116,0.0,0.0,0.0,0.0,0.0,0.3591687102483786,0.09757393198873449,0.0,0.0
DC_cDC2,0.8929068908202257,0.002511981131764872,0.004490157047021568,0.0,0.09025258151013926,0.008931951032681825,0.0,0.000906438458166794,0.0,0.0,0.0
DC_pDC,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Endo,0.011850644337035405,0.00036016946535116307,0.9877891861976134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDC,0.1107916688483075,0.08127581832426624,0.11403844576623562,0.0,0.0,0.16272406010455542,0.0,0.0,0.03723158127918478,0.0,0.49393842567745044
ILC,0.38353090952365415,0.09473708737713749,0.07548670695785943,0.0,0.046128635088268026,0.164682883615826,0.0,0.235433777437255,0.0,0.0,0.0
Macrophages_M1,0.9571884029206035,0.0,0.04281159707939656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macrophages_M2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mast,0.6142627766563028,0.10514105418631613,0.17032832294572137,0.0,0.01592728993457149,0.09434055627708816,0.0,0.0,0.0,0.0,0.0
Monocytes,0.9129148652474429,0.04114692746861091,0.030043123013561875,0.0,0.010707815521239627,0.0,0.005187268749144777,0.0,0.0,0.0,0.0
NK,0.2223498855221042,0.16069049271101335,0.010535476688783902,0.0,0.23663648533993611,0.04843470293190976,0.014765032664921832,0.30658792414133074,0.0,0.0,0.0
NKT,0.12571402615841804,0.006933270193513213,0.046608394461581416,0.0,0.20731741792507494,0.14227112552814591,0.0,0.4711557657332665,0.0,0.0,0.0
T_CD4+,0.0011747176617929488,0.004389341020383399,0.004768300551469168,0.0,0.0,0.0,0.007464116420853114,0.9805178728687255,0.0016856514767757934,0.0,0.0
T_CD4+_TfH,0.0,0.0,0.0,0.15071652724761905,0.0,0.0,0.0,0.8492834727523809,0.0,0.0,0.0
T_CD4+_TfH_GC,0.0,0.0,0.0,0.05865563114322531,0.0,0.056966879265469145,0.0,0.36957422005628837,0.11865707069696683,0.09149043891869844,0.30465575991935184
T_CD4+_naive,0.0,0.0,0.0,0.86636034346578,0.0,0.0,0.0,0.13193146309217407,0.0,0.0017081934420458548,0.0
T_CD8+_CD161+,0.06349241249970816,0.04788934539750784,0.0013572040576039668,0.0,0.02534017814604945,0.0,0.0095111670279522,0.8524096928711783,0.0,0.0,0.0
T_CD8+_cytotoxic,0.04611112359070458,0.0699497184902221,0.009541648171548631,0.0,0.12639817840180878,0.030455483773523192,0.0,0.6653747344175666,0.02279970343842376,0.02936940971620266,0.0
T_CD8+_naive,0.003999262161668442,0.058596555485953564,0.00031859844175019883,0.9325269385663929,0.004558645344234816,0.0,0.0,0.0,0.0,0.0,0.0
T_TIM3+,0.01481950824288199,0.006511164333752773,0.010102234922419294,0.4025246654146608,0.0,0.0,0.0,0.25024494031361283,0.3157974867726724,0.0,0.0
T_TfR,0.0,0.04297888165831313,0.0,0.0,0.04215488225255626,0.0,0.0,0.8834137241861816,0.021224274964688806,0.010228236938260178,0.0
T_Treg,0.0,0.025849724793727862,0.005951838731000852,0.08684047595381704,0.0012560244906706806,0.002251304790269685,0.00882424412183066,0.8556351430892395,0.013391244029443545,0.0,0.0
VSMC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
