,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11
B_Cycling,0.7644566290896686,0.0,0.0,0.0,0.1149078619781319,0.007565780673507755,0.02926308065811356,0.0,0.0,0.0,0.034654822886617906,0.04915182471396032
B_GC_DZ,0.5716517324420867,0.0,0.0,0.0,0.035849246317328144,0.0,0.0583062533091367,0.07656950532605677,0.1938310966116829,0.0,0.0637921659937088,0.0
B_GC_LZ,0.4760701720234585,0.0,0.0,0.0,0.0,0.03215458088113319,0.007635754371129573,0.22842776814967383,0.2557117245746049,0.0,0.0,0.0
B_GC_prePB,0.4069548634146151,0.0,0.0,0.0,0.020916286972454266,0.004356538182803932,0.13060537048277557,0.13611478261201693,0.25427402971012975,0.0,0.0,0.046778128625204425
B_IFN,0.006338552318298433,0.0,0.0,0.0,0.03536048355254906,0.8769529487448308,0.026693928053294003,0.020552976403321963,0.022803315752626136,0.0,0.009147640235146068,0.0021501549399336167
B_activated,0.02081374066341865,0.0,0.0,0.0,0.0,0.0,0.005333360266749424,0.11695520988260011,0.7812619026493522,0.0,0.0,0.07563578653787952
B_mem,0.0,0.0,0.0,0.0,0.007251258831278466,0.0,0.00025703339191921533,0.03944402341139051,0.05162074752734662,0.0,0.032450050693873495,0.8689768861441917
B_naive,0.0,0.0,0.0,0.0,0.0,0.0,0.0014067790905290716,0.7662372564405701,0.0,0.0,0.17221568771931509,0.06014027674958583
B_plasma,0.012753021355015867,0.0,0.0,0.0,0.08297105327490316,0.007413244014508484,0.033949775943102146,0.0,0.04185191750336892,0.0,0.8016718017327193,0.019389186176382026
B_preGC,0.0,0.0,0.0,0.0,0.7543830918140111,0.0,0.02120910969445084,0.07424952388971186,0.020004888296899538,0.0,0.02093439169135205,0.10921899461357465
DC_CCR7+,0.01121286697087662,0.0,0.0,0.0,0.21317626062752487,0.10902176364410568,0.3574284640535913,0.0,0.143932173782526,0.0,0.06410271944617882,0.10112575147519669
DC_cDC1,0.1455378291586268,0.0,0.0,0.0,0.26404008340394197,0.0,0.1589644862381328,0.005056441862413446,0.07682234191012934,0.0,0.13521510110823673,0.2143637163185189
DC_cDC2,0.0,0.0,0.0,0.0,0.25410493634729275,0.05853926063113829,0.04593898124076531,0.0,0.3559419461656981,0.0,0.09905421674191064,0.1864206588731949
DC_pDC,0.0,0.0,0.0,0.0,0.2557957467183126,0.0,0.08024431518261571,0.026750744431985447,0.38052269398558214,0.0,0.24596132426491055,0.010725175416593562
Endo,0.022157206389643008,0.0,0.0,0.0,0.13995831428217106,0.030204675993511846,0.07769876333017915,0.0,0.32006136951421355,0.0,0.24152427163206922,0.16839539885821217
FDC,0.426578567408374,0.0,0.0,0.0,0.0,0.0727097941341333,0.005425994368651956,0.17425317361057435,0.12925376881844236,0.0,0.0,0.19177870165982402
ILC,0.09718774405197239,0.0,0.0,0.0,0.18426510493564466,0.018776598937736207,0.0,0.0,0.35898933270030525,0.0,0.2350364761747447,0.10574474319959677
Macrophages_M1,0.1958531352438357,0.0,0.0,0.0,0.11913953398040357,0.06026799011145547,0.06797286724623543,0.021323845569310735,0.23047311283064306,0.0,0.02438272191979477,0.28058679309832124
Macrophages_M2,0.05938983514740064,0.0,0.0,0.0,0.05815525196583719,0.0,0.17543755994776644,0.04583516678359686,0.17162467286783825,0.0,0.4895575132875606,0.0
Mast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10799812315971945,0.0,0.6697332742087946,0.22226860263148596
Monocytes,0.0,0.0,0.0,0.0,0.06907434381441764,0.05690913279610563,0.024251887401527047,0.0,0.2813656303384307,0.0,0.38800074793627143,0.18039825771324758
NK,0.1033802976341127,0.0,0.0,0.0,0.1714993298169904,0.05355256502112118,0.0718785472696396,0.0679848537558787,0.23382173295589084,0.0,0.29788267354636655,0.0
