,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10
B_Cycling,0.0,0.06196325959953446,0.0,0.032117687362093354,0.0,0.0,0.04602213479267717,0.0,0.7859061382697352,0.0,0.07399077997595975
B_GC_DZ,0.0,0.0,0.0,0.0608039714008817,0.0,0.0,0.07025741888749808,0.20448612542093153,0.585880497749042,0.0785719865416466,0.0
B_GC_LZ,0.0,0.0,0.0,0.0037343609411805987,0.0,0.0,0.0,0.2507764992261335,0.48110310704972964,0.22846236135733544,0.0359236714256208
B_GC_prePB,0.0,0.04386980631158569,0.0,0.12767280504510745,0.0,0.0,0.0,0.2543029179252341,0.4055581926660618,0.13477492922892048,0.033821348823090513
B_IFN,0.0,0.0,0.0,0.001412031381425179,0.0,0.0,0.0,0.0,0.0,0.0,0.9985879686185748
B_activated,0.0,0.07168481376815247,0.0,0.0033345255552595953,0.0,0.0,0.0,0.7835906022777531,0.021210507531393773,0.12017955086744105,0.0
B_mem,0.0,0.8730784365537537,0.0,0.0,0.0,0.0,0.033536081439310944,0.05221142270307041,0.0,0.04117405930386496,0.0
B_naive,0.0,0.05774568084604676,0.0,0.0,0.0,0.0,0.1692536096767498,0.0,0.0,0.7730007094772035,0.0
B_plasma,0.0,0.03400773144328224,0.0,0.03348515831430249,0.0,0.0,0.8476284211834532,0.043167582394513494,0.01373063579445312,0.0,0.02798047086999545
B_preGC,0.0,0.20933200897016677,0.0,0.05342976457573095,0.0,0.0,0.11498212746687506,0.0668137096968064,0.012338729542223764,0.0752045707300952,0.46789908901810184
DC_CCR7+,0.0,0.11898067663546688,0.0,0.37753229109131203,0.0,0.0,0.08312215253595494,0.158391324095059,0.011528815381943003,0.0,0.25044474026026414
DC_cDC1,0.0,0.25291585141859063,0.0,0.17498536585299274,0.0,0.0,0.173158851303285,0.09345968100504759,0.15790585530139492,0.0036145256506269225,0.14395986946806222
DC_cDC2,0.0,0.21937810093841237,0.0,0.05528118895357013,0.0,0.0,0.13190196542102695,0.3886271099886759,0.0,0.0,0.20481163469831462
DC_pDC,0.0,0.04325258530672106,0.0,0.0961049551822885,0.0,0.0,0.29689336227955926,0.4219199802356147,0.0,0.026764688937203532,0.11506442805861294
Endo,0.0,0.18792551306959135,0.0,0.08392403652025884,0.0,0.0,0.2670142533831086,0.34025004808266457,0.024643324184625687,0.0,0.09624282475975095
FDC,0.0,0.18926558053918258,0.0,0.0021440482164666545,0.0,0.0,0.0,0.12929181626802327,0.4397200085736857,0.17829410827900774,0.061284438123634044
ILC,0.0,0.12751598542574116,0.0,0.0,0.0,0.0,0.26232565560562676,0.3766134786346075,0.10153881442782911,0.0,0.13200606590619549
Macrophages_M1,0.0,0.29768805322220926,0.0,0.07203753758266439,0.0,0.0,0.03544599306870607,0.24251332489053662,0.20473543355559762,0.021756965176554476,0.1258226925037316
Macrophages_M2,0.0,0.0,0.0,0.18365670150089936,0.0,0.0,0.5187940293247828,0.18407538612841043,0.06392321228041516,0.04955067076549224,0.0
Mast,0.0,0.22912620535473688,0.0,0.0,0.0,0.0,0.6768647044314064,0.09400909021385674,0.0,0.0,0.0
Monocytes,0.0,0.1926575892108683,0.0,0.022574810225212707,0.0,0.0,0.4102594587786885,0.2932856548767817,0.0,0.0,0.08122248690844877
NK,0.0,0.0,0.0,0.07570733943415632,0.0,0.0,0.32489735429345196,0.2530538219349329,0.1073874172178765,0.07199487689305124,0.16695919022653105
NKT,0.0,0.11966539771173286,0.0,0.17181469073295205,0.0,0.0,0.37754683126907895,0.1309161087087866,0.0035109066213447004,0.10162494694278218,0.09492111801332268
T_CD4+,0.0,0.2665581113337017,0.0,0.13795793748625,0.0,0.0,0.2276735905614458,0.18635342714528533,0.026324720469734303,0.0003045193583015892,0.15482769364528126
T_CD4+_TfH,0.0,0.015189658934517536,0.0,0.022209463195369396,0.0,0.0,0.09579970952407056,0.1881997345958806,0.3447853724089911,0.02449504731585468,0.3093210140253161
T_CD4+_TfH_GC,0.0,0.026983210745589178,0.0,0.15463346877972578,0.0,0.0,0.0,0.2298463912634514,0.1613955481937511,0.36024428107235684,0.06689709994512567
T_CD4+_naive,0.0,0.04362561203158639,0.0,0.9404793334291776,0.0,0.0,0.0050986833611957215,0.0,0.0010895170836711975,0.009706854094369171,0.0
T_CD8+_CD161+,0.0,0.11429003154095119,0.0,0.027569817584165296,0.0,0.0,0.3096446465115988,0.24391012656504987,0.11125659287706541,0.0,0.19332878492116948
T_CD8+_cytotoxic,0.0,0.01972254894027092,0.0,0.1997388145278007,0.0,0.0,0.24130444177449528,0.2503037569585475,0.039126653193031796,0.17457889858384715,0.07522488602200668
T_CD8+_naive,0.0,0.0,0.0,0.4599930529923868,0.0,0.0,0.26432526325394656,0.053190088524104666,0.0020496150514227314,0.0,0.2204419801781392
T_TIM3+,0.0,0.014490360406886015,0.0,0.0606794443908528,0.0,0.0,0.13030382871175794,0.212563103283788,0.07332163863865442,0.047969802173740014,0.4606718223943208
T_TfR,0.0,0.15442948455669586,0.0,0.37791407783761183,0.0,0.0,0.010406752319943839,0.15354224810035896,0.0,0.04515943856295754,0.258547998622432
T_Treg,0.0,0.016162504832692947,0.0,0.26311453421537295,0.0,0.0,0.15047981500578284,0.21934614239571557,0.10955923442387482,0.08098949290276593,0.16034827622379497
VSMC,0.0,0.24533878907696904,0.0,0.13425954252946148,0.0,0.0,0.2492464993339937,0.21408644611131938,0.036433035136078644,0.015955694862457428,0.1046799929497203
