,q05_nUMI_factorsAstro_AMY,q05_nUMI_factorsAstro_AMY_CTX,q05_nUMI_factorsAstro_CTX,q05_nUMI_factorsAstro_HPC,q05_nUMI_factorsAstro_HYPO,q05_nUMI_factorsAstro_THAL_lat,q05_nUMI_factorsAstro_THAL_med,q05_nUMI_factorsAstro_WM,q05_nUMI_factorsExt_Amy_1,q05_nUMI_factorsExt_Amy_2,q05_nUMI_factorsExt_ClauPyr,q05_nUMI_factorsExt_Hpc_CA1,q05_nUMI_factorsExt_Hpc_CA3,q05_nUMI_factorsExt_Hpc_DG1,q05_nUMI_factorsExt_Hpc_DG2,q05_nUMI_factorsExt_L23,q05_nUMI_factorsExt_L25,q05_nUMI_factorsExt_L56,q05_nUMI_factorsExt_L5_1,q05_nUMI_factorsExt_L5_2,q05_nUMI_factorsExt_L6,q05_nUMI_factorsExt_L6B,q05_nUMI_factorsExt_Pir,q05_nUMI_factorsExt_Thal_1,q05_nUMI_factorsExt_Thal_2,q05_nUMI_factorsExt_Unk_3,q05_nUMI_factorsInh_1,q05_nUMI_factorsInh_2,q05_nUMI_factorsInh_3,q05_nUMI_factorsInh_4,q05_nUMI_factorsInh_5,q05_nUMI_factorsInh_6,q05_nUMI_factorsInh_Lamp5,q05_nUMI_factorsInh_Meis2_1,q05_nUMI_factorsInh_Meis2_2,q05_nUMI_factorsInh_Meis2_3,q05_nUMI_factorsInh_Meis2_4,q05_nUMI_factorsInh_Pvalb,q05_nUMI_factorsInh_Sst,q05_nUMI_factorsInh_Vip,q05_nUMI_factorsLowQ_2,q05_nUMI_factorsMicro,q05_nUMI_factorsNb_1,q05_nUMI_factorsNb_2,q05_nUMI_factorsOPC_1,q05_nUMI_factorsOPC_2,q05_nUMI_factorsOligo_1,q05_nUMI_factorsOligo_2,q05_nUMI_factorsUnk_1
exper0_location_0,45.78565654754639,87.63680419921874,45.34345226287842,24.667826080322268,80.5305793762207,88.53893356323243,83.40295219421387,192.4447494506836,29.767627334594728,22.664049530029295,342.3850082397461,193.76506423950195,478.2617874145508,75.10454635620118,173.4176322937012,64.92003326416015,261.2508880615234,484.4280029296875,11.905610179901124,513.2768951416016,497.650717163086,2480.9881835937504,49.12493324279785,211.70290145874023,138.1284568786621,63.557135581970215,41.555684089660645,101.29673767089844,53.60380821228028,35.97939109802246,419.5362548828125,622.7425415039063,8.83811812400818,61.42304573059082,153.18790817260742,858.3009796142578,187.22112884521485,157.07569580078126,23.44920310974121,7.877283191680908,20.618603610992434,1.2473411023616792,98.56810989379883,213.5500816345215,9.926020050048828,0.8699174642562867,5.405904698371888,10.253995847702027,148.23305282592773
exper0_location_1,8.041435766220093,15.587450790405274,10.119047451019286,12.574018907546998,24.966245937347413,60.072308158874506,56.649246025085446,72.1338264465332,30.131255435943604,180.31761856079103,492.36864166259767,36.898350906372066,27.182246398925784,255.38225631713868,257.076025390625,481.7472961425781,62.956447792053225,341.8409027099609,13.551426601409913,404.2590789794922,28.626510620117188,1005.9463134765624,1011.0730255126954,6.491558837890625,355.4649917602539,85.47489624023437,19.751611709594727,14.798089981079102,22.60519495010376,23.654598045349122,44.433325386047365,1182.0574157714843,4.938130116462707,27.517359066009522,54.44945507049561,319.16017150878906,6.304730343818664,82.35982208251954,33.03694477081299,122.58378486633302,36.16446952819824,103.8396167755127,67.32357940673828,283.1107833862305,3.002412164211273,1.4598194658756256,15.914942979812622,7.816353392601013,77.1001495361328
exper0_location_2,83.15102806091308,168.194660949707,53.31370716094971,45.22358417510986,51.86040916442871,153.68563385009764,118.62989234924316,165.33357315063475,11.469806861877442,11.9670015335083,264.35171661376955,31.00224494934082,24.98394832611084,23.185215377807616,33.54809722900391,224.81221466064454,92.00601692199707,76.23514366149902,13.060517883300781,288.48370666503905,15.646887874603273,787.0881622314454,304.25133361816404,294.87088775634766,227.7259864807129,17.45034856796265,8.50970754623413,53.480365180969244,17.475457954406735,16.832349967956542,322.6690139770508,144.7577018737793,14.55902009010315,25.14285707473755,13.467520809173585,52.05620403289795,81.19806098937988,1445.5531188964844,8.039148592948914,11.228279066085816,60.773768806457525,55.30271339416504,100.17697296142579,203.33997955322266,16.146477031707764,0.8527142584323884,0.7814312845468522,2.7133233070373537,136.07046966552733
exper0_location_3,48.49774608612061,91.24237632751465,72.34124488830567,41.86449356079102,18.369398117065433,70.79876861572265,29.054008769989014,221.18029708862304,15.307577466964723,9.518290042877197,778.2549743652344,29.30137710571289,10.207012462615968,17.87103261947632,23.516396617889402,143.58080291748047,81.32208404541015,32.579291343688965,14.963588905334472,631.3555633544922,6.939577794075013,97.02850341796875,410.19819488525394,32.44271278381348,50.508724212646484,51.87483348846436,4.893737578392029,99.3091178894043,68.66061973571777,30.188825416564942,105.1169219970703,283.7306533813476,16.073624706268312,8.89526448249817,2.366205596923828,4.297353053092956,8.079716515541076,522.1722839355468,45.103217124938965,767.1923278808595,15.955886793136598,5.311070537567139,84.81054916381837,287.48402099609376,14.469611120224,1.282861328125,129.46152420043944,63.03023796081543,145.5571617126465
exper0_location_4,39.254444694519044,60.228648567199706,30.943447875976563,9.800471258163451,11.674484300613404,24.62698783874512,15.251829671859742,55.697947311401364,35.398231506347656,26.045803356170655,69.09808807373048,26.82027521133423,109.46646728515626,8.345722436904907,9.972000026702881,121.85470504760742,46.78627586364746,8.821132898330688,9.226087713241578,1070.1705505371094,5.522110724449158,12.65318784713745,399.659341430664,25.15517921447754,58.3328125,105.90465812683105,43.104289054870605,70.48364601135253,32.23243656158447,40.94360828399658,87.36426734924316,146.5925750732422,271.12163238525386,11.267821645736694,5.282876753807068,12.466112804412841,50.000316047668456,968.228451538086,28.10738363265991,1496.4617614746094,1.3165441334247587,0.19225118607282643,46.005950927734375,220.22488555908203,2.8012637853622437,18.146738719940185,159.33751602172853,27.367795753479005,59.02825393676758
exper0_location_5,37.96432647705078,69.75564689636231,33.191724967956546,18.291242408752442,24.784403038024905,95.03106422424315,130.838533782959,122.73368034362792,8.974141597747803,2.600514829158783,912.5074401855469,43.718325042724615,15.478308773040773,92.57356491088868,93.49684104919433,515.2067291259766,50.58531513214111,5.201980805397034,1.9511661112308503,1019.8239318847656,9.298526239395141,12.594369316101075,38.43794898986817,52.959494972229,18.15752248764038,3.7245580434799193,2.2515852093696593,22.711019706726077,7.795383787155151,3.740182888507843,18.01857109069824,129.7833137512207,2.090315520763397,5.5140053033828735,1.2978166639804842,1.2849805355072021,102.4955535888672,847.0724273681641,3.3391818523406984,2.7634894251823425,3.16838858127594,11.626729774475097,237.9049835205078,236.80913925170898,7.8999069929122925,0.12066446095705036,1.5064179003238678,2.5031251430511476,64.95475463867187
exper0_location_6,66.95554542541504,60.06363735198974,35.941431808471684,33.53496208190918,20.011134529113768,59.15324516296387,42.03450050354004,239.3310317993164,1.8842043936252597,0.8285994231700897,897.6314331054688,39.45087718963623,5.055570340156555,12.470246028900148,8.501924800872803,7.634224748611451,233.99511947631837,3.982369101047516,3.297042238712311,954.9976013183593,1.8321035861968995,2.8580857872962953,2.144937586784363,12.254369258880615,12.89697036743164,5.621395564079284,4.874588418006897,102.62231254577637,25.037802982330323,20.085475730895997,32.64768753051758,256.5181976318359,8.697562551498415,7.090423822402954,3.4261353254318236,1.9268953025341033,29.70767641067505,946.8289672851563,5.450585412979127,31.18116006851196,0.9731275200843812,0.23016483411192898,162.6978530883789,178.180558013916,13.11587347984314,0.10879534259438518,0.7116313546895982,1.5240962982177737,114.60892181396486
exper0_location_7,50.02011375427246,80.72972068786622,25.66971321105957,26.105811214447023,15.564600944519043,52.11166534423828,45.270797729492195,225.58712005615234,3.723888981342316,3.367872524261475,601.6416534423828,120.36225967407226,19.906690216064455,10.602952527999879,17.281659507751467,5.243534207344055,131.66260452270507,10.912131214141844,4.171642923355103,397.5362060546875,7.806226134300232,200.95728912353516,1.2715032219886782,34.21126499176026,29.892573070526122,6.4364196300506595,7.6495977401733395,88.88244018554688,55.70231475830078,22.94113245010376,89.86639366149903,155.80189361572263,39.49992218017578,20.343719387054442,2.855325031280518,15.731433057785036,111.75785064697266,847.8001190185546,139.6664047241211,10.129008865356447,3.1227357745170594,1.0157059609889985,256.9750152587891,461.18882751464844,27.596396446228027,5.218659114837647,1.713972532749176,8.666027545928955,392.2802978515625
exper0_location_8,146.69361419677736,122.94605369567871,44.00179138183594,31.965740299224855,33.44749069213867,160.30688095092773,58.11318244934082,79.38566665649414,3.4680236816406254,1.4677658379077911,1325.4393005371094,34.42174091339111,18.942950344085695,17.64368762969971,14.100082111358642,127.95111083984375,147.22801666259767,27.05549020767212,4.246863698959351,322.60637817382815,3.547367000579834,137.43376312255862,37.3251916885376,7.8424501657485965,11.964787673950196,44.14325065612793,7.925328516960144,280.8494766235351,24.59903688430786,42.42618465423584,95.18704376220704,390.8669891357422,26.123203563690186,8.17876901626587,1.7998212575912476,1.624683499336243,8.56808500289917,982.7867218017578,19.06990604400635,7.018535161018371,22.508638381958008,194.6611473083496,111.29385147094726,200.84069442749023,79.2464828491211,0.06211210582405329,0.18440472185611725,2.25384407043457,93.6991180419922
exper0_location_9,363.5869445800781,326.3373260498047,184.82785034179688,219.27755966186524,103.79528694152833,278.3074371337891,93.09016036987305,403.2854507446289,80.8329761505127,1.3901429057121277,678.0911041259766,61.999694633483884,9.743450403213501,23.135588264465333,23.87326545715332,1.9751573145389558,48.17009429931641,1.590640026330948,1.549339133501053,445.8615524291992,1.8682948589324953,0.5467911243438721,1.094344460964203,81.42637252807617,143.59725418090818,11.060164070129396,8.263992881774902,47.05949611663818,27.111710357666016,10.383177375793458,437.1377319335937,101.7658790588379,5.301805448532105,12.011139249801637,2.8388455390930174,2.390462577342987,34.727656555175784,912.6299011230469,20.991618824005126,14.050914096832274,5.298051404953003,1.3228693068027497,53.536034774780276,280.4182723999023,44.732131576538094,49.36646919250488,10.578302907943725,12.24281349182129,133.2513328552246
