,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13
B_Cycling,0.0,0.05411344707838362,0.07063836282538935,0.0,0.07826910903635165,0.08266068450836245,0.0,0.6460759452081983,0.0,0.0,0.040001896029091176,0.0,0.028240555314223408,0.0
B_GC_DZ,0.0,0.1888411256192849,0.0,0.0,0.0,0.19576730224557484,0.0,0.512420287039672,0.0,0.0,0.02205789273406113,0.08091339236140703,0.0,0.0
B_GC_LZ,0.0,0.047815128997550777,0.913202169250288,0.0,0.0,0.0,0.0,0.0389827017521613,0.0,0.0,0.0,0.0,0.0,0.0
B_GC_prePB,0.0,0.06438470755290956,0.33362758746229554,0.0,0.0,0.07616878317094487,0.0,0.5258189218138499,0.0,0.0,0.0,0.0,0.0,0.0
B_IFN,0.0,0.016050251819174438,0.0,0.0,0.010147325908849276,0.011841581602457154,0.0,0.0023142637380070925,0.0,0.0,0.010466585065622883,0.0,0.9491799918658892,0.0
B_activated,0.0,0.017440712788682505,0.0,0.0,0.0,0.14465583064366605,0.0,0.0,0.0,0.0,0.0,0.8379034565676514,0.0,0.0
B_mem,0.0,0.05607524596515821,0.0,0.0,0.9439247540348418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_naive,0.0,0.8012070009909394,0.0,0.0,0.0,0.17325132678531788,0.0,0.012348377298194319,0.0,0.0,0.013193294925548413,0.0,0.0,0.0
B_plasma,0.0,0.0897866156508171,0.0,0.0,0.044697025950834524,0.6384977807266377,0.0,0.04609911246383287,0.0,0.0,0.03493140086581195,0.14576710602604562,0.0002209583160204022,0.0
B_preGC,0.0,0.1423551524599508,0.0,0.0,0.7358146029320647,0.03248082503278881,0.0,0.0204603042216461,0.0,0.0,0.04375060133037195,0.0,0.025138514023177513,0.0
DC_CCR7+,0.0,0.049403845880244525,0.0,0.0,0.10213899599021135,0.3717428755658584,0.0,0.0038531267522097013,0.0,0.0,0.3705599100655611,0.0,0.10230124574591482,0.0
