,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12
B_Cycling,0.0,0.0,0.0,0.0,0.0,0.057726236539525216,0.7394767054850805,0.0,0.0,0.036312527920435066,0.0,0.0671064814298891,0.09937804862507024
B_GC_DZ,0.0,0.0,0.0,0.0,0.0,0.03760710374046349,0.5322779759542379,0.0,0.0,0.0,0.0,0.2063539941483748,0.2237609261569238
B_GC_LZ,0.0,0.0,0.0,0.0,0.0,0.0,0.7513635452307741,0.0,0.0,0.0,0.0,0.24863645476922594,0.0
B_GC_prePB,0.0,0.0,0.0,0.0,0.0,0.0,0.8211908639541302,0.0,0.0,0.0,0.0,0.10603880210795051,0.07277033393791912
B_IFN,0.0,0.0,0.0,0.0,0.0,0.011261595567628324,0.0,0.0,0.0,0.9752274243513329,0.0,0.013510980081038688,0.0
B_activated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B_mem,0.0,0.0,0.0,0.0,0.0,0.03197300043312987,0.0,0.0,0.0,0.0,0.0,0.4084452088061437,0.5595817907607263
B_naive,0.0,0.0,0.0,0.0,0.0,0.016164425355051398,0.0031417856466572414,0.0,0.0,0.0,0.0,0.8413818399065816,0.13931194909170969
B_plasma,0.0,0.0,0.0,0.0,0.0,0.08200470186944427,0.06209887926533259,0.0,0.0,0.021823868199061205,0.0,0.13480943841345383,0.6992631122527081
B_preGC,0.0,0.0,0.0,0.0,0.0,0.11506678723336633,0.08250254805558606,0.0,0.0,0.1391798516895594,0.0,0.360411175039467,0.3028396379820211
DC_CCR7+,0.0,0.0,0.0,0.0,0.0,0.4228681750936834,0.018597168970968827,0.0,0.0,0.14094935484933543,0.0,0.08468710252155041,0.3328981985644619
DC_cDC1,0.0,0.0,0.0,0.0,0.0,0.20959178497541653,0.1262572511021352,0.0,0.0,0.04042364260323472,0.0,0.26761582894942854,0.3561114923697849
DC_cDC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08663134393617539,0.0,0.14055319676420114,0.7728154592996235
