"","HYPO_dorsal","HYPO_dorsal2","HYPO_ventral","HYPO_ventral2","THAL_latHabenula","THAL_lateral","THAL_lateral2","THAL_medHabenula","THAL_medial","THAL_venmedial","WM_dorsal","WM_ventral","PIA_dorsal","VENTRICLE","HPC","HPC_CA1","HPC_CA2/3","HPC_DG","STR","AMY_basomedial","AMY_posterior","PirCTX_L1","PirCTX_L2/3","CTX_ L5","CTX_L1","CTX_L2/3","CTX_L4","CTX_L5","CTX_L6","CTX_L6b"
"THAL_hab",0.109357635435306,0.0928301454159546,0.0945717327803476,0.0644255735440703,0.10349114299995,0.0755582884453807,0.211741005646055,1,0.175715485601753,0.102560915677515,0.235583085813699,0.155646921546829,0.125056815985311,0.109985145279585,0.0507144105810942,0.0360606056295445,0.0810875277727521,0.0536928200539594,0.0519736285724111,0.0513600973303492,0.0972853913831084,0.0360586363484872,0.0484594046630202,0.0296159860208914,0.0163869913415322,0.0282664648320648,0.0363200344108433,0.0353528816636238,0.0425740833922285,0.0587629731162536
"HYPO",0.887927229227374,0.378462914780764,0.488552020162348,1,0.267875806681966,0.108681953487711,0.164957839466069,0.278064670543442,0.629694191859996,0.417353031351471,0.0533239201933177,0.076726418185015,0.112363132581526,0.182435741050905,0.0303459539793448,0.0238941226324294,0.038334709753567,0.0408707531551283,0.0335051015835245,0.0486648730145065,0.157516378309364,0.0271762078696766,0.0335237462512204,0.0265148328469035,0.0107318743134523,0.0179056681860663,0.0282528732951129,0.0259504020205787,0.024874075716583,0.0313564477349764
"THAL_lat",0.122781594136654,0.727342309706369,0.0316102563126192,0.453674893833473,0.110940645523126,1,0.822251015638615,0.0754641629124925,0.627033706200427,0.491870821530922,0.0571793615181684,0.128116335330088,0.0368829606752999,0.0552754276092203,0.0831443014810213,0.0466235554837546,0.0955324265694461,0.0908807074150801,0.0459505961732778,0.0315861961756907,0.0475401277287115,0.0190300786939393,0.0293189401605779,0.118044152552684,0.017930816281341,0.043581097708172,0.114872951211908,0.0586987394381427,0.0630044278974374,0.0344159578324884
"THAL_med",0.181842386602625,0.379912331855528,0.0914664856817431,0.379734444752156,0.126573934734105,0.74726855098924,0.42129017886673,0.140232660032105,1,0.740580261114209,0.102814473328964,0.130259031738214,0.0620193847459952,0.0995998926570853,0.0885844965183798,0.0806388127595922,0.139289014822255,0.113629477709784,0.0702480642808868,0.077452411665788,0.108415916822116,0.0393921412556983,0.0700949321577517,0.110716084051525,0.0272516736923133,0.0722793798234711,0.132779771820023,0.0932015631225583,0.0974226658184666,0.0761125498563694
"WM",0.053042304399529,0.0668366671243679,0.159569911505222,0.035846156459384,0.120436809606324,0.0239093480236562,0.160867019254615,0.753725309968636,0.0612114923223316,0.0286982372736701,0.670438984223633,0.427984898196374,0.428011764567997,1,0.247171766195933,0.0793133912556834,0.106166467810031,0.201147723188004,0.269809511158009,0.105057665982065,0.200721788888047,0.078535080689233,0.0486615069770196,0.0270071053252774,0.0459225722587745,0.0279197255041178,0.0225862717257567,0.037124525904834,0.0804224946866646,0.182565273467643
"AMY",0.0587440090728206,0.0588863342536319,0.368251915346049,0.0476054536398312,0.0354024409055535,0.0623755412630117,0.0767875179309716,0.0705895199307359,0.105489078189686,0.0650580593121099,0.0589705854129164,0.0640445530419609,0.11601807371087,0.0857514155701933,0.174393796256058,0.267151881032986,0.397840205123994,0.254447802669006,0.236073209032241,0.628608938585862,1,0.309164480969457,0.437047616379459,0.129048722982587,0.121267201763541,0.218311750340669,0.171190345805319,0.254499804793318,0.19110383330725,0.254185659071538
"HPC",0.0375626631294182,0.0457041525606807,0.0593003420561177,0.0330899109262096,0.0342809931474253,0.0500068876441135,0.100875423327234,0.0647191737661891,0.083278410721183,0.0437760923633294,0.119891124348713,0.112782803754609,0.207182637712965,0.0814597536925742,1,0.230533965635495,0.280951994245894,0.460288872238238,0.283169436902846,0.120899681921706,0.131956961173298,0.0946844097137613,0.114551019647114,0.143050067106724,0.146896866364435,0.15590424213919,0.173750038534107,0.151432187971623,0.18153364222276,0.175884666394887
"STR",0.078301189803175,0.0788977678806693,0.219822199628359,0.0722970433787481,0.0482354875680126,0.064045911489956,0.114080335069492,0.102457802028095,0.142671023932879,0.0604907876352387,0.238968458416377,0.218152791934812,0.170158088711144,0.161475251335136,0.75434265134748,0.771400988764169,1,0.695259285792222,0.845915846960376,0.481060626267512,0.420686796811752,0.257347682460721,0.378301523503108,0.342658271224769,0.188575497363239,0.439974274849379,0.412906982346319,0.509377401501896,0.587153577564989,0.63839761803736
"AMY_CTX",0.0352647718982542,0.038685864201395,0.303646530135226,0.0280669222775342,0.0252373158605302,0.0460230546759178,0.0526836435080069,0.0530008396425617,0.0845967270565381,0.0435866930314779,0.0471637595777818,0.0507662318122694,0.242473686099311,0.0633196973783534,0.289030029777043,0.531981534499891,0.631216625078272,0.460244522263853,0.384897605916761,1,0.84303265461632,0.654845631460853,0.931210706499009,0.126596689352625,0.191550693825776,0.441210814306254,0.173690593438908,0.465808527466559,0.26979552190174,0.500352122424269
"CTX",0.0146262219936148,0.0231880809462396,0.0263265414119501,0.0166685306638564,0.0124493475320912,0.0208534195682497,0.0290600774276852,0.0170014847169643,0.0299462168555686,0.0183547605078691,0.0202514786661414,0.032637421236666,0.0784216448453365,0.029123086738196,0.11827602087234,0.157347590568684,0.131811077264737,0.218756748095544,0.293270529684022,0.0763298448688466,0.0607970083842689,0.0560378662870625,0.0808739040531697,0.623736844305944,0.187168790826059,0.591265971186877,1,0.435945720308086,0.509337450942012,0.101938766803943
