"","predicted.id","prediction.score.Ext_L25","prediction.score.Inh_6","prediction.score.Micro","prediction.score.Ext_Hpc_DG1","prediction.score.Oligo_2","prediction.score.Ext_Pir","prediction.score.Astro_HYPO","prediction.score.Ext_Hpc_DG2","prediction.score.Inh_Meis2_2","prediction.score.Astro_THAL_med","prediction.score.Inh_2","prediction.score.Inh_Vip","prediction.score.Oligo_1","prediction.score.Ext_Thal_1","prediction.score.Inh_Sst","prediction.score.Ext_L6","prediction.score.Ext_Hpc_CA1","prediction.score.Ext_L5_1","prediction.score.Ext_L56","prediction.score.Inh_4","prediction.score.Inh_5","prediction.score.OPC_1","prediction.score.Ext_L23","prediction.score.LowQ_2","prediction.score.Ext_Hpc_CA3","prediction.score.Inh_1","prediction.score.Unk_1","prediction.score.Astro_AMY","prediction.score.Inh_Meis2_4","prediction.score.Ext_L5_2","prediction.score.Nb_2","prediction.score.Inh_Pvalb","prediction.score.OPC_2","prediction.score.Astro_THAL_lat","prediction.score.Astro_HPC","prediction.score.Inh_Meis2_1","prediction.score.Inh_Lamp5","prediction.score.Ext_ClauPyr","prediction.score.Inh_Meis2_3","prediction.score.Ext_Amy_2","prediction.score.Ext_Amy_1","prediction.score.Ext_Thal_2","prediction.score.Astro_WM","prediction.score.Inh_3","prediction.score.Astro_CTX","prediction.score.Ext_Unk_3","prediction.score.Astro_AMY_CTX","prediction.score.Nb_1","prediction.score.Ext_L6B","prediction.score.max","spot"
"exper0_location_0","Ext_L56",0.0515707740390171,0.0965292142301169,0,0.0996254994010727,0,0,0,0.0348808541213153,0,0,0.00924328914140389,0,0,0,0,0.0275904127919803,0,0,0.404972820857683,0,0,0,0,0,0,0,0.0304479121256475,0,0,0,0,0,0,0,0,0,0.000760983748018724,0,0,0,0,0,0,0,0,0.244378239543744,0,0,0,0.404972820857683,"exper0_location_0"
"exper0_location_1","Inh_6",0,0.448238026257828,0,0,0,0.0402383115146664,0,0,0,0,0.00303744820186778,0,0,0,0,0.0633986874901923,0,0,0.0629789880666762,0.083488426631844,0.0209372962229166,0,0,0,0.00432811864713379,0.0131004612180141,0.0490368991927377,0,0,0.0156188304814774,0,0,0,0,0,0.15337986526049,0,0,0,0,0,0.00590388075780166,0,0.0363147600563539,0,0,0,0,0,0.448238026257828,"exper0_location_1"
"exper0_location_2","Inh_Pvalb",0.00350917553960902,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341376587049346,0,0,0.0397383695811642,0,0,0,0,0,0,0,0,0.0296234637563473,0,0,0,0,0.55343938404748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323130200260538,0.55343938404748,"exper0_location_2"
"exper0_location_3","Inh_Vip",0,0,0,0,0.0397339187150969,0,0,0,0,0,0,0.592594608882389,0,0,0.00597345706866524,0,0,0,0,0.0182527471004792,0,0,0,0,0,0.0047562817165681,0,0,0,0,0.0701458349865889,0,0,0,0,0,0.200140309634715,0,0,0,0,0,0.03380593752491,0.00816581141398972,0,0,0,0.0264310929565974,0,0.592594608882389,"exper0_location_3"
"exper0_location_4","Inh_Vip",0,0,0,0,0.0257130704136134,0,0,0,0,0,0,0.825876883346814,0,0,0.00706186926184753,0,0,0.00167028265225396,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00541910789434427,0,0,0,0,0.134258786431127,0,0,0,0,0,0,0,0,0,0,0,0,0.825876883346814,"exper0_location_4"
"exper0_location_5","Inh_Pvalb",0,0,0,0,0,0,0,0,0,0,0,0.0403518169221574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223099964433752,0.795329941496,0,0,0,0,0.113011255475474,0,0,0,0,0,0.0182453126153479,0,0,0,0,0.0107516770476457,0,0.795329941496,"exper0_location_5"
"exper0_location_6","Inh_Pvalb",0,0,0,0,0.00511211804213814,0,0,0,0,0,0,0,0,0,0,0,0,0.0159081888991628,0,0.0191507965215999,0,0,0,0,0,0,0.00964355884504062,0,0,0,0.0723929006928777,0.833715464034047,0,0,0,0,0.00555042210541746,0,0,0,0,0,0.0202220675868793,0.00638578143420678,0,0,0,0.0119187018386302,0,0.833715464034047,"exper0_location_6"
"exper0_location_7","Inh_Pvalb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393717924190757,0,0,0,0,0,0,0,0,0,0,0,0.0130858440867579,0,0,0,0,0.94247872057152,0,0,0,0,0.00506364292264604,0,0,0,0,0,0,0,0,0,0,0,0,0.94247872057152,"exper0_location_7"
"exper0_location_8","Inh_Pvalb",0,0.0453832569921838,0,0,0,0,0,0,0,0,0.00678695848152389,0,0,0,0,0,0,0,0,0.00476994924430594,0.00137199268423401,0,0,0,0,0,0.0288350606784915,0,0,0,0,0.684751591551029,0,0,0,0,0,0.221984765904173,0,0,0,0,0,0.00611642446405884,0,0,0,0,0,0.684751591551029,"exper0_location_8"
"exper0_location_9","Astro_AMY_CTX",0.0285254744966719,0,0,0,0,0,0.123059066737169,0,0,0,0,0,0,0,0,0,0,0,0.00748413615466785,0,0,0,0.00871577345644194,0,0,0,0.0028412966805979,0.300273923701152,0,0,0.0198667936798709,0.0147669216507766,0,0.0255565271562839,0,0,0,0,0,0.00104441192397979,0,0,0.0924466539649734,0.00897008988517157,0.0404294478226912,0,0.312287903737651,0.0137315789519013,0,0.312287903737651,"exper0_location_9"
"exper0_location_10","Ext_L5_1",0.00642477992979724,0,0,0,0,0.00141485997001948,0,0,0,0,0.00700249517834516,0,0,0,0.00432804180858856,0.0164392373462608,0,0.694997224180383,0,0,0,0,0.0662382769715059,0.0449871798300088,0,0.0609369094772739,0.0537984177700619,0,0,0,0,0,0,0,0,0.0375865657100095,0,0,0,0,0,0,0,0.0058460118277462,0,0,0,0,0,0.694997224180383,"exper0_location_10"
