ENSEMBL,means_sample_effectsample_5705STDY8058280,means_sample_effectsample_5705STDY8058281
ENSMUSG00000051951,0.24168889224529266,0.2270994335412979
ENSMUSG00000089699,0.04443379491567612,0.053995028138160706
ENSMUSG00000033845,0.008531387895345688,0.015065042302012444
ENSMUSG00000033813,0.01041588094085455,0.01718936115503311
ENSMUSG00000002459,0.025480523705482483,0.024788325652480125
ENSMUSG00000033793,0.034668974578380585,0.05263806879520416
ENSMUSG00000025905,0.0007199140381999314,0.0010057148756459355
ENSMUSG00000025907,0.06281480193138123,0.08212246000766754
ENSMUSG00000090031,0.0054964893497526646,0.01459229551255703
ENSMUSG00000033740,0.060249682515859604,0.06725022941827774
ENSMUSG00000051285,0.02945670671761036,0.06049531325697899
ENSMUSG00000097797,0.002844578120857477,0.004520087968558073
ENSMUSG00000025909,0.1223083883523941,0.12222029268741608
ENSMUSG00000061024,0.003481008345261216,0.00579763762652874
ENSMUSG00000025911,0.0025706773158162832,0.0038632950745522976
ENSMUSG00000067879,0.009986680932343006,0.005438714753836393
ENSMUSG00000045210,0.015988025814294815,0.011722085997462273
ENSMUSG00000025915,0.011934182606637478,0.023341596126556396
ENSMUSG00000046101,0.009189274162054062,0.010041823610663414
ENSMUSG00000087199,0.002401454607024789,0.0044164457358419895
ENSMUSG00000025917,0.022317538037896156,0.011969568207859993
ENSMUSG00000056763,0.07211078703403473,0.0836496576666832
ENSMUSG00000067851,0.048927560448646545,0.04394957795739174
ENSMUSG00000042501,0.006400603335350752,0.006242309231311083
ENSMUSG00000048960,0.013504905626177788,0.013038639910519123
ENSMUSG00000057715,0.04514201357960701,0.048140622675418854
ENSMUSG00000016918,0.007817650213837624,0.006213435437530279
ENSMUSG00000025938,0.0019067120738327503,0.001309191226027906
ENSMUSG00000005886,0.0694674625992775,0.09853852540254593
ENSMUSG00000025935,0.008972815237939358,0.01067113783210516
ENSMUSG00000025937,0.012173463590443134,0.009381340816617012
ENSMUSG00000025932,0.0021773551125079393,0.0032176536042243242
ENSMUSG00000032769,9.267840505344793e-05,6.387523171724752e-05
ENSMUSG00000092083,0.09404142946004868,0.0997093990445137
ENSMUSG00000025925,0.019350411370396614,0.03715994581580162
ENSMUSG00000067795,0.0026338298339396715,0.00213921582326293
ENSMUSG00000043716,0.011495443060994148,0.0181422121822834
ENSMUSG00000025921,0.0031400397419929504,0.004323500674217939
ENSMUSG00000025920,0.045304425060749054,0.050026003271341324
