ENSEMBL,mean_sample_effectsample_5705STDY8058280,mean_sample_effectsample_5705STDY8058281,mean_sample_effectsample_5705STDY8058282,mean_sample_effectsample_5705STDY8058283,mean_sample_effectsample_5705STDY8058284,mean_sample_effectsample_5705STDY8058285
ENSMUSG00000051951,0.14430364966392517,0.1259666383266449,0.18986870348453522,0.1074579730629921,0.10480072349309921,0.1322123259305954
ENSMUSG00000089699,0.0484430268406868,0.09278296679258347,0.038021426647901535,0.022708293050527573,0.022227169945836067,0.013891059905290604
ENSMUSG00000033845,0.00940494891256094,0.008682716637849808,0.008807803504168987,0.023021016269922256,0.02228798344731331,0.0302437637001276
ENSMUSG00000033813,0.012248726561665535,0.0153927281498909,0.0123972836881876,0.01832336001098156,0.027702663093805313,0.018609847873449326
ENSMUSG00000002459,0.01896052248775959,0.01945153810083866,0.021303759887814522,0.019152624532580376,0.024381855502724648,0.023513808846473694
ENSMUSG00000033793,0.02762417681515217,0.04600631445646286,0.059721264988183975,0.05885562673211098,0.07489825040102005,0.05719413980841637
ENSMUSG00000025905,0.000686856743413955,0.0015304747503250837,0.0006699725054204464,0.0006804769509471953,0.0006662054802291095,0.0013503276277333498
ENSMUSG00000025907,0.08065366744995117,0.08704540133476257,0.06941656768321991,0.11367716640233994,0.10934823006391525,0.07488732039928436
ENSMUSG00000090031,0.003432005178183317,0.005475963465869427,0.01602358929812908,0.030793091282248497,0.019180288538336754,0.046299539506435394
ENSMUSG00000033740,0.058045584708452225,0.04290919005870819,0.05049482360482216,0.048880841583013535,0.04914828762412071,0.051789071410894394
ENSMUSG00000051285,0.02658906579017639,0.03328485041856766,0.06591649353504181,0.08245504647493362,0.08607127517461777,0.0884893387556076
ENSMUSG00000097797,0.005615751259028912,0.007086241152137518,0.004192897118628025,0.002235536929219961,0.008159387856721878,0.002808361779898405
ENSMUSG00000025909,0.07797782123088837,0.06834671646356583,0.06910231709480286,0.06645704805850983,0.08367852121591568,0.06727345287799835
ENSMUSG00000061024,0.003639029338955879,0.004436666611582041,0.0038827157113701105,0.0047954353503882885,0.010304939933121204,0.012860994786024094
ENSMUSG00000025911,0.004063511732965708,0.004454802256077528,0.004261367488652468,0.006413273047655821,0.0069812145084142685,0.004720746539533138
ENSMUSG00000067879,0.01305384375154972,0.004723047837615013,0.0035326324868947268,0.008670015260577202,0.007569228298962116,0.011984199285507202
ENSMUSG00000045210,0.00892810057848692,0.012225911021232605,0.012079897336661816,0.02668546885251999,0.035771679133176804,0.026679955422878265
ENSMUSG00000097893,0.0021003540605306625,0.0016713691875338554,0.0028380737639963627,0.004693657625466585,0.010447223670780659,0.0008285741205327213
ENSMUSG00000025915,0.031122073531150818,0.01849745213985443,0.01958741992712021,0.022556111216545105,0.034386247396469116,0.014035314321517944
ENSMUSG00000046101,0.013506818562746048,0.012391746044158936,0.00886937789618969,0.011875026859343052,0.02081679366528988,0.009519891813397408
ENSMUSG00000098234,0.0038891120348125696,0.002223798306658864,0.003110140096396208,0.006757712922990322,0.005862080026417971,0.001030441839247942
ENSMUSG00000087199,0.0024523937609046698,0.0020800079219043255,0.004239187575876713,0.01218465343117714,0.023818418383598328,0.0013349700020626187
ENSMUSG00000025917,0.03118065930902958,0.006897061597555876,0.018286526203155518,0.015605609863996506,0.01804620958864689,0.041704192757606506
ENSMUSG00000056763,0.10815772414207458,0.09715370088815689,0.10276288539171219,0.09253385663032532,0.13011951744556427,0.06467079371213913
ENSMUSG00000067851,0.07010035961866379,0.06640645861625671,0.07185935229063034,0.044232312589883804,0.04992038011550903,0.05225936323404312
ENSMUSG00000042501,0.004834411200135946,0.008674927987158298,0.011356523260474205,0.014261547476053238,0.02377203479409218,0.002134877722710371
ENSMUSG00000048960,0.013037427328526974,0.009172210469841957,0.007009550929069519,0.01317512895911932,0.02022765949368477,0.013100641779601574
ENSMUSG00000057715,0.03335689380764961,0.030116179957985878,0.031814951449632645,0.03128216788172722,0.04020366445183754,0.03423718735575676
