,q05_spot_factorsAstro_AMY,q05_spot_factorsAstro_AMY_CTX,q05_spot_factorsAstro_CTX,q05_spot_factorsAstro_HPC,q05_spot_factorsAstro_HYPO,q05_spot_factorsAstro_THAL_lat,q05_spot_factorsAstro_THAL_med,q05_spot_factorsAstro_WM,q05_spot_factorsExt_Amy_1,q05_spot_factorsExt_Amy_2,q05_spot_factorsExt_ClauPyr,q05_spot_factorsExt_Hpc_CA1,q05_spot_factorsExt_Hpc_CA3,q05_spot_factorsExt_Hpc_DG1,q05_spot_factorsExt_Hpc_DG2,q05_spot_factorsExt_L23,q05_spot_factorsExt_L25,q05_spot_factorsExt_L56,q05_spot_factorsExt_L5_1,q05_spot_factorsExt_L5_2,q05_spot_factorsExt_L6,q05_spot_factorsExt_L6B,q05_spot_factorsExt_Pir,q05_spot_factorsExt_Thal_1,q05_spot_factorsExt_Thal_2,q05_spot_factorsExt_Unk_3,q05_spot_factorsInh_1,q05_spot_factorsInh_2,q05_spot_factorsInh_3,q05_spot_factorsInh_4,q05_spot_factorsInh_5,q05_spot_factorsInh_6,q05_spot_factorsInh_Lamp5,q05_spot_factorsInh_Meis2_1,q05_spot_factorsInh_Meis2_2,q05_spot_factorsInh_Meis2_3,q05_spot_factorsInh_Meis2_4,q05_spot_factorsInh_Pvalb,q05_spot_factorsInh_Sst,q05_spot_factorsInh_Vip,q05_spot_factorsLowQ_2,q05_spot_factorsMicro,q05_spot_factorsNb_1,q05_spot_factorsNb_2,q05_spot_factorsOPC_1,q05_spot_factorsOPC_2,q05_spot_factorsOligo_1,q05_spot_factorsOligo_2,q05_spot_factorsUnk_1
exper0_location_0,0.04543902929872275,0.10983092412352562,0.034271779097616674,0.03768930416554213,0.19863144680857658,0.28784326165914537,0.060860709846019746,0.16202230751514435,0.06289729699492454,0.24122781530022622,0.15537650510668755,0.041301473043859005,0.2460404723882675,0.0670476146042347,0.05590512808412314,0.09753372557461261,0.07622812911868096,0.23160870298743247,0.007590453838929534,0.2415261283516884,0.06396761946380138,1.8244645237922668,0.10702644735574722,0.07487642131745816,0.11121213287115098,0.028656346164643763,0.018736237287521364,0.01835620142519474,0.01815393567085266,0.01788140805438161,0.18162218406796454,0.5020578086376191,0.007978094322606922,0.01783189959824085,0.09961100779473782,0.3841557726264,0.27010084986686705,0.09314477220177651,0.010641007544472815,0.01579694552347064,0.035264113917946815,0.007888638041913509,0.06890170015394688,0.12734812945127488,0.018373348005115985,0.009422620991244912,0.009962727315723898,0.008769027376547457,0.07943972125649452
exper0_location_1,0.02048698700964451,0.03422361109405756,0.01864430271089077,0.021986796986311674,0.034835064411163325,0.09836379587650299,0.06813919954001904,0.08564058355987071,0.03410758022218943,0.26630754172801974,0.33738694489002224,0.02059733159840107,0.017988055292516947,0.31627829968929294,0.06679564677178859,0.22127715349197388,0.06601014360785484,0.08432298339903355,0.006589343422092497,0.22705054730176927,0.024280163273215295,0.7518521457910537,0.3195109263062477,0.004635986615903675,0.1638983242213726,0.08232666067779064,0.013253793586045504,0.009680445166304709,0.012100326735526324,0.00913964849896729,0.037280174903571606,1.0135793626308442,0.009799248492345215,0.024792143423110247,0.052013960853219035,0.1062376581132412,0.011485281260684134,0.047812747023999694,0.014180914219468833,0.0773023221641779,0.011832841951400042,0.22133311331272124,0.1464413434267044,0.44490487724542616,0.009586352668702603,0.005353574734181165,0.004271655739285052,0.007117382087744773,0.06317561827600002
exper0_location_2,0.3162940099835396,0.19272652715444563,0.047529556415975095,0.02974877944216132,0.037795839644968514,0.2768709853291511,0.08420495726168156,0.17748213559389114,0.008806369453668594,0.011113117216154933,0.09324381314218044,0.012596586346626281,0.011185851506888866,0.016058713663369417,0.013069386687129736,0.15082560554146765,0.0335396759212017,0.01231668572872877,0.009771984210237861,0.137455665320158,0.008420664630830289,0.4599047601222992,0.16629319861531258,0.0975742943584919,0.23006927743554118,0.012279222486540675,0.005144415865652263,0.023745265789330006,0.009680546401068567,0.008367455750703813,0.20109137892723083,0.12473985888063907,0.007306931540369988,0.01221594805829227,0.0057149268453940754,0.012598337605595589,0.03688775468617678,1.3203836798667907,0.0033550746971741322,0.020508571341633794,0.08038938753306865,0.11902429647743702,0.1459932066500187,0.18305789530277253,0.010827537905424834,0.0012470767949707808,0.0020259397686459126,0.0031287902616895734,0.0436588304117322
exper0_location_3,0.08997029662132262,0.23926249071955683,0.09144756607711316,0.09933305904269218,0.010559633001685144,0.06691560111939908,0.0161085176281631,0.24155670627951623,0.03272093087434769,0.012457456719130278,0.4904385760426522,0.016045133024454115,0.006115526985377074,0.01898796884343028,0.010109861800447107,0.06440893150866032,0.03303088713437319,0.015354022895917297,0.0037329002632759513,0.36186511665582655,0.0037295956164598468,0.2128249414265156,0.05976800359785557,0.02799324141815305,0.0419279582798481,0.011172389099374415,0.006290845246985555,0.02210671566426754,0.012693854281678796,0.010434195352718235,0.08666457422077656,0.2915443658828735,0.018887678533792498,0.006554313795641064,0.002109917008783668,0.005589295248501003,0.00800453508272767,0.23400352150201797,0.019425890035927294,0.8518136501312256,0.01819197880104184,0.018417535070329907,0.08663644008338452,0.3332599103450775,0.016981982439756394,0.005414732429198921,0.11578596681356429,0.06471057310700416,0.036329269781708716
exper0_location_4,0.10827451273798942,0.1261819176375866,0.049726313725113866,0.011998030403628944,0.03123015183955431,0.010950091294944286,0.003992371377535164,0.08548556119203567,0.013499192660674453,0.01121325553394854,0.04178535137325525,0.019922835286706686,0.045909101702272886,0.01423581070266664,0.011352936271578074,0.007678185799159109,0.014817033940926195,0.005192969972267748,0.0009541846200590953,0.7272531181573867,0.00264817054849118,0.028352371323853733,0.004219082579948008,0.017758476082235575,0.030558661837130786,0.08422947786748408,0.025997355952858927,0.024922146834433077,0.011320994887501,0.013794029923155903,0.029324142541736365,0.1409289911389351,0.11207787767052652,0.034527610056102276,0.012684653373435141,0.01706265453249216,0.02541030226275325,0.5818309307098389,0.012599338265135884,2.0981846332550047,0.0006798768561566249,0.00017297472077189014,0.06312914341688156,0.4296949803829193,0.0038478640490211546,0.02176282051950693,0.1365062288939953,0.011681294580921531,0.018074461538344622
exper0_location_5,0.044054439291357994,0.1482592687010765,0.0284477973356843,0.01747395433485508,0.031802879832684997,0.1791333794593811,0.1300596684217453,0.1137934099882841,0.005735473637469114,0.0012354323291219771,0.6129545301198959,0.012756565771996974,0.00904468223452568,0.18775618448853493,0.018651502951979638,0.22040085569024087,0.027519012335687876,0.002125543018337339,0.001064093568129465,0.42215996235609055,0.0039152387878857555,0.018850584607571365,0.07956851236522197,0.023916212376207113,0.01092073987238109,0.005479791364632547,0.0023037309991195795,0.0038824390154331926,0.003503253846429288,0.001841127104125917,0.005377229559235275,0.08422575443983077,0.001425914082210511,0.005141647509299219,0.001187489612493664,0.0008223901357268914,0.042712404392659664,0.47439492493867874,0.00244289186084643,0.009959520725533367,0.0032936493284069003,0.027543321065604687,0.18382478281855585,0.5158785313367844,0.0052195129916071895,0.00011156560540257488,0.004135318915359676,0.0034395114751532676,0.013647461077198386
exper0_location_6,0.061411988176405426,0.05941053275018931,0.01150501873344183,0.18046734482049942,0.0061752569861710065,0.031895720213651654,0.003789266361854971,0.42074461877346037,0.0015860864485148342,0.0008718977158423514,0.6745856702327728,0.008369184518232941,0.0008790806488832459,0.005262970295734704,0.0031942854169756175,0.003007505147252232,0.02191991480067372,0.0014004370546899737,0.0008670763665577397,0.5228701919317246,0.0009204074071021751,0.004231155407615006,0.0022895646980032325,0.003096021804958582,0.006579781416803598,0.004213559138588607,0.003295397851616144,0.024800144322216514,0.004673904040828347,0.011803095601499081,0.02298197392374277,0.13979773744940757,0.004185954038985073,0.002381737914402038,0.0026672761538065973,0.0005076421541161836,0.021399230789393188,0.9344227135181428,0.0014767353190109135,0.05964321047067642,0.00038731693202862514,0.00018866758400690742,0.08732328750193119,0.16635378599166872,0.021233210153877732,9.969062521122397e-05,0.0021205264492891733,0.0019437565177213402,0.0099864074960351
exper0_location_7,0.046464303880929946,0.26967652440071105,0.017253735568374395,0.04020715896040201,0.004460793710313738,0.008009313838556409,0.0029469045228324832,0.3214277997612953,0.004946271819062532,0.009971501352265476,0.4011271819472313,0.03219660390168429,0.011525507504120468,0.007922740001231433,0.005706038721837103,0.005000762222334742,0.036142824403941634,0.005367275886237621,0.003286566468887031,0.2063818372786045,0.00410248355474323,0.19138733595609667,0.001957007683813572,0.024665432795882226,0.039066966995596884,0.003061959822662175,0.003680822195019573,0.03494202811270952,0.009167336206883193,0.003646804578602314,0.04620122853666544,0.04251222275197506,0.05819449089467526,0.0031925705145113173,0.0028619069838896395,0.007657639705576003,0.0691398087888956,0.6623257130384445,0.055482224002480506,0.022621825989335778,0.0005537276592804119,0.00029376819729804994,0.12911175265908242,0.5725642502307892,0.028721480444073678,0.005163121013902127,0.009645026223734022,0.008362051472067833,0.03071975288912654
exper0_location_8,0.2019970916211605,0.3657449305057526,0.03647032976150513,0.042566285096108915,0.011483464203774928,0.18959083035588264,0.03580111283808947,0.04982868600636721,0.0021416388684883715,0.0007033926638541744,0.8507886379957199,0.004167219391092658,0.003111938911024481,0.01720049139112234,0.006466903770342469,0.06469177976250648,0.02801104197278619,0.005441056517884135,0.0020189861534163356,0.24754839092493058,0.0033300862764008344,0.09350259751081468,0.04226555339992046,0.0019611334311775866,0.00892738988623023,0.009540990786626936,0.003636005672160536,0.1750652223825455,0.010334608191624284,0.007229006499983371,0.03082128223031759,0.3048877760767937,0.003978031710721552,0.003684281697496772,0.001580893440404907,0.0005032100656535477,0.0033866131678223607,0.6468939125537873,0.004783742618747055,0.0142698320094496,0.01693326532840729,0.4033311650156975,0.0564835499972105,0.38604485243558884,0.09907076135277748,3.552759353624424e-05,0.0009020138735650107,0.0032104731420986355,0.022103369142860176
exper0_location_9,0.9587916672229767,0.5590885370969773,0.31626196205616,0.16694547683000563,0.06338179893791676,0.18487448394298556,0.022693814896047115,0.5277584135532379,0.028584838286042212,0.0005623301316518337,0.4289144694805145,0.01355211245827377,0.0014309924736153334,0.018571436777710913,0.011193638434633613,0.0015865100373048337,0.007118558674119413,0.00023290343815460802,0.0007168917451053858,0.3175996735692024,0.0005835201765876263,0.002921755355782807,0.0036843454348854717,0.03282425664365291,0.07990103885531426,0.007150133489631117,0.003374142549000681,0.011025296570733189,0.008047320181503892,0.004503761231899261,0.251010986417532,0.044249876588582995,0.0024198358645662666,0.002304388221818954,0.0013890179689042272,0.000890799766057171,0.012599468510597945,0.607604318857193,0.010054095974192023,0.03433415740728378,0.0011984175129327922,0.002063752023968846,0.03978945445269346,0.2682213544845581,0.04841143246740103,0.02509855106472969,0.0338407352566719,0.013193067582324148,0.011135184764862062
exper0_location_10,0.45711722373962405,0.10537103340029716,0.06212663557380438,0.2578762397170067,0.006803621188737452,0.048141670413315296,0.011729073571041228,0.23004910200834275,0.0006296271196333692,0.00031066280498635027,0.3586141586303711,0.007240799092687667,0.00145231977221556,0.004915186949074269,0.0022383259958587585,0.0054786391090601684,0.5806356340646744,0.00044460021599661563,0.03949998337775469,0.12802059948444366,0.001417523599229753,0.0023328578448854388,0.0017216250998899343,0.13754813373088837,0.021049426402896643,0.007844347483478486,0.0022459713742136954,0.058181374892592425,0.014437936991453171,0.008478115731850267,0.0030196004430763424,0.04575681183487177,0.010162412701174618,0.0011328833992592991,0.0015746417862828822,0.0003503862943034619,0.014853731868788602,0.20023212209343913,0.01264512217603624,0.015282359858974814,0.0010797702881973237,0.0001512862800154835,0.06373015455901623,0.14885541126132013,0.002204329159576446,7.92319500760641e-05,0.005819009151309729,0.0029548754566349087,0.012947580218315125
exper0_location_11,0.7373674392700196,0.11048653051257133,0.010212146490812302,0.01817145003005862,0.03832221534103155,0.0021397797274403277,0.00228911453159526,0.4385796532034874,0.135431519895792,0.7134062647819519,0.27931239604949953,0.059830368496477604,0.005558423115871847,0.015150097478181126,0.009242504462599754,0.0012079477368388326,0.010425174608826637,0.11414548680186272,0.0036121307522989808,0.46826519221067425,0.003880138753447682,0.5041039317846299,0.009632974909618498,0.004441800387576222,0.02353485068306327,0.0041750872274860735,0.014922902872785925,0.021253000758588315,0.03278184272348881,0.012062107352539897,0.024582463502883914,0.013108049286529422,0.008565003611147405,0.005388132040388883,0.021889773570001127,0.07730631679296493,0.0072289304574951535,0.9340863347053527,0.12276772446930409,0.020469790417701007,0.0019563724112231285,0.00021456264512380587,0.06640894971787929,0.21497389525175098,0.010012448439374566,0.2601299315690994,0.0008537447836715729,0.0016882150433957578,0.040464117750525476
exper0_location_12,0.08278021551668645,0.11794217303395271,0.02410143194720149,0.022509935963898896,0.01793475039303303,0.0165137049742043,0.011709051951766013,0.36119071394205093,1.0390419602394103,1.4365275263786317,0.08533501587808132,0.04915042035281658,0.04214007258415222,0.22291153892874718,0.05756873413920402,0.006065078149549663,0.012643052404746414,0.21394344717264174,0.012845870712772012,0.23906252235174177,0.034910032711923125,1.493544864654541,0.1028233990073204,0.007827619742602111,0.017025344911962746,0.006212949589826168,0.05020720679312945,0.040639484860002996,0.029684413503855468,0.021154233627021315,0.061281110532581805,0.04568573608994484,0.011977868527173996,0.2675743758678436,0.1473163180053234,0.4763754263520241,0.013697777688503264,0.2545081153512001,0.13701926991343497,0.022827820945531128,0.06619347147643566,0.001738761004526168,0.09105881452560424,0.46387860774993894,0.21938319280743598,0.3834480807185173,0.013365115551277996,0.012420425144955517,0.14209104254841806
exper0_location_13,0.10597092360258104,0.2366909861564636,0.04561601188033819,0.062267832271754746,0.021865209471434357,0.10787262469530105,0.03777073379606009,0.28902572840452195,0.9256400734186173,3.3544137477874756,0.15321557745337486,0.0331269646063447,0.03156155329197645,0.0371627127751708,0.03787798546254635,0.04750281721353531,0.07002008035779,0.4295724779367447,0.06369295977056028,0.36164870709180835,0.05076596681028604,2.5361079454421995,0.6606006026268005,0.010473750438541174,0.09400914870202541,0.008715982409194111,0.11136834286153317,0.025479440297931432,0.047306927293539046,0.04242585636675358,0.022118698805570602,0.13720328360795975,0.03310627602040767,0.03808716051280499,0.3854932546615601,0.5216868788003921,0.008776392368599773,0.03338520638644695,0.011658001691102982,0.038229350559413434,0.02845849506556988,0.07090017534792423,0.09607473164796829,0.3022164672613144,0.05081592593342066,0.804109525680542,0.23233705461025236,0.030165269225835803,0.18977654576301575
