"","HYPO_dorsal","HYPO_dorsal2","HYPO_ventral","HYPO_ventral2","THAL_latHabenula","THAL_lateral","THAL_lateral2","THAL_medHabenula","THAL_medial","THAL_venmedial","WM_dorsal","WM_ventral","PIA_dorsal","VENTRICLE","HPC","HPC_CA1","HPC_CA2/3","HPC_DG","STR","AMY_basomedial","AMY_posterior","PirCTX_L1","PirCTX_L2/3","CTX_L1","CTX_L2/3","CTX_L4","CTX_L5","CTX_L6","CTX_L6b"
"THAL_hab",0.0724273775255899,0.052676481622543,0.0626757753052858,0.0188413343649801,0.148581332416107,0.0187963214880427,0.0849695559858028,1,0.0575669240698718,0.0380172074491701,0.173946146748867,0.129193207770202,0.141706792778225,0.01583157184702,0.0297122444927048,0.00753234327330702,0.0136612177542716,0.0136407492881906,0.0169811802878989,0.0207501177752601,0.037831450948184,0.0210727907118265,0.0185377450956892,0.011874243042639,0.00700076954771056,0.00674563557228036,0.00784275440877308,0.00904732944746013,0.0151475737275556
"HYPO",1,0.353008361130805,0.502297459432349,0.958402972918706,0.323835997127114,0.095093804363875,0.130072352463544,0.0478913206979033,0.484905709471516,0.384271731847098,0.0265030962484715,0.0578338489066955,0.0472477315669465,0.00765152981050295,0.0186765588344061,0.00589176291007953,0.0110543898263934,0.00593893643374268,0.0109904900745346,0.0179045353495189,0.0454769605436185,0.0125414024121412,0.00857747784931882,0.00982714721517392,0.00496030385957043,0.00897031478124238,0.0106101175433536,0.00711629015242848,0.00945737151523289
"THAL_lat",0.0645915746479348,0.572074408914921,0.00758702705220442,0.263151456791761,0.0750408047286595,1,0.515930164685161,0.0043909258748468,0.392669819574798,0.447346331427585,0.01692372231732,0.0765572433758009,0.0109745413312756,0.00276315848850878,0.0263011310321288,0.00651525416341636,0.0136343734777466,0.0101702092840891,0.00976210841924113,0.00532241749525982,0.0079642264514637,0.00577304171094657,0.00402313232483661,0.00940009869428884,0.0129425823319827,0.0442265229755769,0.042157972583947,0.0173265191734666,0.00494707992424803
"THAL_med",0.171696136530839,0.459010905436143,0.0472418757423433,0.34391006774825,0.137866631619573,1,0.331049863069709,0.0176961226712864,0.818535079585594,0.861142202325138,0.0363161507681824,0.0891141227832055,0.0293518437375605,0.00701953769531486,0.0436347881553843,0.0123867377699361,0.0229255979320939,0.0157835157466288,0.0190367715603162,0.0154276602930574,0.0272306118229164,0.0147279678643793,0.0109012652518713,0.0173386249357098,0.0213072527417579,0.0524603543514091,0.0513286173615135,0.0246697733889372,0.0130892078398704
"WM",0.0363192760335436,0.0607014281131498,0.211841773289089,0.0193044354202255,0.20907316107623,0.0263289509172963,0.162276413477105,0.655617656393901,0.0450072693650486,0.0337410746143793,1,0.730234172463085,0.604479861160456,0.586885528058814,0.396895976488421,0.0972754891499807,0.1250445984294,0.223677165777898,0.289230726118982,0.152546009351721,0.312968674632875,0.126315922380817,0.0623415964961536,0.0618204141766145,0.0230986286265829,0.0150103782931968,0.027913228173787,0.0739295564147808,0.250253761869391
"AMY",0.0311371262707523,0.0532245952786473,0.315684727179515,0.027638654927907,0.0670773972088232,0.037269775445501,0.0649215857544575,0.0229611351577574,0.0665829704379296,0.0583905500624795,0.022882290124843,0.0866838183204423,0.356174061166116,0.0268561442372385,0.402412364740766,0.154108493020426,0.172996799922079,0.141050403538833,0.351069904116902,0.915255750076124,1,0.700405252971828,0.740581720934378,0.385916982463209,0.2998298341181,0.258925907230663,0.228195987090804,0.151043296666942,0.160938892451568
"HPC",0.0110627020501202,0.0208324566004517,0.0279747732140774,0.0111321335806165,0.0313235528218827,0.0176171172094006,0.0620110623562383,0.0117343772786371,0.0299576587710709,0.0230031350536002,0.0417325205768502,0.0956058176559946,0.245158326354091,0.0120344162499041,1,0.116517530059994,0.129402759223649,0.213717361256766,0.213303540735581,0.054045847713623,0.0660687551935652,0.108367755245098,0.0426589643098668,0.225232935663848,0.12783989136502,0.131437244816947,0.115379133966927,0.113387162084589,0.0931087608285433
"STR",0.0351599517624059,0.0525125514991,0.147466208140058,0.0298739506333894,0.0597752302478123,0.0326543571579994,0.0783710951148853,0.0288493221385012,0.0621717057251314,0.0429906421875363,0.154465289888509,0.229071302823441,0.26635811334342,0.0354267923718904,1,0.58729047624665,0.516784744459968,0.422413782564282,0.990957855318771,0.316106386812496,0.227345128147897,0.290009014723115,0.217626516605127,0.29219439585247,0.361042794581932,0.312003852133904,0.42743621111066,0.643354129910561,0.561179992651657
"AMY_CTX",0.0184688438218258,0.0294076417334147,0.185687686343634,0.0159329070347148,0.0394426633036921,0.0263187353496899,0.0406459253470733,0.0175028473520015,0.0427221337644726,0.0360228930423546,0.0192055127274829,0.0514222922504368,0.416347342716186,0.0181886952336014,0.329413909946727,0.17219017086251,0.16633398140114,0.147495686219334,0.396110710034023,0.930088574784097,0.621472806422198,0.893086517944169,1,0.524347874127325,0.625992208271758,0.417928345498813,0.306827813480594,0.241606158266181,0.233332184675677
"CTX",0.0039659368871006,0.0102749621613355,0.00858709008868376,0.00494888589599438,0.00764085875816126,0.00911715855724607,0.00941011779581128,0.00183112344562761,0.0106006879409035,0.00861973052033242,0.0039107364023586,0.0125179930736879,0.0407132318786343,0.00229443018902756,0.0615264280581397,0.042199779826257,0.0456202418281926,0.0352618602804028,0.0937248557843041,0.0308235387626232,0.0187521409821566,0.0460485328943557,0.0348035707980681,0.220125641628561,0.598674292823142,1,0.41241500631615,0.289585033641787,0.0513884752603178
