"","HYPO_dorsal","HYPO_dorsal2","HYPO_ventral","HYPO_ventral2","THAL_latHabenula","THAL_lateral","THAL_lateral2","THAL_medHabenula","THAL_medial","THAL_venmedial","WM_dorsal","WM_ventral","PIA_dorsal","VENTRICLE","HPC","HPC_CA1","HPC_CA2/3","HPC_DG","STR","AMY_basomedial","AMY_posterior","PirCTX_L1","PirCTX_L2/3","CTX_L1","CTX_L2/3","CTX_L4","CTX_L5","CTX_L6","CTX_L6b"
"Unk_2",0.533768782970604,0.121680193238426,0.507900377908708,0.166799498127417,0.911797481237881,0.0365676779874665,0.064698443073954,1,0.143320593283199,0.21750487936505,0.130951864151411,0.233383372592276,0.890279110695348,0.3605142757552,0.2657650794905,0.234407231579575,0.349608950505509,0.391587507624117,0.119085573696546,0.371653740662497,0.608269638054099,0.397006566408235,0.574551106416062,0.153510500018915,0.148512197253775,0.102232543107774,0.195596434639014,0.209342783813958,0.35142528942141
"Astro_STR",0.0351599517624059,0.0525125514991,0.147466208140058,0.0298739506333894,0.0597752302478123,0.0326543571579994,0.0783710951148853,0.0288493221385012,0.0621717057251314,0.0429906421875363,0.154465289888509,0.229071302823441,0.26635811334342,0.0354267923718904,1,0.58729047624665,0.516784744459968,0.422413782564282,0.990957855318771,0.316106386812496,0.227345128147897,0.290009014723115,0.217626516605127,0.29219439585247,0.361042794581932,0.312003852133904,0.42743621111066,0.643354129910561,0.561179992651657
"Endo",0.266402973186,0.2394978394781,0.256095026784282,0.208814810147553,0.131475454139331,0.3072307052802,0.306548533902983,0.486968076293288,0.33749623454177,0.19280494636552,0.421379287976131,0.299536905807904,1,0.312397622178712,0.445913920038722,0.261580906495008,0.244482749351236,0.222066705908478,0.302322101438844,0.341461343771501,0.271585624803358,0.207246329288945,0.292877821683073,0.245475801171735,0.460160945018879,0.445394547459645,0.332179004006773,0.355520236622253,0.348065706637185
"Micro",0.194245646156177,0.338100768121711,0.289355176080016,0.134618603878438,0.140657199590092,0.360948386358559,0.301881871299352,0.267109930738043,0.269834821128733,0.337000228665485,1,0.722776267336925,0.654088952986746,0.245688933588593,0.715851575811523,0.29121359808949,0.25427661865524,0.252739820762931,0.682029762353331,0.644419171027194,0.330925505746211,0.483937763465755,0.498506199843365,0.345139259455464,0.646080142496898,0.532533175720426,0.401005660229314,0.474232292782927,0.563740273889354
"Inh_Lamp5",0.0365689616212856,0.0281778653262626,0.0986522659494862,0.00580594192272336,0.0549759676011418,0.00514823972012212,0.0327150666763907,0.00468722156076095,0.0069681833026759,0.024404961386922,0.0617522305490776,0.0983205591845189,0.190706241523737,0.00837269368081196,0.757616191437199,0.630356366697801,0.375321539921556,0.760884726263744,0.122934910810577,0.378354878811294,0.630114779568057,0.491519082900362,0.609352006337691,0.585096548688476,1,0.582536277452673,0.343376778299747,0.455042414109772,0.494919539309104
"Inh_Vip",0.0648039738276047,0.029081321395299,0.125166178378954,0.00765692503748247,0.0206117400309228,0.00475674301830285,0.012045036455333,0.00483922469269751,0.0103813709333078,0.0146654369445921,0.0331814224070019,0.0345569146751662,0.033144814689322,0.00365185502334671,0.717557616346855,0.207664758667657,0.373863662252874,0.457281597695977,0.0206691427970125,0.920034979334125,1,0.296359388620637,0.910792089635629,0.226830122654527,0.831806929303323,0.251338283720593,0.19353612390902,0.239224550909242,0.505333321287853
"OPC_1",0.342101474604171,0.261981069079317,0.598661300233761,0.153492078746654,0.259239045415696,0.298122779195697,0.271159434767227,0.150904626520756,0.504598756033618,0.281234677886344,0.593336362374905,0.643393659213424,0.289241597910064,0.0681442316355221,0.377300014016763,0.236937261176564,0.147123258789182,0.200454855042813,0.428777075327251,1,0.889575419659431,0.593487452615896,0.966796490452425,0.273276335226115,0.39689252347129,0.145960899350759,0.232215519730673,0.232409567315008,0.405058138261241
"Inh_Sst",0.0289831603087209,0.0321873265326754,0.252608999365738,0.00434741665471705,0.0187155018914835,0.00320444535754038,0.0185987485863114,0.00246750810991444,0.0065612092046183,0.00773957305961174,0.0416105758396901,0.168316084360706,0.080178066100884,0.0043282720012435,0.370233313507608,0.220642246096161,0.44707992133426,0.0965408712807398,0.129383231207828,0.89014515996168,1,0.843645566840354,0.770855436893888,0.0921386534731481,0.262980862165455,0.255518808081376,0.821366741627112,0.525897729524291,0.804837429137667
"Astro_AMY",0.0311371262707523,0.0532245952786473,0.315684727179515,0.027638654927907,0.0670773972088232,0.037269775445501,0.0649215857544575,0.0229611351577574,0.0665829704379296,0.0583905500624795,0.022882290124843,0.0866838183204423,0.356174061166116,0.0268561442372385,0.402412364740766,0.154108493020426,0.172996799922079,0.141050403538833,0.351069904116902,0.915255750076124,1,0.700405252971828,0.740581720934378,0.385916982463209,0.2998298341181,0.258925907230663,0.228195987090804,0.151043296666942,0.160938892451568
"Astro_AMY_CTX",0.0184688438218258,0.0294076417334147,0.185687686343634,0.0159329070347148,0.0394426633036921,0.0263187353496899,0.0406459253470733,0.0175028473520015,0.0427221337644726,0.0360228930423546,0.0192055127274829,0.0514222922504368,0.416347342716186,0.0181886952336014,0.329413909946727,0.17219017086251,0.16633398140114,0.147495686219334,0.396110710034023,0.930088574784097,0.621472806422198,0.893086517944169,1,0.524347874127325,0.625992208271758,0.417928345498813,0.306827813480594,0.241606158266181,0.233332184675677
"Astro_WM",0.0363192760335436,0.0607014281131498,0.211841773289089,0.0193044354202255,0.20907316107623,0.0263289509172963,0.162276413477105,0.655617656393901,0.0450072693650486,0.0337410746143793,1,0.730234172463085,0.604479861160456,0.586885528058814,0.396895976488421,0.0972754891499807,0.1250445984294,0.223677165777898,0.289230726118982,0.152546009351721,0.312968674632875,0.126315922380817,0.0623415964961536,0.0618204141766145,0.0230986286265829,0.0150103782931968,0.027913228173787,0.0739295564147808,0.250253761869391
"OPC_2",0.134902741501502,0.235088370951926,0.0781771810915427,0.101650170595063,0.108482159573336,0.198585983614411,0.266449652170546,0.261567589029271,0.11128303647345,0.140911322505796,1,0.684982328692885,0.0745551597010096,0.131308326223577,0.124250959487432,0.0437033516673334,0.0701965222534677,0.0453443212715478,0.173124584235565,0.0755127283324907,0.0458644692447614,0.041946328619407,0.0134422227198311,0.0241685836563424,0.0276669564653046,0.102843342991571,0.103255508775878,0.206827611671047,0.211210008635131
"Oligo_1",0.134898434579233,0.323172643143715,0.0412376224145322,0.0806998630388289,0.0735079746802722,0.375336393573761,0.391827117007733,0.0773014994863698,0.149888439010917,0.21530973188565,1,0.627294132810651,0.0358929489438455,0.0622102626046615,0.050339154159548,0.0117096690855907,0.0251734312323608,0.00863373572302078,0.180018127488937,0.0272167960247521,0.00929714437652586,0.0138417947193171,0.00238288683838561,0.00712326990550345,0.00778308345779585,0.0772020581425809,0.0780279020884542,0.160722497434149,0.159681091651647
"Oligo_2",0.0906958728563463,0.232831061789122,0.0225398422265697,0.0858153787183442,0.0538099469844548,0.161431332226931,0.343038813535767,0.0730108422697893,0.106666230171923,0.0643962125891362,1,0.528101612114209,0.02183739629804,0.0511682071887596,0.0423332793589839,0.00536216833126664,0.0168047159245263,0.00240218873399383,0.156504385665867,0.00988465984002012,0.00374705846459114,0.00685594936536007,0.000885187943444371,0.00286416885235543,0.00376840190431651,0.0241859473832455,0.0267023707586606,0.101424279037068,0.196529000195158
"Astro_HYPO",1,0.353008361130805,0.502297459432349,0.958402972918706,0.323835997127114,0.095093804363875,0.130072352463544,0.0478913206979033,0.484905709471516,0.384271731847098,0.0265030962484715,0.0578338489066955,0.0472477315669465,0.00765152981050295,0.0186765588344061,0.00589176291007953,0.0110543898263934,0.00593893643374268,0.0109904900745346,0.0179045353495189,0.0454769605436185,0.0125414024121412,0.00857747784931882,0.00982714721517392,0.00496030385957043,0.00897031478124238,0.0106101175433536,0.00711629015242848,0.00945737151523289
